[00:01:33] <euouae> This may be someone that got caught into that whole 'feds on your tail' thing, although their case has not been resolved before a judge yet https://nymag.com/intelligencer/2021/08/bitcoin-ian-freeman-fbi-doj.html
[00:03:35] <euouae> Mesh networks, right. It's cool. 
[00:41:33] *** Quits: towel (~towel@user/towel) (*.net *.split)
[00:41:33] *** Quits: Alina-malina (~Alina-mal@user/alina-malina) (*.net *.split)
[00:41:33] *** Quits: instantp10neer (~instantp1@user/instantp10neer) (*.net *.split)
[00:41:33] *** Quits: gde33 (~gde33@84-106-154-98.cable.dynamic.v4.ziggo.nl) (*.net *.split)
[00:41:33] *** Quits: rmm (~rmm@user/rmm) (*.net *.split)
[00:41:33] *** Quits: mad_enz (~mad_enz@lnsm1-torontoxn-142-120-17-169.internet.virginmobile.ca) (*.net *.split)
[00:41:33] *** Quits: OneWheelGeek (~OneWheelG@alpha.straybits.org) (*.net *.split)
[00:41:33] *** Quits: bgs (~bgs@cpe-212-85-160-171.cable.telemach.net) (*.net *.split)
[00:41:33] *** Quits: cehteh (~ct@git.pipapo.org) (*.net *.split)
[00:41:33] *** Quits: arooni (~arooni@li1062-244.members.linode.com) (*.net *.split)
[00:41:33] *** Quits: Anu (anunay@user/anunay) (*.net *.split)
[00:41:33] *** Quits: webstran- (~webstrand@user/webstrand) (*.net *.split)
[00:41:34] *** Quits: llorllale (~llorllale@198.98.119.85) (*.net *.split)
[00:41:34] *** Quits: B4ckBOne (~B4ckBOne@85.10.195.46) (*.net *.split)
[00:41:34] *** Quits: t0x0sh (~tosh@176.158.137.106) (*.net *.split)
[00:41:34] *** Quits: Disconsented (~quassel@107.170.227.20) (*.net *.split)
[00:41:34] *** Quits: platta (~platta@pool-173-61-104-121.cmdnnj.fios.verizon.net) (*.net *.split)
[00:41:34] *** Quits: voiceofreason (~voiceofre@207.148.10.181) (*.net *.split)
[00:41:34] *** Quits: DefiantN (~DefiantN@user/defiantn) (*.net *.split)
[00:41:34] *** Quits: Platonides (~Wikipedis@wikimedia/Platonides) (*.net *.split)
[00:41:34] *** Quits: opotin (~opotin@gyros.collabora.co.uk) (*.net *.split)
[00:41:34] *** Quits: skyl4rk (~tlvb@user/tlvb) (*.net *.split)
[00:41:34] *** Quits: ch1p (~ch1p@ch1p.io) (*.net *.split)
[00:41:34] *** Quits: yawkat (~yawkat@cats.coffee) (*.net *.split)
[00:41:34] *** Quits: machinedgod (~machinedg@24.105.81.50) (*.net *.split)
[00:41:34] *** Quits: Gallomimia (~Gallomimi@node-1w7jra2a2gqpwopyrygzx8rbm.ipv6.telus.net) (*.net *.split)
[00:41:34] *** Quits: son0p (~ff@181.136.122.143) (*.net *.split)
[00:41:34] *** Quits: gproto23 (~gproto23@user/gproto23) (*.net *.split)
[00:41:34] *** Quits: maroon (tinycrypt@user/maroon) (*.net *.split)
[00:41:35] *** Quits: Peng_ (~mnordhoff@user/Peng) (*.net *.split)
[00:41:35] *** Quits: baakeydow (~baake@2001:41d0:203:b12c::) (*.net *.split)
[00:41:35] *** Quits: Bonstra (~Bonstra@val.bonstra.fr.eu.org) (*.net *.split)
[00:41:35] *** Quits: cwebber (~user@user/cwebber) (*.net *.split)
[00:41:35] *** Quits: ado (sid462155@id-462155.uxbridge.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: sonOfRa (sonOfRa@user/sonofra) (*.net *.split)
[00:41:35] *** Quits: boxframes__ (~Saloframe@2607:9000:2000:15::a45d) (*.net *.split)
[00:41:35] *** Quits: karstensrage (~karstensr@user/karstensrage) (*.net *.split)
[00:41:35] *** Quits: jtgd (~jtgd@user/jtgd) (*.net *.split)
[00:41:35] *** Quits: Starfoxxes (~Starfoxxe@2a02:8070:5390:d00:12bf:48ff:feb8:38c8) (*.net *.split)
[00:41:35] *** Quits: Warped (~Warped@user/warped) (*.net *.split)
[00:41:35] *** Quits: chowmeined (~chowmeine@user/chowmeined) (*.net *.split)
[00:41:35] *** Quits: scjosh (~scjosh@206.189.79.69) (*.net *.split)
[00:41:35] *** Quits: danieldg (~me@user/danieldg) (*.net *.split)
[00:41:35] *** Quits: rqsd (~rqsd@user/rqsd) (*.net *.split)
[00:41:35] *** Quits: lord| (~lordpipe@user/lordpipe) (*.net *.split)
[00:41:35] *** Quits: int-e (~noone@int-e.eu) (*.net *.split)
[00:41:35] *** Quits: weyhmueller (~weyhmuell@blofeld.nc.w9r.de) (*.net *.split)
[00:41:35] *** Quits: Neoon (~Neoon@2607:5300:60:23a5::1111) (*.net *.split)
[00:41:36] *** Quits: introom (introom@2600:3c01::f03c:92ff:fea3:2cf) (*.net *.split)
[00:41:36] *** Quits: OverCoder (~OverCoder@user/overcoder) (*.net *.split)
[00:41:36] *** Quits: lagash (lagash@lagash.shelltalk.net) (*.net *.split)
[00:41:36] *** Quits: echoreply (~echoreply@2001:19f0:9002:1f3b:5400:ff:fe6f:8b8d) (*.net *.split)
[00:41:36] *** Quits: _flood (flooded@gateway/vpn/protonvpn/flood/x-43489060) (*.net *.split)
[00:41:36] *** Quits: bdd (5841cbed9d@2604:bf00:561:2000::1b7) (*.net *.split)
[00:41:36] *** Quits: sm2n (ae95cb1267@user/sm2n) (*.net *.split)
[00:41:36] *** Quits: riksteri (d20812115c@2604:bf00:561:2000::1e6) (*.net *.split)
[00:41:36] *** Quits: fxrh (~fxrh@user/fxrh) (*.net *.split)
[00:41:36] *** Quits: stoner19 (~stoner19@vmi221374.contaboserver.net) (*.net *.split)
[00:41:36] *** Quits: pagios (~pagios@life.is-a.beauty) (*.net *.split)
[00:41:36] *** Quits: ses (uid38151@id-38151.hampstead.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: mykhal (~m@user/mykhal) (*.net *.split)
[00:41:36] *** Quits: Arsen (arsen@managarm/dev/Arsen) (*.net *.split)
[00:41:36] *** Quits: aczid (~aczid@tuig.nikhef.nl) (*.net *.split)
[00:41:36] *** Quits: udet_ (~udet@ve603.venus.servdiscount-customer.com) (*.net *.split)
[00:41:36] *** Quits: olspookishmagus (~pookie@snf-137798.vm.okeanos.grnet.gr) (*.net *.split)
[00:41:36] *** Quits: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net) (*.net *.split)
[00:41:36] *** Quits: zro (~zro@user/zro) (*.net *.split)
[00:41:36] *** Quits: ssiyad (~ssiyad@user/ssiyad) (*.net *.split)
[00:41:36] *** Quits: gabriel1 (~gabriel1@user/gabriel1) (*.net *.split)
[00:41:37] *** Quits: edk (edk@libera/staff/edk) (*.net *.split)
[00:41:37] *** Quits: amnrst (~amnrst@45-79-201-163.ip.linodeusercontent.com) (*.net *.split)
[00:41:37] *** Quits: euidzero_ (~euidzero@158.101.10.150) (*.net *.split)
[00:41:37] *** Quits: learner36 (~learner36@cpef81d0fa12c13-cmf81d0fa12c10.cpe.net.cable.rogers.com) (*.net *.split)
[00:41:37] *** Quits: linear_cannon (~linear_ca@50.35.78.163) (*.net *.split)
[00:41:37] *** Quits: Trazi (~trazi@user/trazi) (*.net *.split)
[00:41:37] *** Quits: rawgreaze (~rawgreaze@user/rawgreaze) (*.net *.split)
[00:41:37] *** Quits: phebus (~phebus@fsf/member/phebus) (*.net *.split)
[00:41:37] *** Quits: sarnold (~sarnold@ubuntu/member/sarnold) (*.net *.split)
[00:41:37] *** Quits: eck (~root@user/eck) (*.net *.split)
[00:41:37] *** Quits: steam (~steam@user/steam) (*.net *.split)
[00:41:37] *** Quits: sherlock_95 (~sherlock_@static.131.42.161.5.clients.your-server.de) (*.net *.split)
[00:41:37] *** Quits: BUSY (~BUSY@user/busy) (*.net *.split)
[00:41:37] *** Quits: Gravis (~gravis@user/gravis) (*.net *.split)
[00:41:37] *** Quits: iz (~tv@user/xiz) (*.net *.split)
[00:41:37] *** Quits: litharge (litharge@libera/bot/litharge) (*.net *.split)
[00:41:37] *** Quits: cryomon_ (~user@gateway/tor-sasl/cryomon) (*.net *.split)
[00:41:37] *** Quits: dude12312414 (~test@gateway/tor-sasl/dude12312414) (*.net *.split)
[00:41:37] *** Quits: madage (~madage@user/madage) (*.net *.split)
[00:41:37] *** Quits: Sofia (~sofia@gateway/tor-sasl/sofia) (*.net *.split)
[00:41:37] *** Quits: System_Error (~SystemErr@user/systemerror) (*.net *.split)
[00:41:37] *** Quits: gildasio (~gildasio@gateway/tor-sasl/gildasio) (*.net *.split)
[00:41:37] *** Quits: drathir_tor (~drathir@wireguard/tunneler/drathir) (*.net *.split)
[00:41:37] *** Quits: stiell (~stiell@gateway/tor-sasl/stiell) (*.net *.split)
[00:41:37] *** Quits: _mikey (~mikey@user/mikey/x-4335048) (*.net *.split)
[00:41:37] *** Quits: chiselfuse (~chiselfus@user/chiselfuse) (*.net *.split)
[00:41:37] *** Quits: milkt (~debian@gateway/tor-sasl/milkt) (*.net *.split)
[00:41:37] *** Quits: euouae (~euouae@user/euouae) (*.net *.split)
[00:41:37] *** Quits: cacu[m] (~cacuconve@2001:470:69fc:105::b9df) (*.net *.split)
[00:41:38] *** Quits: HumanG33k (~HumanG33k@2a01:e0a:95:5d90:215:c5ff:fe68:fb04) (*.net *.split)
[00:41:38] *** Quits: dusk (~quassel@suki.ds7s.nl) (*.net *.split)
[00:41:38] *** Quits: Soni (~quassel@autistic.space) (*.net *.split)
[00:41:38] *** Quits: thomas25- (thomas25@brought.to.you.by.bnc4free.com) (*.net *.split)
[00:41:38] *** Quits: halosghost (~halosghos@user/halosghost) (*.net *.split)
[00:41:38] *** Quits: rudi_s (~simon@user/rudi-s/x-7673890) (*.net *.split)
[00:41:38] *** Quits: koolazer (~koo@user/koolazer) (*.net *.split)
[00:41:38] *** Quits: haskal (~haskal@tilde.town) (*.net *.split)
[00:41:38] *** Quits: mrkajetanp (~mrkajetan@88.98.245.28) (*.net *.split)
[00:41:38] *** Quits: piou (~piou@user/piou) (*.net *.split)
[00:41:38] *** Quits: rxcomm (~rxcomm@user/rxcomm) (*.net *.split)
[00:41:38] *** Quits: karu (~karasu@puffy.mat.univie.ac.at) (*.net *.split)
[00:41:38] *** Quits: berndj (~berndj@ns2.linksynergy.co.za) (*.net *.split)
[00:41:38] *** Quits: TimMc (~timmc@user/timmc) (*.net *.split)
[00:41:38] *** Quits: mweckbecker (~matthias@weckbecker.name) (*.net *.split)
[00:41:39] *** Quits: ivii (~ivan@user/ivii) (*.net *.split)
[00:41:39] *** Quits: kristjansson (sid126207@id-126207.tinside.irccloud.com) (*.net *.split)
[00:41:39] *** Quits: hendi (sid489601@id-489601.lymington.irccloud.com) (*.net *.split)
[00:41:39] *** Quits: MyWay (~MyWay@2001:41d0:8:be9a::1) (*.net *.split)
[00:41:39] *** Quits: mcf (~mforney@netbsd/developer/mcf) (*.net *.split)
[00:41:39] *** Quits: ert (~ert@2001:4b99:1:1:216:3eff:fee5:446f) (*.net *.split)
[00:41:39] *** Quits: trebuh (~trebuh@2001:41d0:a:15c7::1) (*.net *.split)
[00:41:39] *** Quits: Brnocrist (~spartak@user/brnocrist) (*.net *.split)
[00:41:39] *** Quits: satanist (~satanist@bureaucracy.bureaucracy.de) (*.net *.split)
[00:41:39] *** Quits: AsenMx (~asen@user/asenmx) (*.net *.split)
[00:41:39] *** Quits: wasamasa (~wasamasa@chicken/contributor/wasamasa) (*.net *.split)
[00:41:39] *** Quits: wyre (~wyre@user/wyre) (*.net *.split)
[00:41:39] *** Quits: energizer (~energizer@user/energizer) (*.net *.split)
[00:41:40] *** Quits: Ara (~Ara@user/ara) (*.net *.split)
[00:41:40] *** Quits: griffinmb (sid410590@id-410590.helmsley.irccloud.com) (*.net *.split)
[00:41:40] *** Quits: ericnoan (~en@user/ericnoan) (*.net *.split)
[00:41:40] *** Quits: pieguy128 (~pieguy128@bras-base-mtrlpq5031w-grc-35-70-24-248-224.dsl.bell.ca) (*.net *.split)
[00:41:40] *** Quits: Narrat (~omnius@p2e51179b.dip0.t-ipconnect.de) (*.net *.split)
[00:41:40] *** Quits: glider (~glider@user/glider) (*.net *.split)
[00:41:40] *** Quits: Guyver2 (~Guyver@guyver2.xs4all.nl) (*.net *.split)
[00:41:40] *** Quits: Lord_of_Life (~Lord@user/lord-of-life/x-2819915) (*.net *.split)
[00:41:40] *** Quits: martin02 (~silas@141.84.69.76) (*.net *.split)
[00:41:40] *** Quits: PJBoy (~PJBoy@user/pjboy) (*.net *.split)
[00:41:40] *** Quits: Nebraskka (~Nebraskka@user/nebraskka) (*.net *.split)
[00:41:40] *** Quits: Ragnor (~Ragnor@user/ragnor) (*.net *.split)
[00:41:40] *** Quits: moose (~moose@user/moose) (*.net *.split)
[00:41:40] *** Quits: TonyStone (~TonyStone@cpe-74-76-51-197.nycap.res.rr.com) (*.net *.split)
[00:41:40] *** Quits: Deknos (~someone@user/menace) (*.net *.split)
[00:41:40] *** Quits: somlis (~somlis@user/somlis) (*.net *.split)
[00:41:40] *** Quits: tent4053 (~tent405@107-214-50-180.lightspeed.bcvloh.sbcglobal.net) (*.net *.split)
[00:41:40] *** Quits: Seirdy (~Seirdy@sourcehut/user/seirdy) (*.net *.split)
[00:41:40] *** Quits: jhed9 (~jhed9@113.189.225.35.bc.googleusercontent.com) (*.net *.split)
[00:41:40] *** Quits: BGL (ninety@75-149-171-58-Washington.hfc.comcastbusiness.net) (*.net *.split)
[00:41:40] *** Quits: taeaad (~taeaad@user/taeaad) (*.net *.split)
[00:41:40] *** Quits: shayr_ (shayr@ip62.ip-91-134-189.eu) (*.net *.split)
[00:41:40] *** Quits: Maxattax (~max@50-195-160-193-static.hfc.comcastbusiness.net) (*.net *.split)
[00:41:40] *** Quits: e2 (e2@sponsored.by.bnc4you.xyz) (*.net *.split)
[00:41:40] *** Quits: Peng (~mnordhoff@user/Peng) (*.net *.split)
[00:41:40] *** Quits: JTL (~irc@user/jtl) (*.net *.split)
[00:41:40] *** Quits: bbear_ (~znc@21212.s.t4vps.eu) (*.net *.split)
[00:41:40] *** Quits: akaWolf (~akaWolf@akawolf.org) (*.net *.split)
[00:41:40] *** Quits: wsb (~wsb@user/wsb) (*.net *.split)
[00:41:40] *** Quits: ghostbuster (~admin@user/ghostbuster) (*.net *.split)
[00:41:40] *** Quits: alip (~alip@exherbo/developer/alip) (*.net *.split)
[00:41:40] *** Quits: pinheadmz (~pinheadmz@hns-contributor.dev) (*.net *.split)
[00:41:41] *** Quits: igemnace (~ian@user/igemnace) (*.net *.split)
[00:41:41] *** Quits: Pythayr` (~pither195@64.42.181.51) (*.net *.split)
[00:41:41] *** Quits: d34dh0r53 (~d34dh0r53@2600:1700:10e0:ecf:5054:ff:fe7c:35f9) (*.net *.split)
[00:41:41] *** Quits: FelixFish[m] (~felixfish@2001:470:69fc:105::1:2e23) (*.net *.split)
[00:41:41] *** Quits: holgersson (~quassel@user/holgersson) (*.net *.split)
[00:41:41] *** Quits: etolier (~somewhere@122-199-44-127.ip4.superloop.com) (*.net *.split)
[00:41:41] *** Quits: neildaemond (~neildaemo@ipv6two.tilde.club) (*.net *.split)
[00:41:41] *** Quits: ua__ (~ua@public-gprs226401.centertel.pl) (*.net *.split)
[00:41:41] *** Quits: Luke (~ldm@hacksoc/member) (*.net *.split)
[00:41:41] *** Quits: Lochnair8 (~Lochnair@wireguard/contributor/lochnair) (*.net *.split)
[00:41:41] *** Quits: goodness (~goodness@user/goodness) (*.net *.split)
[00:41:41] *** Quits: geeknix (~pi@2001:e68:5432:46d8:39f7:e80b:25f7:e9cb) (*.net *.split)
[00:41:41] *** Quits: eco (~ubuntu@ec2-54-201-230-197.us-west-2.compute.amazonaws.com) (*.net *.split)
[00:41:41] *** Quits: s1b1 (~s1b1@user/s1b1) (*.net *.split)
[00:41:41] *** Quits: hlieberman (sid17492@id-17492.tinside.irccloud.com) (*.net *.split)
[00:41:41] *** Quits: woggle (~charles@c-va-26578d734e-1840-1.tingfiber.com) (*.net *.split)
[00:41:42] *** Quits: bw (sid2730@user/betawaffle) (*.net *.split)
[00:41:42] *** Quits: mrus (~mrus@2001:19f0:5:1535:5400:3ff:fe7d:10ae) (*.net *.split)
[00:41:42] *** Quits: fructose (~fructose@user/fructose) (*.net *.split)
[00:41:42] *** Quits: Bostik (~bostik@static.78.20.217.95.clients.your-server.de) (*.net *.split)
[00:41:42] *** Quits: ericonr (~ericonr@voidlinux/docs/ericonr) (*.net *.split)
[00:41:42] *** Quits: Henry151 (~bishop@user/henry151) (*.net *.split)
[00:41:42] *** Quits: davidc__ (~user13172@will.hack.for.beer) (*.net *.split)
[00:41:42] *** Quits: multi_io (~olaf@185.56.132.5) (*.net *.split)
[00:41:42] *** Quits: sshine (~simon@hubris.eta.solutions) (*.net *.split)
[00:41:42] *** Quits: antto (~pewpew@imightbe.antonsavov.net) (*.net *.split)
[00:41:42] *** Quits: A_Dragon (A_D@libera/staff/dragon) (*.net *.split)
[00:41:42] *** Quits: EpicKitty (EpicKitty@marshadow.epickitty.co.uk) (*.net *.split)
[00:41:42] *** Quits: ms7821 (~Mark@london.rack.ms) (*.net *.split)
[00:41:42] *** Quits: AlloSaurus (pate81@itu.ihme.org) (*.net *.split)
[00:41:42] *** Quits: meyer (~nunyuh@user/cosanostra) (*.net *.split)
[00:41:42] *** Quits: zinc_ (~zinc@163.ip-51-254-203.eu) (*.net *.split)
[00:41:42] *** Quits: justaguy (~quassel@2a05:d014:742:eb00:7693:c44f:1fc3:29) (*.net *.split)
[00:41:42] *** Quits: sol (~toor@oops.root.sx) (*.net *.split)
[00:41:42] *** Quits: saolof[m] (~saolofenv@2001:470:69fc:105::1:6188) (*.net *.split)
[00:41:43] *** Quits: Colti (Miramar-FL@user/host-pond) (*.net *.split)
[00:41:43] *** Quits: voker57 (~quassel@2a06:1700:0:24::) (*.net *.split)
[00:41:43] *** Quits: SrPx (sid108780@id-108780.uxbridge.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: br1ck (~br1ck@150.140.193.82) (*.net *.split)
[00:41:43] *** Quits: chasmo77 (~chas77@c-71-193-246-4.hsd1.or.comcast.net) (*.net *.split)
[00:41:43] *** Quits: tykling (~tykling@irc.tyknet.dk) (*.net *.split)
[00:41:43] *** Quits: jstoker (~jstoker@user/jstoker) (*.net *.split)
[00:41:43] *** Quits: gdd (~gdd@129.199.146.230) (*.net *.split)
[00:41:43] *** Quits: nisstyre (~wes@user/nisstyre) (*.net *.split)
[00:41:43] *** Quits: Alipha (~AliphaX@user/alipha) (*.net *.split)
[00:41:43] *** Quits: Church (~aleph@pool-98-116-232-112.nycmny.fios.verizon.net) (*.net *.split)
[00:41:43] *** Quits: Alanius (~alan@asdm.gmbh) (*.net *.split)
[00:41:43] *** Quits: mcfrdy (~mcfrdy@user/mcfrdy) (*.net *.split)
[00:41:43] *** Quits: _- (~orgg@user/orgg) (*.net *.split)
[00:41:43] *** Quits: spaceone (~spaceone@wc1.wechall.net) (*.net *.split)
[00:41:43] *** Quits: pax_os__ (uid535114@ilkley.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: aizen (sid462968@ilkley.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: Malvolio (~Malvolio@user/malvolio) (*.net *.split)
[00:41:43] *** Quits: duckie (~duckie@user/duckie) (*.net *.split)
[00:41:43] *** Quits: Histausse (~histausse@2001:470:69fc:105::1:711b) (*.net *.split)
[00:41:44] *** Quits: Fusl (fusl@1.0.0.127.in-addr.arpa.li) (*.net *.split)
[00:41:44] *** Quits: kashire (~kashire@user/kashire) (*.net *.split)
[00:41:44] *** Quits: brown (~brown@user/brown) (*.net *.split)
[00:41:44] *** Quits: lenish (~Rodya@205.185.115.119) (*.net *.split)
[00:41:44] *** Quits: _0ne (~one@user/0ne/x-2101768) (*.net *.split)
[00:41:44] *** Quits: xzr (xzar@shell.troopers.fi) (*.net *.split)
[00:41:44] *** Quits: Chouhartem (~fmoumou@epheme.re) (*.net *.split)
[00:41:44] *** Quits: parazyd (~parazyd@devuan/developer/parazyd) (*.net *.split)
[00:41:44] *** Quits: artart78 (~artart78@2001:41d0:a:3ba6::1) (*.net *.split)
[00:41:44] *** Quits: pstn (~nunyuhbiz@user/pstn) (*.net *.split)
[00:41:44] *** Quits: shachaf (~shachaf@user/shachaf) (*.net *.split)
[00:41:44] *** Quits: sgt_chuckles (~sgt_chuck@pool-71-190-209-205.nycmny.fios.verizon.net) (*.net *.split)
[00:41:44] *** Quits: tomboy64 (~tomboy64@user/tomboy64) (*.net *.split)
[00:41:45] *** Quits: AlienTrooper (~Alien@user/alientrooper) (*.net *.split)
[00:41:45] *** Quits: aweinstock (~aweinstoc@cpe-67-248-65-250.nycap.res.rr.com) (*.net *.split)
[00:41:45] *** Quits: BrandonArnold2 (~brandon@ec2-52-27-188-210.us-west-2.compute.amazonaws.com) (*.net *.split)
[00:41:45] *** Quits: snappy (~snappy@user/snappy) (*.net *.split)
[00:41:45] *** Quits: hl (~hl@user/hl) (*.net *.split)
[00:41:45] *** Quits: drocan (~drocan@user/drocan) (*.net *.split)
[00:41:45] *** Quits: merpnderp (sid16744@id-16744.hampstead.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: mats1 (sid23029@user/mats1) (*.net *.split)
[00:41:45] *** Quits: PotatoGim (sid99505@id-99505.lymington.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: ekaj (~ekaj@user/ekaj) (*.net *.split)
[00:41:45] *** Quits: Manouchehri (sid384576@id-384576.hampstead.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: FireFly (~firefly@glowbum/gluehwuermchen/firefly) (*.net *.split)
[00:41:45] *** Quits: zegalch (~zegalch@178.128.75.133) (*.net *.split)
[00:41:45] *** Quits: andreas303 (andreas303@ip227.orange.bnc4free.com) (*.net *.split)
[00:41:45] *** Quits: swebb (~swebb@209.209.9.4) (*.net *.split)
[00:41:46] *** Quits: enyc (~enyc@user/enyc) (*.net *.split)
[00:41:46] *** Quits: wolfshappen (~waff@irc.furworks.de) (Max SendQ exceeded)
[00:44:12] *** Joins: mikrosis (~mikrosis@dynamic-046-114-173-011.46.114.pool.telefonica.de)
[00:44:12] *** Joins: yawkat (~yawkat@cats.coffee)
[00:44:12] *** Joins: ch1p (~ch1p@ch1p.io)
[00:44:12] *** Joins: skyl4rk (~tlvb@user/tlvb)
[00:44:12] *** Joins: opotin (~opotin@gyros.collabora.co.uk)
[00:44:12] *** Joins: Platonides (~Wikipedis@wikimedia/Platonides)
[00:44:12] *** Joins: DefiantN (~DefiantN@user/defiantn)
[00:44:12] *** Joins: voiceofreason (~voiceofre@207.148.10.181)
[00:44:12] *** Joins: platta (~platta@pool-173-61-104-121.cmdnnj.fios.verizon.net)
[00:44:12] *** Joins: Disconsented (~quassel@107.170.227.20)
[00:44:12] *** Joins: t0x0sh (~tosh@176.158.137.106)
[00:44:12] *** Joins: B4ckBOne (~B4ckBOne@85.10.195.46)
[00:44:12] *** Joins: llorllale (~llorllale@198.98.119.85)
[00:44:12] *** Joins: webstran- (~webstrand@user/webstrand)
[00:44:12] *** Joins: Anu (anunay@user/anunay)
[00:44:12] *** Joins: arooni (~arooni@li1062-244.members.linode.com)
[00:44:12] *** Joins: cehteh (~ct@git.pipapo.org)
[00:44:12] *** Joins: bgs (~bgs@cpe-212-85-160-171.cable.telemach.net)
[00:44:12] *** Joins: OneWheelGeek (~OneWheelG@alpha.straybits.org)
[00:44:12] *** Joins: mad_enz (~mad_enz@lnsm1-torontoxn-142-120-17-169.internet.virginmobile.ca)
[00:44:12] *** Joins: rmm (~rmm@user/rmm)
[00:44:12] *** Joins: gde33 (~gde33@84-106-154-98.cable.dynamic.v4.ziggo.nl)
[00:44:12] *** Joins: instantp10neer (~instantp1@user/instantp10neer)
[00:44:12] *** Joins: Alina-malina (~Alina-mal@user/alina-malina)
[00:44:12] *** Joins: towel (~towel@user/towel)
[00:44:12] *** Joins: TheCoffeMaker (~TheCoffeM@user/thecoffemaker)
[00:44:12] *** Joins: The_Tablet (~tablet@user/the-tablet)
[00:44:12] *** Joins: Wulf (~Wulf@user/wulf)
[00:44:12] *** Joins: joe7057 (~joseph@wnpgmb016qw-ds01-2-119.dynamic.bellmts.net)
[00:44:12] *** Joins: abraham (~abraham@143.244.185.86)
[00:44:12] *** Joins: lithium_pt (~lithiumpt@178.239.165.92)
[00:44:12] *** Joins: Mutsuhito_ (sid13530@ilkley.irccloud.com)
[00:44:12] *** Joins: byteskeptical (~amnesia@user/byteskeptical)
[00:44:12] *** Joins: aleck1 (~aleck@user/aleck)
[00:44:12] *** Joins: SlimmyJimmy (blank@user/slimmyjimmy)
[00:44:12] *** Joins: deusexbeer (~hedeo@37-146-227-150.broadband.corbina.ru)
[00:44:12] *** Joins: mweckbecker (~matthias@weckbecker.name)
[00:44:12] *** Joins: TimMc (~timmc@user/timmc)
[00:44:12] *** Joins: berndj (~berndj@ns2.linksynergy.co.za)
[00:44:12] *** Joins: karu (~karasu@puffy.mat.univie.ac.at)
