[00:02:26] <jcowan> blueyoner: Schemers can has properly spelled names too
[00:03:24] <jcowan> I use `list` as a variable/argument name all the time, as long as I don't need the global `list` function in the same lexical scope
[00:05:06] <sham1> And one can of course assign another name for the global list function if they wish
[00:05:14] <sham1> Just in the lexical scope
[01:10:16] *** Quits: prxq_ (~quassel@x4dbe8eed.dyn.telefonica.de) (*.net *.split)
[01:10:16] *** Quits: jeosol (~jeosol@76-238-186-228.lightspeed.hstntx.sbcglobal.net) (*.net *.split)
[01:10:16] *** Quits: anddam (~anddam@user/anddam) (*.net *.split)
[01:10:16] *** Quits: MiningMarsh (~MiningMar@user/miningmarsh) (*.net *.split)
[01:10:16] *** Quits: Algernon666 (~Algernon6@2a04:cec0:11ca:25f:c1b:1f06:29f:a3d) (*.net *.split)
[01:10:16] *** Quits: Colleen (~fermion@supersolid.equilibrium.tymoon.eu) (*.net *.split)
[01:10:16] *** Quits: summerisle (~eof@tty3.dev) (*.net *.split)
[01:10:16] *** Quits: tsuru (~charlie@2600:1700:5d51:26ff:ff74:fdb8:a461:6cfa) (*.net *.split)
[01:10:17] *** Quits: Oshawott (~archenoth@2604:3d09:681:f00:bda3:983e:438:ddd3) (*.net *.split)
[01:10:17] *** Quits: gko (~user@user/gko) (*.net *.split)
[01:10:17] *** Quits: robin (~robin@user/terpri) (*.net *.split)
[01:10:17] *** Quits: mdhughes (~mdhughes@user/mdhughes) (*.net *.split)
[01:10:17] *** Quits: Patch (~Patch@cpe-74-133-231-122.kya.res.rr.com) (*.net *.split)
[01:10:17] *** Quits: akarle (~akarle@user/akarle) (*.net *.split)
[01:10:17] *** Quits: Posterdati (~posterdat@host-87-19-166-231.retail.telecomitalia.it) (*.net *.split)
[01:10:17] *** Quits: abraham (~abraham@143.244.185.86) (*.net *.split)
[01:10:17] *** Quits: ahlk (~user@2600:1700:31c0:3a10::43) (*.net *.split)
[01:10:17] *** Quits: drmeister (sid45147@id-45147.ilkley.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: bmansurov (~bmansurov@mansurov.org) (*.net *.split)
[01:10:17] *** Quits: d_run (sid83858@id-83858.hampstead.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: leo_song (~leo_song@user/leo-song/x-7207016) (*.net *.split)
[01:10:17] *** Quits: hjudt (~hjudt@62-178-177-178.cable.dynamic.surfer.at) (*.net *.split)
[01:10:17] *** Quits: griffinmb (sid410590@id-410590.helmsley.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: tevo (~tevo@164.163.113.252.yesconnect.net.br) (*.net *.split)
[01:10:18] *** Quits: dbotton (sid492350@lymington.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: victor_ (sid208353@tinside.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: pl (sid98063@helmsley.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: alanz (sid110616@uxbridge.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: jsatk (sid304796@helmsley.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: lukego (sid312033@lymington.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: gendl (sid100083@hampstead.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: mrkajetanp (~mrkajetan@2a01:4b00:ea36:6c00:7994:941c:3f5d:2b88) (*.net *.split)
[01:10:18] *** Quits: hexology (~hexology@user/hexology) (*.net *.split)
[01:10:18] *** Quits: tgbugs (~hyperion2@cpe-70-95-172-122.san.res.rr.com) (*.net *.split)
[01:10:18] *** Quits: Mrtn[m] (~mrtn@2001:470:69fc:105::1f44) (*.net *.split)
[01:10:18] *** Quits: gabiruh_ (~gabiruh@vps19177.publiccloud.com.br) (*.net *.split)
[01:10:18] *** Quits: borodust (~irc@user/borodust) (*.net *.split)
[01:10:18] *** Quits: Cathrinus (~meow@vyos/developer/Lulu) (*.net *.split)
[01:10:18] *** Quits: flynn (~mcbloch@user/flynn) (*.net *.split)
[01:10:19] *** Quits: fe[nl]ix (~quassel@2a01:4f8:200:2425::adda) (*.net *.split)
[01:10:19] *** Quits: GreaseMonkey (greaser@user/greasemonkey) (*.net *.split)
[01:10:19] *** Quits: happy-dude (~happy-dud@2001:470:69fc:105::b4d7) (*.net *.split)
[01:10:19] *** Quits: cognemo (~cognemo@cpe-46-164-24-121.dynamic.amis.net) (*.net *.split)
[01:10:19] *** Quits: dextaa (~DV@user/dextaa) (*.net *.split)
[01:10:19] *** Quits: acolarh (~niels@3e6be663.rev.stofanet.dk) (*.net *.split)
[01:10:19] *** Quits: eMBee (~eMBee@realss.com) (*.net *.split)
[01:10:19] *** Quits: MetaYan_ (~MetaYan@c-7b5d235c.07-84-7462671.bbcust.telenor.se) (*.net *.split)
[01:10:20] *** Quits: kdlv (~kdlv@user/kdlv) (*.net *.split)
[01:10:20] *** Quits: v0|d (~user@ns1.core.gen.tr) (*.net *.split)
[01:10:20] *** Quits: nckx (~nckx@tobias.gr) (*.net *.split)
[01:10:20] *** Quits: gdsg443 (~wergsdfg@84-82-244-199.fixed.kpn.net) (*.net *.split)
[01:10:20] *** Quits: mmk2410 (~mmk2410@user/mmk2410) (*.net *.split)
[01:10:20] *** Quits: Alfr (~Alfr@user/alfr) (*.net *.split)
[01:10:20] *** Quits: flip214 (~marek@user/flip214) (*.net *.split)
[01:10:20] *** Quits: TheCoffeMaker (~TheCoffeM@user/thecoffemaker) (*.net *.split)
[01:10:20] *** Quits: seisatsu (~seisatsu@107.161.24.70) (*.net *.split)
[01:10:20] *** Quits: rdrg109 (~rdrg109@user/rdrg109) (*.net *.split)
[01:10:20] *** Quits: eschaton (~eschaton@li541-49.members.linode.com) (*.net *.split)
[01:10:20] *** Quits: jurov (~jurov@rev-81-92-255-36.radiolan.sk) (*.net *.split)
[01:10:20] *** Quits: pieguy128 (~pieguy128@bas1-quebec14-67-70-102-17.dsl.bell.ca) (*.net *.split)
[01:10:20] *** Quits: yitzi (~yitzi@2001:470:69fc:105::fafd) (*.net *.split)
[01:10:20] *** Quits: Irvise (~irvise@2001:470:69fc:105::84c) (*.net *.split)
[01:10:20] *** Quits: copec (~copec@schrodbox.unaen.org) (*.net *.split)
[01:10:20] *** Quits: lieven (~mal@ns2.wyrd.be) (*.net *.split)
[01:10:20] *** Quits: CrazyEddy (crazyed@2603:300a:1d10:c000:de4a:3eff:fe88:cc5f) (*.net *.split)
[01:10:20] *** Quits: dpk (~dpk@xn--issum-vva.nonceword.org) (*.net *.split)
[01:10:20] *** Quits: |3b| (bbb@user/3b/x-2324788) (*.net *.split)
[01:10:20] *** Quits: sheb (~sheb@31.223.228.71) (*.net *.split)
[01:10:20] *** Quits: mathrick_ (~mathrick@67.148.61.162) (*.net *.split)
[01:10:20] *** Quits: Jing (~hedgehog@125.105.11.101) (*.net *.split)
[01:10:20] *** Quits: phantomics (~phantomic@97-118-231-120.hlrn.qwest.net) (*.net *.split)
[01:10:20] *** Quits: raeda (~raeda@72.49.249.241) (*.net *.split)
[01:10:20] *** Quits: theBlackDragon (~dragon@fvwm/admin) (*.net *.split)
[01:10:20] *** Quits: chewbranca (sid35447@couchdb/committer/chewbranca) (*.net *.split)
[01:10:21] *** Quits: mzan (~quassel@mail.asterisell.com) (*.net *.split)
[01:10:21] *** Quits: infra_red[m] (~infraredm@2001:470:69fc:105::849) (*.net *.split)
[01:10:21] *** Quits: casaca (~casaca@user/casaca) (*.net *.split)
[01:10:21] *** Quits: AndrewYu (~andrew@user/andrewyu) (*.net *.split)
[01:10:21] *** Quits: emacsomancer (~emacsoman@136.60.128.68) (*.net *.split)
[01:10:21] *** Quits: mister_m (~user@c-73-110-154-209.hsd1.il.comcast.net) (*.net *.split)
[01:10:21] *** Quits: shtumf[m] (~shtumfmat@2001:470:69fc:105::1:1b21) (*.net *.split)
[01:10:22] *** Quits: Spawns_Carpet (~weechat@user/spawns-carpeting/x-6969421) (*.net *.split)
[01:10:22] *** Quits: gdd (~gdd@129.199.146.230) (*.net *.split)
[01:10:22] *** Quits: ogamita (~t@hubble.informatimago.com) (*.net *.split)
[01:10:22] *** Quits: elflng (~elflng@5.28.137.182) (*.net *.split)
[01:10:22] *** Quits: Arcsech (~arcsechma@2001:470:69fc:105::1:797) (*.net *.split)
[01:10:22] *** Quits: bigpresh (~bigpresh@libera/staff/bigpresh) (*.net *.split)
[01:10:22] *** Quits: HDurer (~hdurer@104.132.45.86) (*.net *.split)
[01:10:22] *** Quits: APic (apic@apic.name) (*.net *.split)
[01:10:22] *** Quits: phoe (~phoe@user/phoe) (*.net *.split)
[01:10:22] *** Quits: edr (~edr@user/edr) (*.net *.split)
[01:10:22] *** Quits: ck_ (~ck@plskthx.org) (*.net *.split)
[01:10:22] *** Quits: jfb4 (~jfb4@178.62.2.68) (*.net *.split)
[01:10:22] *** Quits: moon-child (~moon-chil@cardinal.elronnd.net) (*.net *.split)
[01:10:22] *** Quits: luis (~luis@lisp/luis) (*.net *.split)
[01:10:22] *** Quits: Svjatoslav (~Svjatosla@62.210.108.187) (*.net *.split)
[01:10:23] *** Quits: les (znc@user/les) (*.net *.split)
[01:10:23] *** Quits: Guest8626 (~x@mab.sdf.org) (*.net *.split)
[01:10:23] *** Quits: even4void (even4void@came.here.for-some.fun) (*.net *.split)
[01:10:23] *** Quits: pranavats (3fba1d1b34@2a00:c70:1:178:170:40:189:1) (*.net *.split)
[01:10:23] *** Quits: CrashTestDummy2 (~CrashTest@ool-ad02813b.dyn.optonline.net) (*.net *.split)
[01:10:23] *** Quits: iisi (sid19824@id-19824.hampstead.irccloud.com) (*.net *.split)
[01:10:23] *** Quits: sjl (~sjl@cpe-66-66-5-59.rochester.res.rr.com) (*.net *.split)
[01:10:23] *** Quits: rommudoh[m] (~rommudoht@2001:470:69fc:105::d736) (*.net *.split)
[01:10:23] *** Quits: pjb (~pjb@user/pjb) (*.net *.split)
[01:10:23] *** Quits: dmgk (~dmgk@user/dmgk) (*.net *.split)
[01:10:23] *** Quits: mcfrdy (~mcfrdy@user/mcfrdy) (*.net *.split)
[01:10:23] *** Quits: mfiano (~mfiano@li1282-157.members.linode.com) (*.net *.split)
[01:10:23] *** Quits: dash[m] (~washortgr@2001:470:69fc:105::8d8) (*.net *.split)
[01:10:23] *** Quits: artemon (~artemon@2001:470:69fc:105::87c) (*.net *.split)
[01:10:24] *** Quits: luna-is-here (~quassel@2a02:908:f761:2a3c::a) (*.net *.split)
[01:10:24] *** Quits: bailon (~gizzard@saturn.whatbox.ca) (*.net *.split)
[01:10:24] *** Quits: djinni` (~djinni@static.38.6.217.95.clients.your-server.de) (*.net *.split)
[01:10:24] *** Quits: fiddlerwoaroof (~fiddlerwo@user/fiddlerwoaroof) (*.net *.split)
[01:10:24] *** Quits: krjst (~krjst@2604:a880:800:c1::16b:8001) (*.net *.split)
[01:10:24] *** Quits: madnificent (~madnifice@static.210.74.63.178.clients.your-server.de) (*.net *.split)
[01:10:24] *** Quits: amazigh (~amirouche@user/amirouche) (*.net *.split)
[01:10:24] *** Quits: seabre (~seabre@user/seabre) (*.net *.split)
[01:10:24] *** Quits: loke[m] (~loke@2001:470:69fc:105::237) (*.net *.split)
[01:10:24] *** Quits: gingerale- (~gingerale@2a03:b0c0:0:1010::19:c001) (*.net *.split)
[01:10:25] *** Quits: xsperry (~xs@user/xsperry) (*.net *.split)
[01:10:25] *** Quits: conjunctive (sid433686@id-433686.helmsley.irccloud.com) (*.net *.split)
[01:10:25] *** Quits: splittist (sid17737@id-17737.tinside.irccloud.com) (*.net *.split)
[01:10:25] *** Quits: lavaflow (~lavaflow@c-76-104-248-66.hsd1.wa.comcast.net) (*.net *.split)
[01:10:25] *** Quits: aoh (~aki@haltp.org) (*.net *.split)
[01:10:25] *** Quits: vito (sid1962@user/vito) (*.net *.split)
[01:10:25] *** Quits: terrorjack (~terrorjac@2a01:4f8:1c1e:509a::1) (*.net *.split)
[01:10:25] *** Quits: Arw (~Arwalk@lfbn-dij-1-1462-22.w109-221.abo.wanadoo.fr) (*.net *.split)
[01:10:25] *** Quits: dto (sid344636@user/dto) (*.net *.split)
[01:10:25] *** Quits: punnie (~punniemat@2001:470:69fc:105::1193) (*.net *.split)
[01:10:25] *** Quits: psi[m] (~psikdeorg@2001:470:69fc:105::948f) (*.net *.split)
[01:10:25] *** Quits: dieggsy (~dieggsy@2001:470:69fc:105::91f) (*.net *.split)
[01:10:25] *** Quits: zups (~meow@2a01:4f9:c010:6036::1) (*.net *.split)
[01:10:26] *** Quits: matthewcroughan_ (~quassel@static.211.38.12.49.clients.your-server.de) (*.net *.split)
[01:10:26] *** Quits: hugo (znc@verdigris.lysator.liu.se) (*.net *.split)
[01:10:26] *** Quits: smorgasbord (buggy@user/smorgasbord) (*.net *.split)
[01:10:26] *** Quits: aaronm04 (~user@user/aaronm04) (*.net *.split)
[01:10:26] *** Quits: shenghi (~shenghi@chrysocolla.mutablevoid.org) (*.net *.split)
[01:10:26] *** Quits: zenptr (~zenptr@user/zenptr) (*.net *.split)
[01:10:26] *** Quits: lonjil (~quassel@user/lonjil) (*.net *.split)
[01:10:26] *** Quits: Gromboli3 (~Gromboli@user/gromboli) (*.net *.split)
[01:10:26] *** Quits: MichaelRaskin (~MichaelRa@ipb21a9944.dynamic.kabel-deutschland.de) (*.net *.split)
[01:10:26] *** Quits: In0perable (~PLAYER_1@fancydata.science) (*.net *.split)
[01:10:26] *** Quits: weinholt` (weinholt@h-37-123-132-162.A785.priv.bahnhof.se) (*.net *.split)
[01:10:26] *** Quits: mht-wtf (~mht@mht.wtf) (*.net *.split)
[01:10:26] *** Quits: freshmaker666 (~greeb@blahblahblah.anime.horse) (*.net *.split)
[01:10:27] *** Quits: runejuhl (~runejuhl@user/runejuhl) (*.net *.split)
[01:10:27] *** Quits: uiop1 (sid36937@id-36937.tinside.irccloud.com) (*.net *.split)
[01:10:27] *** Quits: Duuqnd (~duuqnd@2001:470:69fc:105::e9c0) (*.net *.split)
[01:10:27] *** Quits: kadoban (~kadoban@user/kadoban) (*.net *.split)
[01:10:27] *** Quits: RRRRedEye[m] (~uixneanmo@2001:470:69fc:105::f9d6) (*.net *.split)
[01:10:27] *** Quits: dstein64 (~dstein64@dannyadam.com) (*.net *.split)
[01:10:27] *** Quits: sham1 (~sham1@212-146-44-107.aboa.net) (*.net *.split)
[01:10:27] *** Quits: ft (~ft@shell.chaostreff-dortmund.de) (*.net *.split)
[01:10:28] *** Quits: loke (~loke@junk.nocrew.org) (*.net *.split)
[01:10:28] *** Quits: eco (~ubuntu@ec2-54-201-230-197.us-west-2.compute.amazonaws.com) (*.net *.split)
[01:10:28] *** Quits: gabc (~gabc@user/gabc) (*.net *.split)
[01:10:28] *** Quits: SAL9000 (~SAL9000@shirakumo/sal9000) (*.net *.split)
[01:10:28] *** Quits: teiresias (~chris@blvuug/founder/teiresias) (*.net *.split)
[01:10:28] *** Quits: phadthai (mmondor@user/phadthai) (*.net *.split)
[01:10:28] *** Quits: jrjsmrtn (~jrjsmrtn@ip-62-235-219-205.dsl.scarlet.be) (*.net *.split)
[01:10:28] *** Quits: hanshen[m]1 (~hanshenma@2001:470:69fc:105::1:3da8) (*.net *.split)
[01:10:28] *** Quits: specbot (~specbot@common-lisp.net) (*.net *.split)
[01:10:28] *** Quits: cheers (user@2600:3c00::f03c:91ff:fe1c:3c39) (*.net *.split)
[01:10:29] *** Quits: sepanko (~sepanko@user/sepanko) (*.net *.split)
[01:10:29] *** Quits: siraben (~siraben@user/siraben) (*.net *.split)
[01:10:29] *** Quits: Spawns_Carpet[m] (~inceptor-@2001:470:69fc:105::1:298b) (*.net *.split)
[01:10:29] *** Quits: samebchase (~thelounge@51.15.68.182) (*.net *.split)
[01:10:29] *** Quits: deltab (~deltab@user/deltab) (*.net *.split)
[01:10:29] *** Quits: swistak (~swistak@185.21.216.141) (*.net *.split)
[01:10:29] *** Quits: opcode (~nathan@user/opcode) (*.net *.split)
[01:10:29] *** Quits: dim (~dimlibera@212.85.154.83) (*.net *.split)
[01:10:29] *** Quits: contrapunctus (a75f5b1571@jabberfr.org) (*.net *.split)
[01:10:30] *** Quits: ChanServ (ChanServ@services.libera.chat) (*.net *.split)
[01:10:30] *** Quits: pdietz (~pdietz@216-59-66-162.static.firstlight.net) (*.net *.split)
[01:10:30] *** Quits: ec_ (~ec@gateway/tor-sasl/ec) (*.net *.split)
[01:10:30] *** Quits: madage (~madage@user/madage) (*.net *.split)
[01:10:30] *** Quits: chiselfuse (~chiselfus@user/chiselfuse) (*.net *.split)
[01:10:30] *** Quits: azimut (~azimut@gateway/tor-sasl/azimut) (*.net *.split)
[01:10:30] *** Quits: anticomputer (~anticompu@gateway/tor-sasl/anticomputer) (*.net *.split)
[01:10:30] *** Quits: gxt (~gxt@gateway/tor-sasl/gxt) (*.net *.split)
[01:12:52] *** Quits: x88x88x (~cheeg@gateway/vpn/pia/x88x88x) (Ping timeout: 264 seconds)
[01:14:21] *** Joins: Colt (~Colt@user/colt)
[01:14:21] *** Joins: poselyqualityles (~poselyqua@user/poselyqualityles)
[01:14:21] *** Joins: chiselfuse (~chiselfus@user/chiselfuse)
[01:14:21] *** Joins: gxt (~gxt@gateway/tor-sasl/gxt)
[01:14:21] *** Joins: mtreis (~mtreis@ip68-9-89-162.ri.ri.cox.net)
[01:14:21] *** Joins: Algernon666 (~Algernon6@2a04:cec0:11ca:25f:c1b:1f06:29f:a3d)
[01:14:21] *** Joins: stkrdknmibalz (~test@rrcs-75-87-43-226.sw.biz.rr.com)
[01:14:21] *** Joins: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f)
[01:14:21] *** Joins: amb007 (~a_bakic@102.215.76.86.rev.sfr.net)
[01:14:21] *** Joins: yitzi (~yitzi@2001:470:69fc:105::fafd)
[01:14:21] *** Joins: Mrtn[m] (~mrtn@2001:470:69fc:105::1f44)
[01:14:21] *** Joins: Irvise (~irvise@2001:470:69fc:105::84c)
[01:14:21] *** Joins: shtumf[m] (~shtumfmat@2001:470:69fc:105::1:1b21)
[01:14:21] *** Joins: loke[m] (~loke@2001:470:69fc:105::237)
[01:14:21] *** Joins: zbrown[m] (~zbrownm]@2001:470:69fc:105::1:33db)
[01:14:21] *** Joins: jasom (~aidenn@2600:8802:7fa0:500:f833:278f:1567:d354)
[01:14:21] *** Joins: cosimone (~user@93-47-231-139.ip115.fastwebnet.it)
[01:14:21] *** Joins: rgherdt (~rgherdt@2a02:8109:86c0:d8d:e16c:4540:80bf:ba53)
[01:14:21] *** Joins: _0x1d3 (sid43116@id-43116.tinside.irccloud.com)
[01:14:21] *** Joins: sbodin (~Android@185.12.224.209)
[01:14:21] *** Joins: theothornhill (~user@217.84-49-191.nextgentel.com)
[01:14:21] *** Joins: ec_ (~ec@gateway/tor-sasl/ec)
[01:14:21] *** Joins: justache (~justache@user/justache)
[01:14:21] *** Joins: aartaka (aartaka@gateway/vpn/protonvpn/aartaka)
[01:14:21] *** Joins: makomo (~makomo@user/makomo)
[01:14:21] *** Joins: mononote (~mononote@user/mononote)
[01:14:21] *** Joins: pdietz (~pdietz@216-59-66-162.static.firstlight.net)
[01:14:21] *** Joins: madage (~madage@user/madage)
[01:14:21] *** Joins: letto2 (~letto@188.25.118.240)
[01:14:21] *** Joins: Lord_of_Life (~Lord@user/lord-of-life/x-2819915)
[01:14:21] *** Joins: krl_ (~krl@h-158-174-122-239.A357.priv.bahnhof.se)
[01:14:21] *** Joins: CrazyEddy (crazyed@2603:300a:1d10:c000:de4a:3eff:fe88:cc5f)
[01:14:21] *** Joins: les (znc@user/les)
[01:14:21] *** Joins: Guest8626 (~x@mab.sdf.org)
[01:14:21] *** Joins: even4void (even4void@came.here.for-some.fun)
[01:14:21] *** Joins: gingerale- (~gingerale@2a03:b0c0:0:1010::19:c001)
[01:14:21] *** Joins: copec (~copec@schrodbox.unaen.org)
[01:14:21] *** Joins: |3b| (bbb@user/3b/x-2324788)
[01:14:21] *** Joins: acolarh (~niels@3e6be663.rev.stofanet.dk)
[01:14:21] *** Joins: dextaa (~DV@user/dextaa)
[01:14:21] *** Joins: Colleen (~fermion@supersolid.equilibrium.tymoon.eu)
[01:14:21] *** Joins: lieven (~mal@ns2.wyrd.be)
[01:14:21] *** Joins: summerisle (~eof@tty3.dev)
[01:14:21] *** Joins: dpk (~dpk@xn--issum-vva.nonceword.org)
[01:14:21] *** Joins: eMBee (~eMBee@realss.com)
[01:14:21] *** Joins: MetaYan_ (~MetaYan@c-7b5d235c.07-84-7462671.bbcust.telenor.se)
[01:14:21] *** Joins: prxq_ (~quassel@x4dbe8eed.dyn.telefonica.de)
[01:14:21] *** Joins: tsuru (~charlie@2600:1700:5d51:26ff:ff74:fdb8:a461:6cfa)
[01:14:21] *** Joins: jeosol (~jeosol@76-238-186-228.lightspeed.hstntx.sbcglobal.net)
[01:14:21] *** Joins: kdlv (~kdlv@user/kdlv)
[01:14:21] *** Joins: v0|d (~user@ns1.core.gen.tr)
[01:14:21] *** Joins: nckx (~nckx@tobias.gr)
[01:14:21] *** Joins: sheb (~sheb@31.223.228.71)
[01:14:21] *** Joins: gdsg443 (~wergsdfg@84-82-244-199.fixed.kpn.net)
[01:14:21] *** Joins: mathrick_ (~mathrick@67.148.61.162)
[01:14:21] *** Joins: anddam (~anddam@user/anddam)
[01:14:21] *** Joins: mmk2410 (~mmk2410@user/mmk2410)
[01:14:21] *** Joins: Alfr (~Alfr@user/alfr)
[01:14:21] *** Joins: Jing (~hedgehog@125.105.11.101)
[01:14:21] *** Joins: phantomics (~phantomic@97-118-231-120.hlrn.qwest.net)
[01:14:21] *** Joins: MiningMarsh (~MiningMar@user/miningmarsh)
[01:14:21] *** Joins: raeda (~raeda@72.49.249.241)
[01:14:21] *** Joins: theBlackDragon (~dragon@fvwm/admin)
[01:14:21] *** Joins: jrjsmrtn (~jrjsmrtn@ip-62-235-219-205.dsl.scarlet.be)
[01:14:21] *** Joins: xsperry (~xs@user/xsperry)
[01:14:21] *** Joins: azimut (~azimut@gateway/tor-sasl/azimut)
[01:14:21] *** Joins: pranavats (3fba1d1b34@2a00:c70:1:178:170:40:189:1)
[01:14:21] *** Joins: Oshawott (~archenoth@2604:3d09:681:f00:bda3:983e:438:ddd3)
[01:14:21] *** Joins: gko (~user@user/gko)
[01:14:21] *** Joins: Gromboli3 (~Gromboli@user/gromboli)
[01:14:21] *** Joins: CrashTestDummy2 (~CrashTest@ool-ad02813b.dyn.optonline.net)
[01:14:21] *** Joins: chewbranca (sid35447@couchdb/committer/chewbranca)
[01:14:21] *** Joins: iisi (sid19824@id-19824.hampstead.irccloud.com)
[01:14:21] *** Joins: conjunctive (sid433686@id-433686.helmsley.irccloud.com)
[01:14:21] *** Joins: splittist (sid17737@id-17737.tinside.irccloud.com)
[01:14:21] *** Joins: robin (~robin@user/terpri)
[01:14:21] *** Joins: MichaelRaskin (~MichaelRa@ipb21a9944.dynamic.kabel-deutschland.de)
[01:14:21] *** Joins: sjl (~sjl@cpe-66-66-5-59.rochester.res.rr.com)
[01:14:21] *** Joins: mdhughes (~mdhughes@user/mdhughes)
[01:14:21] *** Joins: anticomputer (~anticompu@gateway/tor-sasl/anticomputer)
[01:14:21] *** Joins: Patch (~Patch@cpe-74-133-231-122.kya.res.rr.com)
[01:14:21] *** Joins: lavaflow (~lavaflow@c-76-104-248-66.hsd1.wa.comcast.net)
[01:14:21] *** Joins: In0perable (~PLAYER_1@fancydata.science)
[01:14:21] *** Joins: aoh (~aki@haltp.org)
[01:14:21] *** Joins: weinholt` (weinholt@h-37-123-132-162.A785.priv.bahnhof.se)
[01:14:21] *** Joins: mht-wtf (~mht@mht.wtf)
[01:14:21] *** Joins: freshmaker666 (~greeb@blahblahblah.anime.horse)
[01:14:21] *** Joins: gabiruh_ (~gabiruh@vps19177.publiccloud.com.br)
[01:14:21] *** Joins: flynn (~mcbloch@user/flynn)
[01:14:21] *** Joins: borodust (~irc@user/borodust)
[01:14:21] *** Joins: Cathrinus (~meow@vyos/developer/Lulu)
[01:14:21] *** Joins: akarle (~akarle@user/akarle)
[01:14:21] *** Joins: Spawns_Carpet (~weechat@user/spawns-carpeting/x-6969421)
[01:14:21] *** Joins: Posterdati (~posterdat@host-87-19-166-231.retail.telecomitalia.it)
[01:14:21] *** Joins: gdd (~gdd@129.199.146.230)
