[00:02:24] *** Joins: rgherdt__ (~rgherdt@2a01:598:d036:698b:4f59:ac7:3ad8:3320)
[00:02:31] *** Joins: gaqwas (~john@dynamic-095-118-123-231.95.118.pool.telefonica.de)
[00:04:55] *** Quits: rgherdt_ (~rgherdt@2a01:598:d038:d67f:f4bd:95ae:c30:7222) (Ping timeout: 250 seconds)
[00:05:46] *** Quits: scymtym (~user@2001:638:504:20e6:6ac3:87e0:e782:f3fc) (Ping timeout: 260 seconds)
[00:05:48] *** Quits: Brucio-92 (~Brucio-92@2001:638:504:20e6:6ac3:87e0:e782:f3fc) (Ping timeout: 250 seconds)
[00:16:33] *** Quits: gaqwas (~john@dynamic-095-118-123-231.95.118.pool.telefonica.de) (Remote host closed the connection)
[00:19:02] *** Quits: tophullyte (tophullyte@gateway/vpn/protonvpn/tophullyte) (Quit: Leaving)
[00:41:33] *** Quits: alvaro121 (~aa@201.230.126.66) (*.net *.split)
[00:41:33] *** Quits: contrapunctus (a75f5b1571@jabberfr.org) (*.net *.split)
[00:41:33] *** Quits: stack1 (~stack@ctrl-c.club) (*.net *.split)
[00:41:33] *** Quits: cross_ (~cross@spitfire.i.gajendra.net) (*.net *.split)
[00:41:33] *** Quits: danieli (~danieli@user/danieli) (*.net *.split)
[00:41:33] *** Quits: Shinmera (~shinmera@shirakumo/shinmera) (*.net *.split)
[00:41:34] *** Quits: z3t0 (~z3t0@146.71.14.98) (*.net *.split)
[00:41:34] *** Quits: jmpeax (~jmpeax@host-68-169-157-168.VALOLT2.epbfi.com) (*.net *.split)
[00:41:34] *** Quits: amk (~amk@109.255.169.126) (*.net *.split)
[00:41:34] *** Quits: russe (~user@cl-user.org) (*.net *.split)
[00:41:34] *** Quits: gjvc (~gjvc@user/gjvc) (*.net *.split)
[00:41:34] *** Quits: hineios (~hineios@a95-93-142-124.cpe.netcabo.pt) (*.net *.split)
[00:41:34] *** Quits: mason (~mason@redhat/mason) (*.net *.split)
[00:41:34] *** Quits: les_ (~whome@user/les) (*.net *.split)
[00:41:34] *** Quits: TMA (~tma@twin.jikos.cz) (*.net *.split)
[00:41:34] *** Quits: hubvu_ (sid495858@tinside.irccloud.com) (*.net *.split)
[00:41:34] *** Quits: materialfuture (~materialf@149.248.8.187) (*.net *.split)
[00:41:34] *** Quits: skyl4rk (~tlvb@user/tlvb) (*.net *.split)
[00:41:34] *** Quits: Dynom (~niels@80-114-12-206.cable.dynamic.v4.ziggo.nl) (*.net *.split)
[00:41:34] *** Quits: robin (~robin@user/terpri) (*.net *.split)
[00:41:34] *** Quits: Catie (~user@user/catie) (*.net *.split)
[00:41:34] *** Quits: NotThatRPG (~NotThatRP@162-219-230-90.fttp.usinternet.com) (*.net *.split)
[00:41:34] *** Quits: waleee (~waleee@2001:9b0:21d:fc00:398f:b003:b90d:acf4) (*.net *.split)
[00:41:34] *** Quits: clos-encounters (user@2600:3c00::f03c:92ff:fe19:3350) (*.net *.split)
[00:41:34] *** Quits: rotateq (~user@p200300e78706a00050f72feb644e2401.dip0.t-ipconnect.de) (*.net *.split)
[00:41:34] *** Quits: wacki (~wacki@87.122.86.194) (*.net *.split)
[00:41:34] *** Quits: semz (~semz@user/semz) (*.net *.split)
[00:41:35] *** Quits: molson (~molson@2001-48F8-704A-123D-0-0-75F-1037-static.midco.net) (*.net *.split)
[00:41:35] *** Quits: easye (~user@oxi.slack.net) (*.net *.split)
[00:41:35] *** Quits: Josh_2 (~user@37.25.47.130) (*.net *.split)
[00:41:35] *** Quits: cylb (~cylb@pool-173-76-181-138.bstnma.fios.verizon.net) (*.net *.split)
[00:41:35] *** Quits: susam (~susam@user/susam) (*.net *.split)
[00:41:35] *** Quits: GreaseMonkey (greaser@user/greasemonkey) (*.net *.split)
[00:41:35] *** Quits: _whitelogger (~whitelogg@uruz.whitequark.org) (*.net *.split)
[00:41:35] *** Quits: lottaquestions_ (~nick@2607:fa49:5041:a200:c011:d62d:2c14:89f2) (*.net *.split)
[00:41:35] *** Quits: sveit_ (~sveit@2001:19f0:ac01:247:5400:ff:fe5c:689f) (*.net *.split)
[00:41:35] *** Quits: splittist (sid17737@id-17737.tinside.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: gko` (~user@user/gko) (*.net *.split)
[00:41:35] *** Quits: payphone (dd09ba4109@2604:bf00:561:2000::20b) (*.net *.split)
[00:41:35] *** Quits: jasom (f3e90f0325@2604:bf00:561:2000::3a6) (*.net *.split)
[00:41:35] *** Quits: dre (~dre@2001:8003:c932:c301:77c0:cff4:f6dd:6abf) (*.net *.split)
[00:41:35] *** Quits: etiago (~etiago@user/etiago) (*.net *.split)
[00:41:35] *** Quits: IUSR (sid348938@id-348938.hampstead.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: drmeister (sid45147@id-45147.ilkley.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: |smlckz| (~smlckz@user/smlckz) (*.net *.split)
[00:41:35] *** Quits: Krystof (~user@81.174.155.115) (*.net *.split)
[00:41:35] *** Quits: joast (~rick@cpe-98-146-112-4.natnow.res.rr.com) (*.net *.split)
[00:41:35] *** Quits: lawt (~lawt@2601:200:8101:f140:dea6:32ff:fea1:adf9) (*.net *.split)
[00:41:35] *** Quits: Equill (~Equill@80.30.200.244) (*.net *.split)
[00:41:36] *** Quits: White_Flame (~quassel@user/white-flame/x-6930243) (*.net *.split)
[00:41:36] *** Quits: opcode (~opcode@user/opcode) (*.net *.split)
[00:41:36] *** Quits: mixfix41 (~homefame@user/mixfix41) (*.net *.split)
[00:41:36] *** Quits: unyu (~pyon@user/pyon) (*.net *.split)
[00:41:36] *** Quits: lagash (lagash@lagash.shelltalk.net) (*.net *.split)
[00:41:36] *** Quits: etimmons (m-fyxyzb@li834-247.members.linode.com) (*.net *.split)
[00:41:36] *** Quits: mfiano (~mfiano@li1282-157.members.linode.com) (*.net *.split)
[00:41:36] *** Quits: mcoll (1cd8fbb055@2604:bf00:561:2000::160) (*.net *.split)
[00:41:36] *** Quits: sm2n (ae95cb1267@user/sm2n) (*.net *.split)
[00:41:36] *** Quits: axvr (757f658d76@2604:bf00:561:2000::e1) (*.net *.split)
[00:41:36] *** Quits: brown121407 (1fd27a54a7@gnu/webmaster/smarton) (*.net *.split)
[00:41:36] *** Quits: theothornhill (4948e39ef8@2604:bf00:561:2000::40) (*.net *.split)
[00:41:36] *** Quits: srhm (dda3db84b5@user/srhm) (*.net *.split)
[00:41:36] *** Quits: thonkpod (~thonkpod@user/thonkpod) (*.net *.split)
[00:41:36] *** Quits: krjst (~krjst@2604:a880:800:c1::16b:8001) (*.net *.split)
[00:41:36] *** Quits: iisi (sid19824@id-19824.hampstead.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: light (~light@user/light) (*.net *.split)
[00:41:36] *** Quits: lucerne (~lucerne@ip202.ip-51-178-215.eu) (*.net *.split)
[00:41:36] *** Quits: lewisje (~lewisje@72.49.207.113) (*.net *.split)
[00:41:36] *** Quits: MetaYan (~MetaYan@c-7b5d235c.07-84-7462671.bbcust.telenor.se) (*.net *.split)
[00:41:36] *** Quits: cpape`` (~user@2a01:4f9:c010:632d::1) (*.net *.split)
[00:41:36] *** Quits: ogamita`` (~t@hubble.informatimago.com) (*.net *.split)
[00:41:36] *** Quits: hirez (~hirez@104.128.237.40) (*.net *.split)
[00:41:36] *** Quits: jsatk__ (sid304796@id-304796.helmsley.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: flip214 (~marek@user/flip214) (*.net *.split)
[00:41:36] *** Quits: rgherdt__ (~rgherdt@2a01:598:d036:698b:4f59:ac7:3ad8:3320) (*.net *.split)
[00:41:37] *** Quits: Oddity (~Oddity@user/oddity) (*.net *.split)
[00:41:37] *** Quits: dstein64 (~dstein64@dannyadam.com) (*.net *.split)
[00:41:37] *** Quits: Inline (~Inline@ip-037-201-241-209.um10.pools.vodafone-ip.de) (*.net *.split)
[00:41:37] *** Quits: psf (~pi@206.55.172.18) (*.net *.split)
[00:41:37] *** Quits: d4ryus (~d4ryus@ppp-188-174-84-16.dynamic.mnet-online.de) (*.net *.split)
[00:41:37] *** Quits: [smlckz] (3329f5a75b@user/smlckz) (*.net *.split)
[00:41:37] *** Quits: leo_song (~leo_song@user/leo-song/x-7207016) (*.net *.split)
[00:41:37] *** Quits: luis (~luis@lisp/luis) (*.net *.split)
[00:41:37] *** Quits: phadthai (~mmondor@user/phadthai) (*.net *.split)
[00:41:37] *** Quits: specbot (~specbot@common-lisp.net) (*.net *.split)
[00:41:37] *** Quits: Fade (fade@outrider.deepsky.com) (*.net *.split)
[00:41:37] *** Quits: hhdave (~hhdave@ip212.ip-193-70-71.eu) (*.net *.split)
[00:41:37] *** Quits: ns12 (~ns12@user/ns12) (*.net *.split)
[00:41:37] *** Quits: ChanServ (ChanServ@services.libera.chat) (*.net *.split)
[00:41:37] *** Quits: aeth (~aeth@user/aeth) (*.net *.split)
[00:41:37] *** Quits: mon_aaraj (~MonAaraj@user/mon-aaraj/x-4416475) (*.net *.split)
[00:41:37] *** Quits: raeda (~raeda@72.49.252.109) (*.net *.split)
[00:41:37] *** Quits: wyrd (~wyrd@gateway/tor-sasl/wyrd) (*.net *.split)
[00:41:37] *** Quits: azimut (~azimut@gateway/tor-sasl/azimut) (*.net *.split)
[00:41:37] *** Quits: triffid (~triffid@gateway/tor-sasl/triffid) (*.net *.split)
[00:41:37] *** Quits: anticomputer (~anticompu@gateway/tor-sasl/anticomputer) (*.net *.split)
[00:41:37] *** Quits: gxt (~gxt@gateway/tor-sasl/gxt) (*.net *.split)
[00:41:37] *** Quits: cage (~cage@dynamic-adsl-84-221-50-16.clienti.tiscali.it) (*.net *.split)
[00:41:37] *** Quits: Spawns (~Spawns_Ca@user/spawns-carpeting/x-6969421) (*.net *.split)
[00:41:37] *** Quits: pjb (~pjb@user/pjb) (*.net *.split)
[00:41:38] *** Quits: linjian (~linj@user/linj) (*.net *.split)
[00:41:38] *** Quits: CodeBitCookie[m] (~code-bit-@2001:470:69fc:105::a2f) (*.net *.split)
[00:41:38] *** Quits: Duuqnd (~duuqnd@2001:470:69fc:105::e9c0) (*.net *.split)
[00:41:38] *** Quits: katco (~katco@2001:470:69fc:105::2b8) (*.net *.split)
[00:41:38] *** Quits: nworb (~zbrownm]@2001:470:69fc:105::1:33db) (*.net *.split)
[00:41:38] *** Quits: seragold[m] (~seragoldm@2001:470:69fc:105::1:6b7f) (*.net *.split)
[00:41:38] *** Quits: Spawns_Carpet[m] (~inceptor-@2001:470:69fc:105::1:298b) (*.net *.split)
[00:41:38] *** Quits: jmercouris (sid438340@id-438340.hampstead.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: antoszka (sid528518@id-528518.uxbridge.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: lieven (~mal@ns2.wyrd.be) (*.net *.split)
[00:41:38] *** Quits: copec (~copec@schrodbox.unaen.org) (*.net *.split)
[00:41:38] *** Quits: bollu (~bollu@159.65.151.13) (*.net *.split)
[00:41:38] *** Quits: gabc (~gabc@user/gabc) (*.net *.split)
[00:41:38] *** Quits: dcx (~dcx@user/dac) (*.net *.split)
[00:41:38] *** Quits: even4void (even4void@came.here.for-some.fun) (*.net *.split)
[00:41:38] *** Quits: zups (~meow@2a01:4f9:c010:6036::1) (*.net *.split)
[00:41:39] *** Quits: lonjil (~quassel@user/lonjil) (*.net *.split)
[00:41:39] *** Quits: jealousmonk (~user@user/jealousmonk) (*.net *.split)
[00:41:39] *** Quits: Rue (~rue@2001-b011-1000-1c39-cdcc-c9c1-11c3-6370.dynamic-ip6.hinet.net) (*.net *.split)
[00:41:39] *** Quits: silasfox (~sbv@p200300cec714f800caf8c79c6d0f1c51.dip0.t-ipconnect.de) (*.net *.split)
[00:41:39] *** Quits: qhong (~qhong@rescomp-21-400677.stanford.edu) (*.net *.split)
[00:41:39] *** Quits: jgart (16dd2205e4@irc.cheogram.com) (*.net *.split)
[00:41:39] *** Quits: Arcsech (~arcsechma@2001:470:69fc:105::1:797) (*.net *.split)
[00:41:39] *** Quits: opalvaults[m] (~opalvault@2001:470:69fc:105::1:51f6) (*.net *.split)
[00:41:39] *** Quits: dieggsy (~dieggsy@2001:470:69fc:105::91f) (*.net *.split)
[00:41:39] *** Quits: Jach (~Jach@2601:600:8600:307:7e31:e7a7:f1f3:a96b) (*.net *.split)
[00:41:39] *** Quits: spec (~spec@user/spec) (*.net *.split)
[00:41:39] *** Quits: thomaslewis (6e04fe5c02@mail.nobodyhasthe.biz) (*.net *.split)
[00:41:39] *** Quits: selwyn (~selwyn@user/selwyn) (*.net *.split)
[00:41:39] *** Quits: energizer (~energizer@user/energizer) (*.net *.split)
[00:41:39] *** Quits: iquites (sid77830@id-77830.lymington.irccloud.com) (*.net *.split)
[00:41:40] *** Quits: zephyr (~alandiper@ec2-34-230-252-114.compute-1.amazonaws.com) (*.net *.split)
[00:41:40] *** Quits: griffinmb (sid410590@id-410590.helmsley.irccloud.com) (*.net *.split)
[00:41:40] *** Quits: aartaka (aartaka@gateway/vpn/protonvpn/aartaka) (*.net *.split)
[00:41:40] *** Quits: morganw (~user@80.225.24.132) (*.net *.split)
[00:41:40] *** Quits: pieguy128 (~pieguy128@bras-base-mtrlpq5031w-grc-35-70-24-248-224.dsl.bell.ca) (*.net *.split)
[00:41:40] *** Quits: neominimum (sid537410@user/neominimum) (*.net *.split)
[00:41:40] *** Quits: jcowan (sid325434@ilkley.irccloud.com) (*.net *.split)
[00:41:40] *** Quits: random-nick (~random-ni@87.116.167.125) (*.net *.split)
[00:41:40] *** Quits: m5zs7k (aquares@web10.mydevil.net) (*.net *.split)
[00:41:40] *** Quits: Lord_of_Life (~Lord@user/lord-of-life/x-2819915) (*.net *.split)
[00:41:40] *** Quits: shka (~herr@109.231.0.226) (*.net *.split)
[00:41:40] *** Quits: micro (~micro@user/micro) (*.net *.split)
[00:41:40] *** Quits: fiddlerwoaroof (~fiddlerwo@user/fiddlerwoaroof) (*.net *.split)
[00:41:40] *** Quits: ski (~ski@remote12.chalmers.se) (*.net *.split)
[00:41:40] *** Quits: phantomics (~phantomic@71-218-126-185.hlrn.qwest.net) (*.net *.split)
[00:41:40] *** Quits: empwilli (~empwilli@faui48e.informatik.uni-erlangen.de) (*.net *.split)
[00:41:40] *** Quits: moon-child (~moon-chil@cardinal.elronnd.net) (*.net *.split)
[00:41:40] *** Quits: sjl (~sjl@cpe-66-66-5-59.rochester.res.rr.com) (*.net *.split)
[00:41:40] *** Quits: sander (~sander@user/sander) (*.net *.split)
[00:41:40] *** Quits: hisacro (~OBSD@my.displ.nl) (*.net *.split)
[00:41:40] *** Quits: markasoftware (~quassel@107.161.26.124) (*.net *.split)
[00:41:41] *** Quits: igemnace (~ian@user/igemnace) (*.net *.split)
[00:41:41] *** Quits: beach (~user@2a01:cb19:150:3400:62f7:c889:3c24:ec89) (*.net *.split)
[00:41:41] *** Quits: EdLangley[m] (~edwlanmed@2001:470:69fc:105::7a0b) (*.net *.split)
[00:41:41] *** Quits: mmk2410 (~mmk2410@user/mmk2410) (*.net *.split)
[00:41:42] *** Quits: mht-wtf (~mht@2a03:b0c0:3:e0::1e2:c001) (*.net *.split)
[00:41:42] *** Quits: resttime (~rest@2604:a880:400:d0::1b48:d001) (*.net *.split)
[00:41:42] *** Quits: hefner (~hefner@user/hefner) (*.net *.split)
[00:41:42] *** Quits: loke (~loke@junk.nocrew.org) (*.net *.split)
[00:41:42] *** Quits: zagura (~zagura@user/zagura) (*.net *.split)
[00:41:42] *** Quits: saturn2 (~visitant@user/clone-of-saturn/x-1551297) (*.net *.split)
[00:41:42] *** Quits: edgar-rft (~edgar-rft@HSI-KBW-109-193-249-223.hsi7.kabel-badenwuerttemberg.de) (*.net *.split)
[00:41:42] *** Quits: Kabriel (~Kabriel@user/kabriel) (*.net *.split)
[00:41:42] *** Quits: borodust (~irc@user/borodust) (*.net *.split)
[00:41:42] *** Quits: bldr (~bull@185.117.72.168) (*.net *.split)
[00:41:42] *** Quits: nckx (~nckx@tobias.gr) (*.net *.split)
[00:41:42] *** Quits: rdrg109 (~rdrg109@user/rdrg109) (*.net *.split)
[00:41:42] *** Quits: saltrocklamp[m] (~hexology@user/hexology) (*.net *.split)
[00:41:43] *** Quits: remexre (~remexre@user/remexre) (*.net *.split)
[00:41:43] *** Quits: luna-is-here (~quassel@2a02:908:f761:2a3c::a) (*.net *.split)
[00:41:43] *** Quits: iamFIREc1 (~iamFIREcr@user/iamfirecracker) (*.net *.split)
[00:41:43] *** Quits: conjunctive (sid433686@id-433686.helmsley.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: victor__ (sid208353@id-208353.tinside.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: dale (~dale@user/dale) (*.net *.split)
[00:41:43] *** Quits: mzan (~quassel@mail.asterisell.com) (*.net *.split)
[00:41:43] *** Quits: terrorjack (~terrorjac@2a01:4f8:1c1e:509a::1) (*.net *.split)
[00:41:43] *** Quits: SAL9000 (~SAL9000@shirakumo/sal9000) (*.net *.split)
[00:41:43] *** Quits: form_feed (~form_feed@user/f/x-7101985) (*.net *.split)
[00:41:43] *** Quits: Xach (~xach@user/xach) (*.net *.split)
[00:41:43] *** Quits: xsperry (~xs@user/xsperry) (*.net *.split)
[00:41:43] *** Quits: skeemer (~skeemer@h-158-174-23-219.NA.cust.bahnhof.se) (*.net *.split)
[00:41:43] *** Quits: djuber (~user@65.79.128.64) (*.net *.split)
[00:41:43] *** Quits: wmblathers (~wmblather@162-199-148-123.lightspeed.mdsnwi.sbcglobal.net) (*.net *.split)
[00:41:43] *** Quits: minion (~minion@common-lisp.net) (*.net *.split)
[00:41:43] *** Quits: brettgilio (~brettgili@x-node.gq) (*.net *.split)
[00:41:43] *** Quits: perro_ (~perro@072-191-245-069.res.spectrum.com) (*.net *.split)
[00:41:43] *** Quits: jaimelm (~jaimelm@deneb.emergentcommunitysystems.com) (*.net *.split)
[00:41:43] *** Quits: theBlackDragon (~dragon@fvwm/admin) (*.net *.split)
[00:41:43] *** Quits: samebchase (~samebchas@51.15.68.182) (*.net *.split)
[00:41:43] *** Quits: madnificent (~madnifice@static.210.74.63.178.clients.your-server.de) (*.net *.split)
[00:41:43] *** Quits: fitzsim (~user@69-165-165-189.dsl.teksavvy.com) (*.net *.split)
[00:41:43] *** Quits: cosimone (~user@2001:b07:ae5:db26:c24a:d20:4d91:1e20) (*.net *.split)
[00:41:43] *** Quits: parjanya (~esb@2804:14c:1ad:9351:1402:1741:3531:7449) (*.net *.split)
[00:41:43] *** Quits: notzmv (~zmv@user/notzmv) (*.net *.split)
[00:41:43] *** Quits: pranavats (3fba1d1b34@2a00:c70:1:178:170:40:189:1) (*.net *.split)
[00:41:44] *** Quits: prov[m] (~provessor@2001:470:69fc:105::cfb) (*.net *.split)
[00:41:44] *** Quits: luis` (~luismboma@2001:470:69fc:105::cc7) (*.net *.split)
[00:41:44] *** Quits: yitzi (~yitzi@2001:470:69fc:105::fafd) (*.net *.split)
[00:41:44] *** Quits: zbrown[m] (~zbrownsys@2001:470:69fc:105::1:4e81) (*.net *.split)
[00:41:44] *** Quits: Mrtn[m] (~mrtn@2001:470:69fc:105::1f44) (*.net *.split)
[00:41:44] *** Quits: akater[m] (~akatermat@2001:470:69fc:105::ccef) (*.net *.split)
[00:41:44] *** Quits: xaltsc (~xaltsc@user/xaltsc) (*.net *.split)
[00:41:44] *** Quits: mrcom (~mrcom@99-73-215-70.lightspeed.irvnca.sbcglobal.net) (*.net *.split)
[00:41:44] *** Quits: ggoes (~gregf@fsf/staff/ggoes) (*.net *.split)
[00:41:44] *** Quits: dim (~dimlibera@2a02:2178:2:4:1658:d0ff:fe49:408c) (*.net *.split)
[00:41:44] *** Quits: fe[nl]ix (~quassel@2a01:4f8:200:2425::adda) (*.net *.split)
[00:41:44] *** Quits: sukaeto (~sukaeto@sharona.moonpearltech.com) (*.net *.split)
[00:41:44] *** Quits: alanz (sid110616@uxbridge.irccloud.com) (*.net *.split)
[00:41:44] *** Quits: sgithens (sid10659@id-10659.helmsley.irccloud.com) (*.net *.split)
[00:41:44] *** Quits: pok (~pok@user/pok) (*.net *.split)
[00:41:44] *** Quits: gendl (sid100083@id-100083.hampstead.irccloud.com) (*.net *.split)
[00:41:44] *** Quits: phoe (~phoe@user/phoe) (*.net *.split)
[00:41:44] *** Quits: skn (~znc@2001:19f0:5:701:5400:ff:fe7c:4e5c) (*.net *.split)
[00:41:44] *** Quits: jfb4 (~jfb4@178.62.2.68) (*.net *.split)
[00:41:44] *** Quits: edmrk[m] (~edmrkmatr@2001:470:69fc:105::1:5a63) (*.net *.split)
[00:41:44] *** Quits: Gnuxie (~gnuxie@user/gnuxie) (*.net *.split)
[00:41:44] *** Quits: miique (~miiquemat@2001:470:69fc:105::1:6901) (*.net *.split)
[00:41:45] *** Quits: loke[m] (~loke@2001:470:69fc:105::237) (*.net *.split)
[00:41:45] *** Quits: sirufer (68f46fc7c3@user/sirufer) (*.net *.split)
[00:41:45] *** Quits: antoni (~antoni@rozalia.antoszka.pl) (*.net *.split)
[00:41:45] *** Quits: derelict (~derelict@user/derelict) (*.net *.split)
[00:41:45] *** Quits: pl (sid98063@id-98063.helmsley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: spacebat (spacebat@spot.ubermonkey.net) (*.net *.split)
[00:41:45] *** Quits: gw1 (g-w1@2600:3c03::f03c:92ff:fe2f:c92f) (*.net *.split)
[00:41:45] *** Quits: Odin- (~odin@cybernetic.anarchism.is) (*.net *.split)
[00:41:45] *** Quits: BytesAndCoffee (~libera@bytes.coffee) (*.net *.split)
[00:41:45] *** Quits: ecraven (~ecraven@user/nex) (*.net *.split)
[00:41:45] *** Quits: cognemo_ (~cognemo@cpe-46-164-24-121.dynamic.amis.net) (*.net *.split)
[00:41:45] *** Quits: dmgk (~dmgk@user/dmgk) (*.net *.split)
[00:41:45] *** Quits: okflo (~okflo@lisa.diesenbacher.net) (*.net *.split)
[00:41:45] *** Quits: _death (~death@adeht.org) (*.net *.split)
[00:41:45] *** Quits: Patternmaster (~georg@li1192-118.members.linode.com) (*.net *.split)
[00:41:46] *** Quits: sterni (~lukas@user/sterni) (*.net *.split)
[00:44:10] *** Joins: skyl4rk (~tlvb@user/tlvb)
[00:44:10] *** Joins: materialfuture (~materialf@149.248.8.187)
[00:44:10] *** Joins: hubvu_ (sid495858@tinside.irccloud.com)
[00:44:10] *** Joins: TMA (~tma@twin.jikos.cz)
[00:44:10] *** Joins: les_ (~whome@user/les)
[00:44:10] *** Joins: hineios (~hineios@a95-93-142-124.cpe.netcabo.pt)
[00:44:10] *** Joins: russe (~user@cl-user.org)
[00:44:10] *** Joins: amk (~amk@109.255.169.126)
[00:44:10] *** Joins: jmpeax (~jmpeax@host-68-169-157-168.VALOLT2.epbfi.com)
[00:44:10] *** Joins: z3t0 (~z3t0@146.71.14.98)
[00:44:10] *** Joins: Shinmera (~shinmera@shirakumo/shinmera)
[00:44:10] *** Joins: danieli (~danieli@user/danieli)
[00:44:10] *** Joins: cross_ (~cross@spitfire.i.gajendra.net)
[00:44:10] *** Joins: stack1 (~stack@ctrl-c.club)
[00:44:10] *** Joins: contrapunctus (a75f5b1571@jabberfr.org)
[00:44:10] *** Joins: alvaro121 (~aa@201.230.126.66)
[00:44:10] *** Joins: gjvc (~gjvc@user/gjvc)
[00:44:10] *** Joins: mgxm_ (~mgxm@user/mgxm)
[00:44:10] *** Joins: froggey (~froggey@li1514-95.members.linode.com)
[00:44:10] *** Joins: perrierjouet (~perrier-j@modemcable012.251-130-66.mc.videotron.ca)
[00:44:10] *** Joins: dbotton (sid492350@lymington.irccloud.com)
[00:44:10] *** Joins: Devon (~devon@c-24-2-157-5.hsd1.ma.comcast.net)
[00:44:10] *** Joins: Colleen (~fermion@supersolid.equilibrium.tymoon.eu)
[00:44:10] *** Joins: mister_m (~user@c-73-110-154-209.hsd1.il.comcast.net)
[00:44:10] *** Joins: Alfr (~Alfr@user/alfr)
[00:44:10] *** Joins: utis (~utis@84.208.160.26)
[00:44:10] *** Joins: pve (~pve@178-55-110-170.bb.dnainternet.fi)
