[00:02:14] *** Quits: mro (~mro@port-92-195-233-163.dynamic.as20676.net) (Quit: Leaving...)
[00:41:41] *** Quits: grobe0ba (~grobe0ba@mars.pulpie.xyz) (*.net *.split)
[00:41:41] *** Quits: gahr (~gahr@user/gahr) (*.net *.split)
[00:41:41] *** Quits: companion_cube (~simon@user/companion-cube) (*.net *.split)
[00:41:41] *** Quits: daimrod2 (~daimrod@loire.omecha.info) (*.net *.split)
[00:41:41] *** Quits: tristanC (~tristanC@user/tristanc) (*.net *.split)
[00:41:41] *** Quits: qwr (~qwr@173-97-46-176.dyn.estpak.ee) (*.net *.split)
[00:41:42] *** Quits: Exa (exa@irc.moe) (*.net *.split)
[00:41:42] *** Quits: bronsen (~bronsen@2a04:d480:0:1::3) (*.net *.split)
[00:41:42] *** Quits: zozozo (~zozozo@gbury.eu) (*.net *.split)
[00:41:42] *** Quits: fds (franki@triton.blinkenshell.org) (*.net *.split)
[00:41:42] *** Quits: ejones (~jones@167.88.120.129) (*.net *.split)
[00:41:42] *** Quits: hornhack (~hackingho@user/hackinghorn) (*.net *.split)
[00:41:42] *** Quits: tizoc (~user@li296-221.members.linode.com) (*.net *.split)
[00:41:42] *** Quits: Cypi (~Cypi@cypi.fr) (*.net *.split)
[00:41:42] *** Quits: bacam (~bacam@dhondt.z273.org.uk) (*.net *.split)
[00:41:42] *** Quits: ccx (~ccx@82.142.125.46) (*.net *.split)
[00:41:42] *** Quits: dh` (~dholland@netbsd/developer/dholland) (*.net *.split)
[00:41:42] *** Quits: mclovin (~zapashcan@2001:470:69fc:105::43) (*.net *.split)
[00:41:42] *** Quits: saltrocklamp[m] (~hexology@user/hexology) (*.net *.split)
[00:41:43] *** Quits: Sofi (~sofi@2001:470:69fc:105::1:44cc) (*.net *.split)
[00:41:43] *** Quits: noddy (~user@user/noddy) (*.net *.split)
[00:41:43] *** Quits: chiastre (~chiastre@user/chiastre) (*.net *.split)
[00:41:43] *** Quits: remexre (~remexre@user/remexre) (*.net *.split)
[00:41:43] *** Quits: sparogy (~sparogy@afontaine.dev) (*.net *.split)
[00:41:43] *** Quits: conjunctive (sid433686@id-433686.helmsley.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: infinity0 (~infinity0@occupy.ecodis.net) (*.net *.split)
[00:41:43] *** Quits: terrorjack (~terrorjac@2a01:4f8:1c1e:509a::1) (*.net *.split)
[00:41:43] *** Quits: Corbin (~Corbin@c-73-67-140-116.hsd1.or.comcast.net) (*.net *.split)
[00:41:43] *** Quits: hannes (~hannes@193.30.40.133) (*.net *.split)
[00:41:43] *** Quits: v0idpwn (sid483136@helmsley.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: gdd (~gdd@129.199.146.230) (*.net *.split)
[00:41:43] *** Quits: np (~nerdypepp@user/nerdypepper) (*.net *.split)
[00:41:43] *** Quits: kandu (~kandu@138.68.48.10) (*.net *.split)
[00:41:43] *** Quits: ocabot (~coucoubot@134.209.175.17) (*.net *.split)
[00:41:43] *** Quits: brettgilio (~brettgili@x-node.gq) (*.net *.split)
[00:41:43] *** Quits: johnel (~johnel@185.157.234.34) (*.net *.split)
[00:41:43] *** Quits: perro_ (~perro@072-191-245-069.res.spectrum.com) (*.net *.split)
[00:41:43] *** Quits: vsiles (~vsiles@topinambour.cristau.org) (*.net *.split)
[00:41:43] *** Quits: quernd (~quernd@boethin.uberspace.de) (*.net *.split)
[00:41:43] *** Quits: mjacob (~mjacob@adrastea.uberspace.de) (*.net *.split)
[00:41:43] *** Quits: Johann (~johann@user/johann) (*.net *.split)
[00:41:43] *** Quits: sagax (~sagax_nb@user/sagax) (*.net *.split)
[00:41:43] *** Quits: bobo_ (~bobo@37.170.37.174) (*.net *.split)
[00:41:43] *** Quits: Absalom (kax@envs.net) (*.net *.split)
[00:41:44] *** Quits: habnabit_ (habnabit@python/site-packages/habnabit) (*.net *.split)
[00:41:44] *** Quits: Chouhartem (~fmoumou@epheme.re) (*.net *.split)
[00:41:44] *** Quits: asm (~alexander@user/asm) (*.net *.split)
[00:41:44] *** Quits: Leonidas (~Leonidas@user/leonidas) (*.net *.split)
[00:41:44] *** Quits: dy (~dy@user/dy) (*.net *.split)
[00:41:44] *** Quits: sim642 (~simmo@europium.sim642.eu) (*.net *.split)
[00:41:44] *** Quits: OCamlPro[m] (~ocamlprom@2001:470:69fc:105::1:70d1) (*.net *.split)
[00:41:45] *** Quits: lisq (~quassel@lis.moe) (*.net *.split)
[00:41:45] *** Quits: kronicma1 (user73386@neotame.csclub.uwaterloo.ca) (*.net *.split)
[00:41:45] *** Quits: ts3 (~ts@46.101.20.9) (*.net *.split)
[00:41:45] *** Quits: welterde (welterde@thinkbase.srv.welterde.de) (*.net *.split)
[00:41:45] *** Quits: p4bl0 (~p4bl0@berthold.uzy.me) (*.net *.split)
[00:41:45] *** Quits: berberman_ (~berberman@user/berberman) (*.net *.split)
[00:41:45] *** Quits: xand0_ (sid6178@id-6178.ilkley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: rwmjones (~rwmjones@2001:8b0:9ad:8729:96c6:91ff:fea1:4b25) (*.net *.split)
[00:41:45] *** Quits: oisota (~oisota@user/oisota) (*.net *.split)
[00:41:45] *** Quits: rom1504 (rom1504@rom1504.fr) (*.net *.split)
[00:41:45] *** Quits: rks` (~trefis@ns366843.ip-37-59-60.eu) (*.net *.split)
[00:41:45] *** Quits: greenbagels (~gb@user/greenbagels) (*.net *.split)
[00:41:45] *** Quits: notnotdan (~notd@v22019068545391262.megasrv.de) (*.net *.split)
[00:41:45] *** Quits: sadiq (~sadiq@toao.com) (*.net *.split)
[00:41:46] *** Quits: _tjr_ (~tjr@233.ip-144-217-92.net) (*.net *.split)
[00:41:46] *** Quits: jsoo (~znc@irc.refl.club) (*.net *.split)
[00:41:46] *** Quits: leah2 (~leah@vuxu.org) (*.net *.split)
[00:41:46] *** Quits: SquidDev (~SquidDev@autoclave.squiddev.cc) (*.net *.split)
[00:44:06] *** Joins: afrosenpai (~afrosenpa@li642-224.members.linode.com)
[00:44:06] *** Joins: xenu (~xenu@carychium-tridentatum.xenu.pl)
[00:44:06] *** Joins: williewillus (~williewil@user/williewillus)
[00:44:06] *** Joins: cross_ (~cross@spitfire.i.gajendra.net)
[00:44:06] *** Joins: andreypopp (~andreypop@94.188.42.16)
[00:44:06] *** Joins: bgs (~bgs@cpe-212-85-160-171.cable.telemach.net)
[00:44:06] *** Joins: mmalter (~mmalter@88.126.10.237)
[00:44:06] *** Joins: towel (~towel@user/towel)
[00:44:06] *** Joins: perrierjouet (~perrier-j@modemcable012.251-130-66.mc.videotron.ca)
[00:44:06] *** Joins: Serpent7776 (~Serpent77@90-156-31-193.internetia.net.pl)
[00:44:06] *** Joins: ouestbillie (~gallup@192-222-138-215.qc.cable.ebox.net)
[00:44:06] *** Joins: xgqt (~xgqt@gentoo/developer/xgqt)
[00:44:06] *** Joins: hackinghorn (~hackingho@user/hackinghorn)
[00:44:06] *** Joins: kurfen_ (~kurfen@213.152.188.7)
[00:44:06] *** Joins: Anarchos (~Anarchos@88.168.112.216)
[00:44:06] *** Joins: olle (~olle@i5E866D87.versanet.de)
[00:44:06] *** Joins: Enjolras (~enjolras@139.99.101.27)
[00:44:06] *** Joins: Putonlalla (~sapekiis@it-cyan.it.jyu.fi)
[00:44:06] *** Joins: theblatte (~theblatte@82-71-49-100.dsl.in-addr.zen.co.uk)
[00:44:06] *** Joins: Techcable (~Techcable@168.235.93.147)
[00:44:06] *** Joins: thizanne (~thibault@2001:41d0:a:f682::1)
[00:44:06] *** Joins: pgiarrusso (sid258222@id-258222.hampstead.irccloud.com)
[00:44:06] *** Joins: Soni (~quassel@autistic.space)
[00:44:06] *** Joins: JosEduardo[m] (~joseemdsm@2001:470:69fc:105::ce1d)
[00:44:06] *** Joins: smondet[m] (~smondetma@2001:470:69fc:105::b33)
[00:44:06] *** Joins: CodeBitCookie[m] (~code-bit-@2001:470:69fc:105::a2f)
[00:44:06] *** Joins: chrisz (ctgsfjujn6@55d43e0c.access.ecotel.net)
[00:44:06] *** Joins: romildo (~Romildo@191.5.84.202)
[00:44:06] *** Joins: SquidDev (~SquidDev@autoclave.squiddev.cc)
[00:44:06] *** Joins: leah2 (~leah@vuxu.org)
[00:44:06] *** Joins: jsoo (~znc@irc.refl.club)
[00:44:06] *** Joins: _tjr_ (~tjr@233.ip-144-217-92.net)
[00:44:06] *** Joins: sadiq (~sadiq@toao.com)
[00:44:06] *** Joins: notnotdan (~notd@v22019068545391262.megasrv.de)
[00:44:06] *** Joins: greenbagels (~gb@user/greenbagels)
[00:44:06] *** Joins: rks` (~trefis@ns366843.ip-37-59-60.eu)
[00:44:06] *** Joins: rom1504 (rom1504@rom1504.fr)
[00:44:06] *** Joins: oisota (~oisota@user/oisota)
[00:44:06] *** Joins: rwmjones (~rwmjones@2001:8b0:9ad:8729:96c6:91ff:fea1:4b25)
[00:44:06] *** Joins: xand0_ (sid6178@id-6178.ilkley.irccloud.com)
[00:44:06] *** Joins: berberman_ (~berberman@user/berberman)
[00:44:06] *** Joins: p4bl0 (~p4bl0@berthold.uzy.me)
[00:44:06] *** Joins: welterde (welterde@thinkbase.srv.welterde.de)
[00:44:06] *** Joins: ts3 (~ts@46.101.20.9)
[00:44:06] *** Joins: kronicma1 (user73386@neotame.csclub.uwaterloo.ca)
[00:44:06] *** Joins: lisq (~quassel@lis.moe)
[00:44:06] *** Joins: OCamlPro[m] (~ocamlprom@2001:470:69fc:105::1:70d1)
[00:44:06] *** Joins: ejones (~jones@167.88.120.129)
[00:44:06] *** Joins: zozozo (~zozozo@gbury.eu)
[00:44:06] *** Joins: bronsen (~bronsen@2a04:d480:0:1::3)
[00:44:06] *** Joins: Exa (exa@irc.moe)
[00:44:06] *** Joins: fds (franki@triton.blinkenshell.org)
[00:44:06] *** Joins: qwr (~qwr@173-97-46-176.dyn.estpak.ee)
[00:44:06] *** Joins: tristanC (~tristanC@user/tristanc)
[00:44:06] *** Joins: daimrod2 (~daimrod@loire.omecha.info)
[00:44:06] *** Joins: companion_cube (~simon@user/companion-cube)
[00:44:06] *** Joins: gahr (~gahr@user/gahr)
[00:44:06] *** Joins: grobe0ba (~grobe0ba@mars.pulpie.xyz)
[00:44:06] *** Joins: octachron_ (~octachron@2a01:4f8:1c1c:69ae::1)
[00:44:06] *** Joins: Haudegen (~quassel@178.115.237.87.static.drei.at)
[00:44:06] *** Joins: ns12 (~ns12@user/ns12)
[00:44:06] *** Joins: troydm (~troydm@host-176-37-124-197.b025.la.net.ua)
[00:44:06] *** Joins: mal`` (~mal``@static.38.6.217.95.clients.your-server.de)
[00:44:06] *** Joins: sleepydog (~sleepydog@pool-100-33-241-236.nycmny.fios.verizon.net)
[00:44:06] *** Joins: dstein64 (~dstein64@dannyadam.com)
[00:44:06] *** Joins: Armael (~Armael@macaron.isomorphis.me)
[00:44:06] *** Joins: landonf (landonf@mac68k.info)
[00:44:06] *** Joins: sim642 (~simmo@europium.sim642.eu)
[00:44:06] *** Joins: dy (~dy@user/dy)
[00:44:06] *** Joins: Leonidas (~Leonidas@user/leonidas)
[00:44:06] *** Joins: asm (~alexander@user/asm)
[00:44:06] *** Joins: Chouhartem (~fmoumou@epheme.re)
[00:44:06] *** Joins: habnabit_ (habnabit@python/site-packages/habnabit)
[00:44:07] *** Joins: Absalom (kax@envs.net)
[00:44:07] *** Joins: bobo_ (~bobo@37.170.37.174)
[00:44:07] *** Joins: sagax (~sagax_nb@user/sagax)
[00:44:07] *** Joins: szkl (uid110435@uxbridge.irccloud.com)
[00:44:07] *** Joins: bacam (~bacam@dhondt.z273.org.uk)
[00:44:07] *** Joins: Cypi (~Cypi@cypi.fr)
[00:44:07] *** Joins: tizoc (~user@li296-221.members.linode.com)
[00:44:07] *** Joins: hornhack (~hackingho@user/hackinghorn)
[00:44:07] *** Joins: d_bot (~d_bot@2001:4802:7800:1:be76:4eff:fe20:3027)
[00:44:07] *** Joins: ebb (ebb@user/ebb)
[00:44:07] *** Joins: adrien (~adrien@nautica.notk.org)
[00:44:07] *** Joins: tomku (~tomku@user/tomku)
[00:44:07] *** Joins: ski (~ski@remote12.chalmers.se)
[00:44:07] *** Joins: CalimeroTeknik (~calimero@user/calimeroteknik)
[00:44:07] *** Joins: micro (~micro@user/micro)
[00:44:07] *** Joins: Ekho (~Ekho@user/ekho)
[00:44:07] *** Joins: ansiwen (~sanders@vm1.a6n.de)
[00:44:07] *** Joins: rak (~rak@debian/rak)
[00:44:07] *** Joins: wagle (~wagle@quassel.wagle.io)
[00:44:07] *** Joins: m5zs7k (aquares@web10.mydevil.net)
[00:44:07] *** Joins: caasih (sid13241@ilkley.irccloud.com)
[00:44:07] *** Joins: pieguy128 (~pieguy128@bras-base-mtrlpq5031w-grc-35-70-24-248-224.dsl.bell.ca)
[00:44:07] *** Joins: vicfred (~vicfred@user/vicfred)
[00:44:14] *** Quits: epony (epony@user/epony) (Max SendQ exceeded)
[00:44:29] *** Joins: Tuplanolla (~Tuplanoll@91-159-68-166.elisa-laajakaista.fi)
[00:44:29] *** Joins: waleee (~waleee@2001:9b0:21d:fc00:398f:b003:b90d:acf4)
[00:44:29] *** Joins: ralu (~ralu@static.211.245.203.116.clients.your-server.de)
[00:44:29] *** Joins: GreaseMonkey (greaser@user/greasemonkey)
[00:44:29] *** Joins: _whitelogger (~whitelogg@uruz.whitequark.org)
[00:44:29] *** Joins: ado (sid462155@id-462155.uxbridge.irccloud.com)
[00:44:29] *** Joins: haesbaert (~haesbaert@195.95.187.184)
[00:44:29] *** Joins: gentauro (~gentauro@user/gentauro)
[00:44:29] *** Joins: motherfsck (~motherfsc@user/motherfsck)
[00:44:29] *** Joins: unyu (~pyon@user/pyon)
[00:44:29] *** Joins: nfc_ (nfc@tilde.institute)
[00:44:29] *** Joins: b0o (0e4a0bf4c9@2604:bf00:561:2000::1bf)
[00:44:29] *** Joins: reynir (root@user/reynir)
[00:44:29] *** Joins: slothby (~JoshAshby@irc.isin.space)
[00:44:29] *** Joins: jyc (sid40911@id-40911.ilkley.irccloud.com)
[00:44:29] *** Joins: drewolson (~drewolson@user/drewolson)
[00:44:29] *** Joins: LACampbell (~lewis@granite-phrase.bnr.la)
[00:44:29] *** Joins: riverdc (~river@li1196-30.members.linode.com)
[00:44:29] *** Joins: dwt__ (~dwt_@c-98-198-103-176.hsd1.tx.comcast.net)
[00:44:50] *** Joins: dmbaturin (~dmbaturin@vyos/developer/dmbaturin)
[00:44:50] *** Joins: energizer (~energizer@user/energizer)
[00:44:50] *** Joins: nore (~nore@217.69.13.67)
[00:44:50] *** Joins: copy (~copy@2604:a880:800:10::1e0a:8001)
[00:44:50] *** Joins: klu (~klu@user/klu)
[00:44:53] *** Joins: epony (epony@lz2.eu)
[00:45:01] *** Joins: wyrd (~wyrd@gateway/tor-sasl/wyrd)
[00:45:01] *** Joins: azimut (~azimut@gateway/tor-sasl/azimut)
[00:45:01] *** Joins: adanwan_ (~adanwan@gateway/tor-sasl/adanwan)
[00:45:01] *** Joins: ccx (~ccx@82.142.125.46)
[00:45:01] *** Joins: dh` (~dholland@netbsd/developer/dholland)
[00:45:01] *** Joins: Boarders_ (sid425905@id-425905.lymington.irccloud.com)
[00:45:01] *** Joins: JSharp (sid4580@id-4580.lymington.irccloud.com)
[00:45:01] *** Joins: Fardale (~Fardale@fuyukaidesu.fardale.eu)
[00:45:01] *** Joins: cbarrett (sid192934@id-192934.helmsley.irccloud.com)
[00:45:02] *** Quits: OCamlPro[m] (~ocamlprom@2001:470:69fc:105::1:70d1) (Ping timeout: 240 seconds)
[00:45:10] *** Quits: smondet[m] (~smondetma@2001:470:69fc:105::b33) (Ping timeout: 260 seconds)
[00:45:10] *** Quits: JosEduardo[m] (~joseemdsm@2001:470:69fc:105::ce1d) (Ping timeout: 260 seconds)
[00:45:18] *** Joins: saltrocklamp[m] (~hexology@user/hexology)
[00:45:18] *** Joins: mclovin (~zapashcan@2001:470:69fc:105::43)
[00:45:18] *** Joins: Sofi (~sofi@2001:470:69fc:105::1:44cc)
[00:45:18] *** Joins: noddy (~user@user/noddy)
[00:45:18] *** Joins: chiastre (~chiastre@user/chiastre)
[00:45:18] *** Joins: remexre (~remexre@user/remexre)
[00:45:18] *** Joins: sparogy (~sparogy@afontaine.dev)
[00:45:18] *** Joins: conjunctive (sid433686@id-433686.helmsley.irccloud.com)
[00:45:18] *** Joins: infinity0 (~infinity0@occupy.ecodis.net)
[00:45:18] *** Joins: terrorjack (~terrorjac@2a01:4f8:1c1e:509a::1)
[00:45:18] *** Joins: Corbin (~Corbin@c-73-67-140-116.hsd1.or.comcast.net)
[00:45:18] *** Joins: hannes (~hannes@193.30.40.133)
[00:45:18] *** Joins: v0idpwn (sid483136@helmsley.irccloud.com)
[00:45:18] *** Joins: np (~nerdypepp@user/nerdypepper)
[00:45:18] *** Joins: gdd (~gdd@129.199.146.230)
[00:45:18] *** Joins: kandu (~kandu@138.68.48.10)
[00:45:18] *** Joins: ocabot (~coucoubot@134.209.175.17)
[00:45:18] *** Joins: brettgilio (~brettgili@x-node.gq)
[00:45:18] *** Joins: johnel (~johnel@185.157.234.34)
[00:45:18] *** Joins: perro_ (~perro@072-191-245-069.res.spectrum.com)
[00:45:18] *** Joins: vsiles (~vsiles@topinambour.cristau.org)
[00:45:18] *** Joins: quernd (~quernd@boethin.uberspace.de)
[00:45:18] *** Joins: mjacob (~mjacob@adrastea.uberspace.de)
[00:45:18] *** Joins: Johann (~johann@user/johann)
[00:45:18] *** Quits: gdd (~gdd@129.199.146.230) (Max SendQ exceeded)
[00:45:18] *** Quits: mclovin (~zapashcan@2001:470:69fc:105::43) (Ping timeout: 245 seconds)
[00:45:19] *** Quits: saltrocklamp[m] (~hexology@user/hexology) (Ping timeout: 245 seconds)
[00:45:19] *** Quits: Sofi (~sofi@2001:470:69fc:105::1:44cc) (Ping timeout: 245 seconds)
[00:46:06] *** Quits: CodeBitCookie[m] (~code-bit-@2001:470:69fc:105::a2f) (Ping timeout: 260 seconds)
[00:46:15] *** Quits: szkl (uid110435@uxbridge.irccloud.com) (Client Quit)
[00:47:58] *** Joins: szkl (uid110435@uxbridge.irccloud.com)
[00:53:33] *** Quits: szkl (uid110435@uxbridge.irccloud.com) ()
[00:55:44] *** Quits: Anarchos (~Anarchos@88.168.112.216) (Quit: Vision[]: i've been blurred!)
[01:01:49] *** epony is now known as Guest3959
[01:02:21] *** Joins: Geekingfrog (~geekingfr@li2156-64.members.linode.com)
[01:02:58] *** Joins: rgrinberg (~textual@2806:101e:7:6bed:e15c:b936:df3f:82e6)
[01:06:47] *** Joins: gdd (~gdd@129.199.146.230)
[01:12:59] *** Joins: Geekingfrog_ (geekingfro@2a01:7e01::f03c:92ff:fe48:8bdf)
[01:13:35] *** Quits: Geekingfrog (~geekingfr@li2156-64.members.linode.com) (Ping timeout: 250 seconds)
[01:22:50] *** Joins: JosEduardo[m] (~joseemdsm@2001:470:69fc:105::ce1d)
[01:31:02] *** Joins: smondet[m] (~smondetma@2001:470:69fc:105::b33)
[01:31:46] *** Quits: romildo (~Romildo@191.5.84.202) (Quit: Leaving)
[01:41:54] *** Quits: rgrinberg (~textual@2806:101e:7:6bed:e15c:b936:df3f:82e6) (Quit: My MacBook has gone to sleep. ZZZzzz…)
[01:45:33] *** Joins: CodeBitCookie[m] (~code-bit-@2001:470:69fc:105::a2f)
[01:51:26] *** Joins: Sofi (~sofi@2001:470:69fc:105::1:44cc)
[01:57:50] *** Joins: mclovin (~zapashcan@2001:470:69fc:105::43)
