[00:17:29] *** Quits: zer0bitz (~zer0bitz@dsl-hkibng31-54fabc-15.dhcp.inet.fi) (Read error: Connection reset by peer)
[00:20:45] *** Quits: anessen97 (~Anessen97@host-79-41-170-37.retail.telecomitalia.it) (Remote host closed the connection)
[00:21:00] *** Joins: ItsNotGoodName05 (~ItsNotGoo@c-73-83-144-140.hsd1.wa.comcast.net)
[00:23:04] *** Quits: ItsNotGoodName0 (~ItsNotGoo@c-73-83-144-140.hsd1.wa.comcast.net) (Ping timeout: 264 seconds)
[00:23:05] *** ItsNotGoodName05 is now known as ItsNotGoodName0
[00:32:49] *** Joins: anessen97 (~Anessen97@host-79-41-170-37.retail.telecomitalia.it)
[00:46:14] *** Joins: kacperinjo3 (kacperinjo@s46.mydevil.net)
[00:47:14] *** Quits: kacperinjo (kacperinjo@s46.mydevil.net) (Ping timeout: 252 seconds)
[00:47:14] *** kacperinjo3 is now known as kacperinjo
[00:54:17] *** Quits: amcintosh (~amcintosh@amcintosh.net) (Quit: Ping timeout (120 seconds))
[00:54:32] *** Joins: amcintosh (~amcintosh@amcintosh.net)
[00:54:48] *** Joins: doombaby5 (~doombaby@66.51.154.90)
[00:55:01] *** Joins: agd7 (~agd@user/agd)
[00:57:12] *** Quits: doombaby (~doombaby@66.51.154.90) (Ping timeout: 268 seconds)
[00:57:12] *** Quits: agd (~agd@user/agd) (Ping timeout: 268 seconds)
[00:57:12] *** doombaby5 is now known as doombaby
[00:57:13] *** agd7 is now known as agd
[01:10:14] *** Quits: koziad (~koz@198.46.189.15) (*.net *.split)
[01:10:14] *** Quits: nas (~nas@159.203.37.232) (*.net *.split)
[01:10:15] *** Quits: ItsNotGoodName0 (~ItsNotGoo@c-73-83-144-140.hsd1.wa.comcast.net) (*.net *.split)
[01:10:15] *** Quits: Warr1024 (~Warr@user/warr1024) (*.net *.split)
[01:10:15] *** Quits: hata (~hata@hata.moe) (*.net *.split)
[01:10:15] *** Quits: vinumsv899516 (~vinumsv@122.171.223.29) (*.net *.split)
[01:10:15] *** Quits: eroc1990 (~eroc1990@075-130-106-186.res.spectrum.com) (*.net *.split)
[01:10:15] *** Quits: justache (~justache@user/justache) (*.net *.split)
[01:10:15] *** Quits: alyx (alyx@atheme/alyx) (*.net *.split)
[01:10:15] *** Quits: xoan (~xoan@user/xoan) (*.net *.split)
[01:10:15] *** Quits: b-long (~b-long@cpe-24-194-202-221.nycap.res.rr.com) (*.net *.split)
[01:10:15] *** Quits: eliocamp (~eliocamp@user/eliocamp) (*.net *.split)
[01:10:15] *** Quits: lyr (~lyr@user/lyr) (*.net *.split)
[01:10:15] *** Quits: pztrn (~pztrn@user/pztrn) (*.net *.split)
[01:10:15] *** Quits: iXNyNe0 (~NyNe@user/nyne) (*.net *.split)
[01:10:15] *** Quits: rvgate (~rvgate@user/rvgate) (*.net *.split)
[01:10:15] *** Quits: daom (~thelounge@216.240.140.49) (*.net *.split)
[01:10:15] *** Quits: cdleonard (~cdleonard@ec2-52-70-55-94.compute-1.amazonaws.com) (*.net *.split)
[01:10:15] *** Quits: elmcrest (~elmcrest@static.48.211.217.95.clients.your-server.de) (*.net *.split)
[01:10:15] *** Quits: daniel-k (~daniel-k@fsf/emeritus/daniel-k) (*.net *.split)
[01:10:15] *** Quits: infinity (~infinity@66.160.177.222) (*.net *.split)
[01:10:15] *** Quits: _0x5fc3 (~0x5fc3@wireguard/tunneler/-0x5fc3) (*.net *.split)
[01:10:15] *** Quits: Raichvent (~Raichvent@193.123.33.210) (*.net *.split)
[01:10:15] *** Quits: marwan (~marwan@host-2-103-13-172.as13285.net) (*.net *.split)
[01:10:16] *** Quits: nif2 (~nif@dynamic-077-003-116-020.77.3.pool.telefonica.de) (*.net *.split)
[01:10:16] *** Quits: chmac (~chmac@88.130.159.173) (*.net *.split)
[01:10:16] *** Quits: FetidToot (~FetidToot@user/fetidtoot) (*.net *.split)
[01:10:16] *** Quits: pyfisch (~pyfisch@user/pyfisch) (*.net *.split)
[01:10:16] *** Quits: [diablo] (~diablo]@user/diablo/x-9068044) (*.net *.split)
[01:10:16] *** Quits: archpc (~archpc@user/archpc) (*.net *.split)
[01:10:16] *** Quits: luva (~luva@45.141.152.44) (*.net *.split)
[01:10:16] *** Quits: d4n13L (daniel@nothing.beats.this.terrific.host) (*.net *.split)
[01:10:16] *** Quits: asherkin (asherkin@limetech.io) (*.net *.split)
[01:10:16] *** Quits: curly (curly@v6-ff.58a0.sonicshells.com) (*.net *.split)
[01:10:16] *** Quits: raekye (~raekye@creatifcubed.com) (*.net *.split)
[01:10:16] *** Quits: MasterScript (MS@2605:aa80:10:1::2) (*.net *.split)
[01:10:16] *** Quits: cultpony (~cultpony@user/cultpony) (*.net *.split)
[01:10:16] *** Quits: Barracuda7 (Barracuda@2607:5300:60:33b6:b37:6e0d:ced7:79e3) (*.net *.split)
[01:10:17] *** Quits: llh (~llh@user/llh) (*.net *.split)
[01:10:17] *** Quits: xnaas (~xnaas@user/xnaas) (*.net *.split)
[01:10:17] *** Quits: Maikel (~Maikel@130.61.63.136) (*.net *.split)
[01:10:17] *** Quits: adamus1red (~M@user/mrr) (*.net *.split)
[01:10:17] *** Quits: timsan (~timsan@pauline.dynv6.net) (*.net *.split)
[01:10:17] *** Quits: roccoro (~roccoro@tox.trexix.org) (*.net *.split)
[01:10:17] *** Quits: HMHackMaster_ (sid45710@id-45710.tinside.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: H4ndy (~H4ndy@user/h4ndy) (*.net *.split)
[01:10:17] *** Quits: setesat (~setesat@94.4.156.220) (*.net *.split)
[01:10:17] *** Quits: SmokenatorZ6 (~Smokenato@179.247.160.96) (*.net *.split)
[01:10:17] *** Quits: meepmeep (meepmeep@end.of.cylind.re) (*.net *.split)
[01:10:17] *** Quits: gummipunkt (~gummipunk@213.232.193.5) (*.net *.split)
[01:10:17] *** Quits: nullr0ute (~nick@helios.dcg.servers.0x5e.eu) (*.net *.split)
[01:10:17] *** Quits: wbrawner (~wbrawner@c-71-205-30-186.hsd1.co.comcast.net) (*.net *.split)
[01:10:17] *** Quits: Pimmetje (~Pimmetje@45.83.234.182) (*.net *.split)
[01:10:17] *** Quits: Casteil (~Casteil@user/casteil) (*.net *.split)
[01:10:17] *** Quits: michele (~eraser@user/michele) (*.net *.split)
[01:10:17] *** Quits: cim (~cim@205.185.117.110) (*.net *.split)
[01:10:17] *** Quits: lazyreader (~lazyreade@user/lazyreader) (*.net *.split)
[01:10:17] *** Quits: greypw254 (~greypw2@grey.pw) (*.net *.split)
[01:10:17] *** Quits: ElGuapo_ (~ElGuapo@li1974-164.members.linode.com) (*.net *.split)
[01:10:17] *** Quits: tetsumaki (~unknown@ns331908.ip-5-135-162.eu) (*.net *.split)
[01:10:17] *** Quits: travisghansen (~travisgha@192.74.130.86) (*.net *.split)
[01:10:17] *** Quits: yjftsjthsd3 (~yjftsjths@162.127.123.34.bc.googleusercontent.com) (*.net *.split)
[01:10:17] *** Quits: GrantN05 (GrantN05@user/grantn05) (*.net *.split)
[01:10:17] *** Quits: BigShip (~BigShip@user/bigship) (*.net *.split)
[01:10:17] *** Quits: MaxLeiter (~6820a170@thelounge/maintainer/MaxLeiter) (*.net *.split)
[01:10:17] *** Quits: channie (~mthn@romo.ovh) (*.net *.split)
[01:10:17] *** Quits: n9nes (~n9nes@user/n9nes) (*.net *.split)
[01:10:17] *** Quits: compuguy (ahall@user/compuguy) (*.net *.split)
[01:10:18] *** Quits: petteri (sid777@helmsley.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: Pocky (sid438257@hampstead.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: langlee (sid97604@helmsley.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: jwheare (sid2@hampstead.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: e1z0 (~null@88.216.80.57) (*.net *.split)
[01:10:18] *** Quits: zingos (~zingos@143.198.48.220) (*.net *.split)
[01:10:18] *** Quits: TiZ (~TiZ@98.29.185.98) (*.net *.split)
[01:10:18] *** Quits: Lanjelin (~Lanjelin@50.51-174-33.customer.lyse.net) (*.net *.split)
[01:10:18] *** Quits: syllin (~syllin@user/syllin) (*.net *.split)
[01:10:18] *** Quits: FoodMan_ (~glucose@user/foodman) (*.net *.split)
[01:10:18] *** Quits: scott (scott@user/solson) (*.net *.split)
[01:10:18] *** Quits: mouses (mouses@fine.mouses.xyz) (*.net *.split)
[01:10:18] *** Quits: finnekit (~finnekit@fsf/member/finnekit) (*.net *.split)
[01:10:18] *** Quits: ravi (~thelounge@static.62.225.203.116.clients.your-server.de) (*.net *.split)
[01:10:18] *** Quits: dhch (~dhch@185.213.154.168) (*.net *.split)
[01:10:18] *** Quits: Cienisty (Cienisty@user/cienisty) (*.net *.split)
[01:10:18] *** Quits: scjosh (~scjosh@206.189.79.69) (*.net *.split)
[01:10:18] *** Quits: eeprom (~eeprom@engelbrecht.io) (*.net *.split)
[01:10:18] *** Quits: cweiss07653 (~cweiss@50.53.188.115) (*.net *.split)
[01:10:18] *** Quits: marvnc (~marv@vps-f9cd6ec4.vps.ovh.ca) (*.net *.split)
[01:10:18] *** Quits: SirScott (~SirScott@c-67-176-100-163.hsd1.co.comcast.net) (*.net *.split)
[01:10:18] *** Quits: KDDLB (kevin@user/kddlb) (*.net *.split)
[01:10:18] *** Quits: pots9038 (~pots@20.51.220.66) (*.net *.split)
[01:10:18] *** Quits: gfawcett (~gfawcett@ns521973.ip-158-69-124.net) (*.net *.split)
[01:10:18] *** Quits: Geronimo (~Geronimo@user/geronimo) (*.net *.split)
[01:10:18] *** Quits: XBouBou (~XBouBou@51.15.180.53) (*.net *.split)
[01:10:18] *** Quits: Bytewave (~Bytewave@user/bytewave) (*.net *.split)
[01:10:18] *** Quits: IceWreck (~IceWreck@95.216.155.28) (*.net *.split)
[01:10:18] *** Quits: overholts (~overholts@129.159.36.225) (*.net *.split)
[01:10:18] *** Quits: emberquill (~emberquil@user/emberquill) (*.net *.split)
[01:10:18] *** Quits: v_ (~NULLx76@80-60-83-220.fixed.kpn.net) (*.net *.split)
[01:10:18] *** Quits: PolarizedIons0 (~polarized@hi.my.name.is.polarizedions.net) (*.net *.split)
[01:10:18] *** Quits: zotan (zotan@destiny.zotan.network) (*.net *.split)
[01:10:19] *** Quits: Koopz (~Koopz@koopz.rocks) (*.net *.split)
[01:10:19] *** Quits: Numline1 (~Numline1@user/numline1) (*.net *.split)
[01:10:19] *** Quits: A_Dragon (A_D@libera/staff/dragon) (*.net *.split)
[01:10:19] *** Quits: Gokturk (~Gokturk@sirius.hybridirc.com) (*.net *.split)
[01:10:19] *** Quits: richrd (~wavi@thelounge/maintainer/wavi) (*.net *.split)
[01:10:19] *** Quits: harleypig (thelounge@harleypig.com) (*.net *.split)
[01:10:19] *** Quits: JamCow (~jamcow@user/jamcow) (*.net *.split)
[01:10:19] *** Quits: simone (~nya@user/sx) (*.net *.split)
[01:10:19] *** Quits: LouWestin (~Lou@sirkyle.net) (*.net *.split)
[01:10:19] *** Quits: EpicKitty (EpicKitty@marshadow.epickitty.co.uk) (*.net *.split)
[01:10:19] *** Quits: realies (~realies@user/realies) (*.net *.split)
[01:10:19] *** Quits: M8_--__-3[m] (~M8---3mat@2001:470:69fc:105::1:3788) (*.net *.split)
[01:10:19] *** Quits: Mitaka8 (~mjin@znc.mitaka.nl) (*.net *.split)
[01:10:19] *** Quits: Jake (jake@user/jake) (*.net *.split)
[01:10:19] *** Quits: daswf852 (~daswf852@user/daswf852) (*.net *.split)
[01:10:19] *** Quits: wolfshappen (~waff@irc.furworks.de) (*.net *.split)
[01:10:19] *** Quits: wishstudio (~wishstudi@173.242.114.63.16clouds.com) (*.net *.split)
[01:10:19] *** Quits: roniez (~roniez@2a02:c206:2057:5765::1) (*.net *.split)
[01:10:19] *** Quits: cnf (~cnf@d5152daf0.static.telenet.be) (*.net *.split)
[01:10:19] *** Quits: Sadie (~sadie@blahaj.sadie.moe) (*.net *.split)
[01:10:19] *** Quits: coldenbrewed (~coldbrew@static.142.41.161.5.clients.your-server.de) (*.net *.split)
[01:10:19] *** Quits: libussa (~libussa@libussa.net) (*.net *.split)
[01:10:19] *** Quits: tweska (~tweska@2sk.nl) (*.net *.split)
[01:10:19] *** Quits: tetrapod (~tetrapod@user/tetrapod) (*.net *.split)
[01:10:19] *** Quits: c|oneman (sage@64.52.163.243) (*.net *.split)
[01:10:19] *** Quits: lzap (~lzap@46.167.231.173) (*.net *.split)
[01:10:19] *** Quits: _nderscore (~nderscore@silentf.art) (*.net *.split)
[01:10:19] *** Quits: queria (~queria@109.183.71.30) (*.net *.split)
[01:10:19] *** Quits: Thumpxr (~Thumper@server.thumper.de) (*.net *.split)
[01:10:20] *** Quits: Jubes (~Jubes@138.197.139.80) (*.net *.split)
[01:10:20] *** Quits: DarkG (~DarkG@user/darkg) (*.net *.split)
[01:10:20] *** Quits: ghost64 (~ghost64@user/ghost64) (*.net *.split)
[01:10:20] *** Quits: jimmyb (~jimmyb@user/jimmyb) (*.net *.split)
[01:10:20] *** Quits: tls (iczero@hellomouse/dev/iczero) (*.net *.split)
[01:10:20] *** Quits: sinned6915 (~sinned691@vmi438683.contaboserver.net) (*.net *.split)
[01:10:20] *** Quits: Duckle (~Duckle@user/duckle) (*.net *.split)
[01:10:20] *** Quits: jje (~jje@user/jje) (*.net *.split)
[01:10:20] *** Quits: TonyStone (~TonyStone@cpe-74-76-51-197.nycap.res.rr.com) (*.net *.split)
[01:10:20] *** Quits: sickill (~sickill@user/sickill) (*.net *.split)
[01:10:20] *** Quits: w1kl4s (~w1kl4s@user/w1kl4s) (*.net *.split)
[01:10:20] *** Quits: stdcout5 (~stdcout@user/stdcout) (*.net *.split)
[01:10:20] *** Quits: ops (~ops@user/echelon) (*.net *.split)
[01:10:20] *** Quits: ghostboarder (~quassel@S010640623101dbe0.va.shawcable.net) (*.net *.split)
[01:10:20] *** Quits: siniStar (~sinistar@is.sinistar.org) (*.net *.split)
[01:10:20] *** Quits: exarchd9 (~exarch@98.46.60.169) (*.net *.split)
[01:10:20] *** Quits: mcint (mcint@user/mcint) (*.net *.split)
[01:10:20] *** Quits: BelCalm (~Belcalm@berryos.net) (*.net *.split)
[01:10:20] *** Quits: n3rdstreet (~n3rdstree@159.65.242.103) (*.net *.split)
[01:10:20] *** Quits: morganu (~Morgan@2603-8001-7407-5879-657f-b7b1-4fef-7dc2.res6.spectrum.com) (*.net *.split)
[01:10:20] *** Quits: macdude22 (~macdude22@2604:2d80:5893:3c00:1914:c37c:919a:e675) (*.net *.split)
[01:10:20] *** Quits: KramerC (kramer@user/kramerc) (*.net *.split)
[01:10:20] *** Quits: Shaxine (~Shaxine@user/shaxine) (*.net *.split)
[01:10:20] *** Quits: Orchid (izzy@user/orchid) (*.net *.split)
[01:10:20] *** Quits: Mary_ (~Mary@user/mary/x-9041818) (*.net *.split)
[01:10:20] *** Quits: twiedenbein (~twiedenbe@dhcp-141-239-190-106.hawaiiantel.net) (*.net *.split)
[01:10:20] *** Quits: Bluemedia4 (~Bluemedia@user/bluemedia) (*.net *.split)
[01:10:20] *** Quits: janis (~janis@user/janis) (*.net *.split)
[01:10:20] *** Quits: VoliKoN0 (~VoliKoN@89.237.96.146) (*.net *.split)
[01:10:20] *** Quits: Centrixx (~Centrixx@bnc4free/staff/centrixx) (*.net *.split)
[01:10:21] *** Quits: Rhvs (Rhys@help.lux.melted.me) (*.net *.split)
[01:10:21] *** Quits: silentfury (~anubis@user/silentfury) (*.net *.split)
[01:10:21] *** Quits: lkernel (~laggardke@2001:19f0:7001:ac8:5400:2ff:fe63:499e) (*.net *.split)
[01:10:21] *** Quits: redoc (~redoc@user/redoc) (*.net *.split)
[01:10:21] *** Quits: AndrewYu (~andrew@user/andrewyu) (*.net *.split)
[01:10:21] *** Quits: Aherin (~jhjacobs8@e247093.upc-e.chello.nl) (*.net *.split)
[01:10:21] *** Quits: xray (~xray@c-71-236-3-132.hsd1.ga.comcast.net) (*.net *.split)
[01:10:21] *** Quits: flotwig (~flotwig@user/flotwig) (*.net *.split)
[01:10:21] *** Quits: OverCoder (~OverCoder@user/overcoder) (*.net *.split)
[01:10:21] *** Quits: tumn (~tumn@user/tumn) (*.net *.split)
[01:10:21] *** Quits: knolle (~blah@user/knolle) (*.net *.split)
[01:10:21] *** Quits: LinuxTheBadDev (~Linux@linux.astolfosexdoll.tech) (*.net *.split)
[01:10:21] *** Quits: Soni (~quassel@autistic.space) (*.net *.split)
[01:10:21] *** Quits: tds (~tds@lounge.timstallard.me.uk) (*.net *.split)
[01:10:21] *** Quits: rvalue (~rvalue@user/rvalue) (*.net *.split)
[01:10:21] *** Quits: Mombius (~Mombius@mombius.xyz) (*.net *.split)
[01:10:21] *** Quits: han-` (~han`@user/han-/x-0887595) (*.net *.split)
[01:10:21] *** Quits: The_Decryptor (~The_Decry@flawlesscowboy.xyz) (*.net *.split)
[01:10:22] *** Quits: McInkay (~McInkay@thelounge/maintainer/McInkay) (*.net *.split)
[01:10:22] *** Quits: Ottomite (~Ottomite@104-60-231-76.lightspeed.nworla.sbcglobal.net) (*.net *.split)
[01:10:22] *** Quits: jeremyrubin (~jeremyrub@ec2-44-199-24-18.compute-1.amazonaws.com) (*.net *.split)
[01:10:22] *** Quits: sa (sid1055@id-1055.tinside.irccloud.com) (*.net *.split)
[01:10:22] *** Quits: jjardon (sid723@id-723.tinside.irccloud.com) (*.net *.split)
[01:10:22] *** Quits: JornS (~JornS@mail.glemte.no) (*.net *.split)
[01:10:22] *** Quits: graybeard (~graybeard@user/graybeard) (*.net *.split)
[01:10:22] *** Quits: xakan (~xakan@pnmx.zdx.fr) (*.net *.split)
[01:10:22] *** Quits: adia (~adia@comix.gr) (*.net *.split)
[01:10:22] *** Quits: pacbard (~pacbard@user/pacbard) (*.net *.split)
[01:10:22] *** Quits: abeglu270 (~abeglu@95.183.53.121) (*.net *.split)
[01:10:22] *** Quits: ben8472 (~ben8472@62.113.255.21) (*.net *.split)
[01:10:22] *** Quits: mavericks (~woop@168.235.111.130) (*.net *.split)
[01:10:22] *** Quits: Ingram (~Ingram@user/ingram) (*.net *.split)
[01:10:22] *** Quits: nyany (~nyany@dronebl/admin/cat) (*.net *.split)
[01:10:22] *** Quits: fs2 (~fs@mail.fancyorg.at) (*.net *.split)
[01:10:22] *** Quits: klaas (~klaas@simply.kla.as) (*.net *.split)
[01:10:22] *** Quits: pikapika (~pikapika_@pika.powered.by.lunarbnc.net) (*.net *.split)
[01:10:23] *** Quits: serp (~serp@user/serp) (*.net *.split)
[01:10:23] *** Quits: les (znc@user/les) (*.net *.split)
[01:10:23] *** Quits: SirLouen (~SirLouen@user/sirlouen) (*.net *.split)
[01:10:23] *** Quits: cenourinha (cenourinha@2607:5300:203:3f52::20) (*.net *.split)
[01:10:23] *** Quits: loudaslife (~loud@irc.ldaslf.xyz) (*.net *.split)
[01:10:23] *** Quits: luser1 (~luser@somebodyjust.farted.net) (*.net *.split)
[01:10:23] *** Quits: hook54321 (sid149355@user/hook54321) (*.net *.split)
[01:10:23] *** Quits: emphatic (sid515945@id-515945.helmsley.irccloud.com) (*.net *.split)
[01:10:23] *** Quits: redlegion (sid429547@id-429547.ilkley.irccloud.com) (*.net *.split)
[01:10:23] *** Quits: Koragg (sid268081@Valeyard/Staff/Koragg) (*.net *.split)
[01:10:23] *** Quits: factor (~factor@c-66-30-67-217.hsd1.ma.comcast.net) (*.net *.split)
[01:10:23] *** Quits: softpaw (~softpaw@185.162.184.11) (*.net *.split)
[01:10:23] *** Quits: terali56 (~terali56@h-217-27-183-119.A388.priv.bahnhof.se) (*.net *.split)
[01:10:23] *** Quits: majavah (~majavah@mediawiki/majavah) (*.net *.split)
[01:10:23] *** Quits: Quux_NL (~Quux_NL@irc.blackhats.org) (*.net *.split)
[01:10:23] *** Quits: smitop[m] (~smitopkde@2001:470:69fc:105::1:117) (*.net *.split)
[01:10:24] *** Quits: DunderPRO (~DunderPRO@c188-148-214-145.bredband.tele2.se) (*.net *.split)
[01:10:24] *** Quits: AndrewPH (~Andrew@2606:db00:0:62e::b) (*.net *.split)
[01:10:24] *** Quits: enyc (~enyc@user/enyc) (*.net *.split)
[01:10:24] *** Quits: Kamilion (kamilion@user/kamilion) (*.net *.split)
[01:10:24] *** Quits: TimeLord_ (~TimeLord_@51.15.129.97) (*.net *.split)
[01:10:24] *** Quits: Xen (xenthys@wireguard/tunneler/xenthys) (*.net *.split)
[01:10:24] *** Quits: lazzurs (~lazzurs@user/lazzurs) (*.net *.split)
[01:10:24] *** Quits: Ctaeth (~User@user/ctaeth) (*.net *.split)
[01:10:24] *** Quits: Reptile (Subzero@2a07:5741:0:3cb:85c5:de40:6ffe:6be3) (*.net *.split)
[01:10:24] *** Quits: cwaydt (~cwaydt@user/cwaydt) (*.net *.split)
[01:10:24] *** Quits: forero (~forero@forero.xyz) (*.net *.split)
[01:10:24] *** Quits: jiggawatt (jiggawatt@runs.on.ubuntu.crapping.cricket) (*.net *.split)
[01:10:24] *** Quits: mado_scientisto7 (~madscient@ip202.ip-51-178-215.eu) (*.net *.split)
[01:10:24] *** Quits: geonic (~geonic@user/geonic) (*.net *.split)
[01:10:24] *** Quits: Viewday11 (~Viewday@user/viewday) (*.net *.split)
[01:10:25] *** Quits: toozej85 (~toozej@184.3.207.155) (*.net *.split)
[01:10:25] *** Quits: f1yankees (~f1yankees@99-87-219-148.lightspeed.rcsntx.sbcglobal.net) (*.net *.split)
[01:10:25] *** Quits: anonymip (~anonymip@user/anonymip) (*.net *.split)
[01:10:25] *** Quits: AKTheKnight (~AKTheKnig@user/aktheknight) (*.net *.split)
[01:10:25] *** Quits: terrorjack (~terrorjac@2a01:4f8:1c1e:509a::1) (*.net *.split)
[01:10:25] *** Quits: Arw (~Arwalk@lfbn-dij-1-1462-22.w109-221.abo.wanadoo.fr) (*.net *.split)
[01:10:25] *** Quits: philipsd6 (~philipsd6@185.215.227.67) (*.net *.split)
[01:10:25] *** Quits: r00tobo (~r00tobo@r00tobo.is.inside.a.linuxshell.xyz) (*.net *.split)
[01:10:26] *** Quits: j0rd (~j0rd@sff.ninja) (*.net *.split)
[01:10:26] *** Quits: yano (~yano@ircpuzzles/staff/yano) (*.net *.split)
[01:10:26] *** Quits: clandmeter (~clandmete@alpine/developer/clandmeter) (*.net *.split)
[01:10:26] *** Quits: keigel2001 (~keigel2k1@megan.keigel2001.net) (*.net *.split)
[01:10:26] *** Quits: Legomannetje (~Minifig@user/legomannetje) (*.net *.split)
[01:10:26] *** Quits: hAcky (~hAcky@2a01:488:66:1000:53a9:13e6:0:1) (*.net *.split)
[01:10:26] *** Quits: dragonshardz (~dragonsha@user/dragonshardz) (*.net *.split)
[01:10:26] *** Quits: hwm4rgs (~hwm4rgs@user/hwm4rgs) (*.net *.split)
[01:10:26] *** Quits: mbuhl (~mbuhl@user/mbuhl) (*.net *.split)
[01:10:26] *** Quits: mooff (mooff@awful.cooking) (*.net *.split)
[01:10:26] *** Quits: Uppock (~uppock@blah.jabber.dk) (*.net *.split)
[01:10:26] *** Quits: Soulless (~Soulless@83.151.204.183) (*.net *.split)
[01:10:26] *** Quits: denningsrogue (~denningsr@98.97.131.238) (*.net *.split)
[01:10:26] *** Quits: Gromboli3 (~Gromboli@user/gromboli) (*.net *.split)
[01:10:26] *** Quits: Fjord (~Fjord@c-73-14-198-35.hsd1.co.comcast.net) (*.net *.split)
[01:10:26] *** Quits: dgw (dgw@sopel/admin/dgw) (*.net *.split)
[01:10:26] *** Quits: chosi (~5f5b0625@user/chosi) (*.net *.split)
[01:10:27] *** Quits: FingerlessGloves (~Fingerles@user/fingerlessgloves) (*.net *.split)
[01:10:27] *** Quits: calcmandan (~quassel@user/calcmandan) (*.net *.split)
[01:10:27] *** Quits: alex11 (~alex11@user/alex11) (*.net *.split)
[01:10:27] *** Quits: capi (~capi@cnc.hetzner.dont-panic.cc) (*.net *.split)
[01:10:27] *** Quits: Arch1mede (~arch1mede@50.39.208.108) (*.net *.split)
[01:10:27] *** Quits: Absalom (kax@envs.net) (*.net *.split)
[01:10:27] *** Quits: losuler (~losuler@122-199-41-42.ip4.superloop.com) (*.net *.split)
[01:10:27] *** Quits: shadoozo[m] (~yoricktwo@2001:470:69fc:105::1:31e8) (*.net *.split)
[01:10:27] *** Quits: bs (bs@hellomouse/dev/bs) (*.net *.split)
[01:10:27] *** Quits: shrysr (~shrysr@user/shrysr) (*.net *.split)
[01:10:27] *** Quits: PeGaSuS (BlackHole@user/pegasus) (*.net *.split)
[01:10:27] *** Quits: kiska (james@user/kiska) (*.net *.split)
[01:10:27] *** Quits: Artea (~Lufia@artea.com.pt) (*.net *.split)
[01:10:27] *** Quits: Edgy2 (~EdgyNet@user/edgy1) (*.net *.split)
