[00:02:08] *** Joins: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f)
[00:03:50] *** Joins: sm2n (ae95cb1267@user/sm2n)
[00:10:09] *** Quits: badkins (~badkins@136.56.92.199) (Remote host closed the connection)
[00:11:05] *** Joins: badkins (~badkins@136.56.92.199)
[00:31:45] *** Quits: clacke (88d96f2df3@knopi.disroot.org) (Remote host closed the connection)
[00:37:38] <dpk> is chibi-ffi incapable of generating bindings to procedures with more than four arguments, or am i going mad
[00:37:43] <dpk> (i'm probably going mad)
[00:37:49] <dpk> it gives me "chibi_hyphen.c:25:27: error: use of undeclared identifier 'arg5'"
[00:37:59] <ecraven> I think they just aren't defined
[00:39:33] <dpk> or have i declared them wrong? they're pretty wacky argument types beginning with exactly that argument, making me suspect my way of declaring them is wrong
[00:39:46] <dpk> in C: char *** rep, int ** pos, int ** cut
[00:40:02] <dpk> (i have no idea why double and triple indirection is needed)
[00:40:12] <ecraven> probably for writing
[00:40:31] <ecraven> char ***rep is probably actually a string[]*
[00:43:55] <dpk> okay, yes, if i just change them to (result string), the error about arg5 being undefined goes away. (it then complains about the types being wrong, of course, but one step at a time …)
[00:44:17] <dpk> so the question is how i declare those types in the .stub file. or if i just give up and write the C binding myself
[00:44:25] <dpk> ecraven: yes, they're results
[00:45:07] <dpk> so i tried (result pointer string), (result (pointer string)), (pointer (result string)) for the first one …
[00:46:47] <dpk> any kind of nesting of the type modifiers seems to cause it not to generate the args to the C function correctly
[00:48:16] <dpk> ahh, you don't nest them, you list them. i was nearly there with (result pointer string)
[00:48:44] <ecraven> I haven't used the chibi ffi much, sorry :-/
[00:48:59] <ecraven> so (result pointer pointer string)?
[01:10:21] *** Quits: croc (quassel@2600:3c00::f03c:91ff:fe18:29d6) (*.net *.split)
[01:10:21] *** Quits: kjak (~kjak@pool-108-45-56-21.washdc.fios.verizon.net) (*.net *.split)
[01:10:21] *** Quits: lagash (lagash@lagash.shelltalk.net) (*.net *.split)
[01:10:22] *** Quits: harlchen[m] (~harlchent@2001:470:69fc:105::1:3b28) (*.net *.split)
[01:10:22] *** Quits: elflng (~elflng@5.28.137.182) (*.net *.split)
[01:10:22] *** Quits: nomagno (~nomagno@2001:470:69fc:105::c1f0) (*.net *.split)
[01:10:22] *** Quits: ramrunner (~dsp@78.141.218.152) (*.net *.split)
[01:10:22] *** Quits: phoe (~phoe@user/phoe) (*.net *.split)
[01:10:22] *** Quits: light (~light@user/light) (*.net *.split)
[01:10:23] *** Quits: sjamaan (~sjamaan@chicken/developer/sjamaan) (*.net *.split)
[01:10:23] *** Quits: grettke (~grettke@cpe-65-29-228-30.wi.res.rr.com) (*.net *.split)
[01:10:23] *** Quits: topoi (~topoi@user/topoi) (*.net *.split)
[01:10:23] *** Quits: mjsir911 (~bnc@user/mjsir911) (*.net *.split)
[01:10:23] *** Quits: pyro (~root@zhaozhou.dcollins.info) (*.net *.split)
[01:10:23] *** Quits: even4void (even4void@came.here.for-some.fun) (*.net *.split)
[01:10:23] *** Quits: pranavats (3fba1d1b34@2a00:c70:1:178:170:40:189:1) (*.net *.split)
[01:10:23] *** Quits: iisi (sid19824@id-19824.hampstead.irccloud.com) (*.net *.split)
[01:10:23] *** Quits: saltrocklamp[m] (~hexology@user/hexology) (*.net *.split)
[01:10:24] *** Quits: fizzie (irc@selene.zem.fi) (*.net *.split)
[01:10:24] *** Quits: mns (~mns@c-73-119-178-157.hsd1.ma.comcast.net) (*.net *.split)
[01:10:24] *** Quits: krjst (~krjst@2604:a880:800:c1::16b:8001) (*.net *.split)
[01:10:24] *** Quits: amazigh (~amirouche@user/amirouche) (*.net *.split)
[01:10:25] *** Quits: xsperry (~xs@user/xsperry) (*.net *.split)
[01:10:25] *** Quits: conjunctive (sid433686@id-433686.helmsley.irccloud.com) (*.net *.split)
[01:10:25] *** Quits: lavaflow (~lavaflow@c-76-104-248-66.hsd1.wa.comcast.net) (*.net *.split)
[01:10:25] *** Quits: aoh (~aki@haltp.org) (*.net *.split)
[01:10:25] *** Quits: vito (sid1962@user/vito) (*.net *.split)
[01:10:25] *** Quits: terrorjack (~terrorjac@2a01:4f8:1c1e:509a::1) (*.net *.split)
[01:10:25] *** Quits: dieggsy (~dieggsy@2001:470:69fc:105::91f) (*.net *.split)
[01:10:25] *** Quits: gnomon (~gnomon@cpe1c872c7063d0-cm00fc8d8fbe70.cpe.net.cable.rogers.com) (*.net *.split)
[01:10:25] *** Quits: Kooda2 (~kooda@natsu.upyum.com) (*.net *.split)
[01:10:26] *** Quits: manumanumanu (~mio@213-67-252-160-no79.tbcn.telia.com) (*.net *.split)
[01:10:26] *** Quits: lloda (~user@11-206-127-185.static.world-connect.ch) (*.net *.split)
[01:10:26] *** Quits: jgart (16dd2205e4@irc.cheogram.com) (*.net *.split)
[01:10:26] *** Quits: hugo (znc@verdigris.lysator.liu.se) (*.net *.split)
[01:10:26] *** Quits: gwatt (~gmw@2605:2700:0:5::4713:955c) (*.net *.split)
[01:10:26] *** Quits: lonjil (~quassel@user/lonjil) (*.net *.split)
[01:10:26] *** Quits: nmeum (~nmeum@barium.8pit.net) (*.net *.split)
[01:10:26] *** Quits: jrmu (jrmu@jrmu.lemon.ircnow.org) (*.net *.split)
[01:10:26] *** Quits: Perryman (~perryman@user/perryman) (*.net *.split)
[01:10:26] *** Quits: libfud (~libfud@2600:1700:48e8:d1cf:aaa1:59ff:fe53:95b8) (*.net *.split)
[01:10:26] *** Quits: weinholt` (weinholt@h-37-123-132-162.A785.priv.bahnhof.se) (*.net *.split)
[01:10:27] *** Quits: evdubs (~evdubs@user/evdubs) (*.net *.split)
[01:10:27] *** Quits: DeeEff_ (~deeeff@user/deeeff) (*.net *.split)
[01:10:27] *** Quits: nazarii[m] (~nazariim]@2001:470:69fc:105::63a) (*.net *.split)
[01:10:27] *** Quits: dstein64 (~dstein64@dannyadam.com) (*.net *.split)
[01:10:27] *** Quits: sham1 (~sham1@212-146-44-107.aboa.net) (*.net *.split)
[01:10:27] *** Quits: fadein (~Erik@c-24-10-167-68.hsd1.ut.comcast.net) (*.net *.split)
[01:10:27] *** Quits: ft (~ft@shell.chaostreff-dortmund.de) (*.net *.split)
[01:10:28] *** Quits: teiresias (~chris@blvuug/founder/teiresias) (*.net *.split)
[01:10:28] *** Quits: buhman (sid411355@user/buhman) (*.net *.split)
[01:10:29] *** Quits: ormaaj (~ormaaj@user/ormaaj) (*.net *.split)
[01:10:29] *** Quits: tantanmen[m] (~tantanmen@2001:470:69fc:105::1:2212) (*.net *.split)
[01:10:29] *** Quits: Keele (~keele@91-158-68-128.elisa-laajakaista.fi) (*.net *.split)
[01:10:29] *** Quits: deltab (~deltab@user/deltab) (*.net *.split)
[01:10:29] *** Quits: xaltsc (~xaltsc@user/xaltsc) (*.net *.split)
[01:10:29] *** Quits: bsima (~bsima@2604:a880:400:d0::19f1:7001) (*.net *.split)
[01:10:30] *** Quits: ec_ (~ec@gateway/tor-sasl/ec) (*.net *.split)
[01:10:30] *** Quits: madage (~madage@user/madage) (*.net *.split)
[01:14:19] *** Joins: poselyqualityles (~poselyqua@user/poselyqualityles)
[01:14:19] *** Joins: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f)
[01:14:19] *** Joins: elderK (uid205007@id-205007.helmsley.irccloud.com)
[01:14:19] *** Joins: Mrtn[m] (~mrtn@2001:470:69fc:105::1f44)
[01:14:19] *** Joins: taylan (~taylan@user/taylan)
[01:14:19] *** Joins: Irvise (~irvise@2001:470:69fc:105::84c)
[01:14:19] *** Joins: tokie (~strtok@thales.strtok.net)
[01:14:19] *** Joins: Franciman (~Franciman@mx1.fracta.dev)
[01:14:19] *** Joins: rgherdt (~rgherdt@2a02:8109:86c0:d8d:e16c:4540:80bf:ba53)
[01:14:19] *** Joins: joast (~rick@cpe-98-146-112-4.natnow.res.rr.com)
[01:14:19] *** Joins: ec_ (~ec@gateway/tor-sasl/ec)
[01:14:19] *** Joins: mononote (~mononote@user/mononote)
[01:14:19] *** Joins: jrmu (jrmu@jrmu.lemon.ircnow.org)
[01:14:19] *** Joins: madage (~madage@user/madage)
[01:14:19] *** Joins: zwr (~zwr@2804:d45:b966:fb00:3ac9:5265:a79e:4a2a)
[01:14:19] *** Joins: sjamaan (~sjamaan@chicken/developer/sjamaan)
[01:14:19] *** Joins: topoi (~topoi@user/topoi)
[01:14:19] *** Joins: grettke (~grettke@cpe-65-29-228-30.wi.res.rr.com)
[01:14:19] *** Joins: mjsir911 (~bnc@user/mjsir911)
[01:14:19] *** Joins: pyro (~root@zhaozhou.dcollins.info)
[01:14:19] *** Joins: even4void (even4void@came.here.for-some.fun)
[01:14:19] *** Joins: drakonis (drakonis@user/drakonis)
[01:14:19] *** Joins: DeeEff (~DeeEff@user/deeeff)
[01:14:19] *** Joins: dpk (~dpk@xn--issum-vva.nonceword.org)
[01:14:19] *** Joins: eMBee (~eMBee@realss.com)
[01:14:19] *** Joins: ullbeking_ (sid5364@id-5364.ilkley.irccloud.com)
[01:14:19] *** Joins: shawn (~shawn_w@152.44.212.188)
[01:14:19] *** Joins: sdu (~doo@185.44.146.165)
[01:14:19] *** Joins: nckx (~nckx@tobias.gr)
[01:14:19] *** Joins: qhong (~qhong@rescomp-21-400677.stanford.edu)
[01:14:19] *** Joins: sheb (~sheb@31.223.228.71)
[01:14:19] *** Joins: nomagno (~nomagno@2001:470:69fc:105::c1f0)
[01:14:19] *** Joins: Noisytoot (~noisytoot@sourcehut/user/noisytoot)
[01:14:19] *** Joins: kjak (~kjak@pool-108-45-56-21.washdc.fios.verizon.net)
[01:14:19] *** Joins: Perryman (~perryman@user/perryman)
[01:14:19] *** Joins: xsperry (~xs@user/xsperry)
[01:14:19] *** Joins: lagash (lagash@lagash.shelltalk.net)
[01:14:19] *** Joins: pranavats (3fba1d1b34@2a00:c70:1:178:170:40:189:1)
[01:14:19] *** Joins: Oshawott (~archenoth@2604:3d09:681:f00:bda3:983e:438:ddd3)
[01:14:19] *** Joins: klu (~klu@user/klu)
[01:14:19] *** Joins: ns12 (~ns12@user/ns12)
[01:14:19] *** Joins: sudden (~cat@user/sudden)
[01:14:19] *** Joins: buhman (sid411355@user/buhman)
[01:14:19] *** Joins: iisi (sid19824@id-19824.hampstead.irccloud.com)
[01:14:19] *** Joins: rickbutton (sid410078@id-410078.helmsley.irccloud.com)
[01:14:19] *** Joins: conjunctive (sid433686@id-433686.helmsley.irccloud.com)
[01:14:19] *** Joins: robin (~robin@user/terpri)
[01:14:19] *** Joins: mdhughes (~mdhughes@user/mdhughes)
[01:14:19] *** Joins: libfud (~libfud@2600:1700:48e8:d1cf:aaa1:59ff:fe53:95b8)
[01:14:19] *** Joins: lavaflow (~lavaflow@c-76-104-248-66.hsd1.wa.comcast.net)
[01:14:19] *** Joins: aoh (~aki@haltp.org)
[01:14:19] *** Joins: weinholt` (weinholt@h-37-123-132-162.A785.priv.bahnhof.se)
[01:14:19] *** Joins: Zipheir (~wcm@98.4.178.27)
[01:14:19] *** Joins: lockywol- (~lockywolf@vultr-seoul-openbsd.lockywolf.net)
[01:14:19] *** Joins: wingo_ (~wingo@li270-233.members.linode.com)
[01:14:19] *** Joins: Cathrinus (~meow@vyos/developer/Lulu)
[01:14:19] *** Joins: akarle (~akarle@user/akarle)
[01:14:19] *** Joins: johnjay (~pi@192.142.100.50)
[01:14:19] *** Joins: evdubs (~evdubs@user/evdubs)
[01:14:19] *** Joins: vito (sid1962@user/vito)
[01:14:19] *** Joins: terrorjack (~terrorjac@2a01:4f8:1c1e:509a::1)
[01:14:19] *** Joins: h_m (~h_m@186-149-117-154.bitcointernet.co.za)
[01:14:19] *** Joins: ahlk (~user@2600:1700:31c0:3a10::43)
[01:14:19] *** Joins: d_run (sid83858@id-83858.hampstead.irccloud.com)
[01:14:19] *** Joins: rubin55 (sid175221@id-175221.hampstead.irccloud.com)
[01:14:19] *** Joins: choas (~lars@ppp-188-174-58-126.dynamic.mnet-online.de)
[01:14:19] *** Joins: harlchen[m] (~harlchent@2001:470:69fc:105::1:3b28)
[01:14:19] *** Joins: nrr__ (sid20938@lymington.irccloud.com)
[01:14:19] *** Joins: duncanm (sid287146@tinside.irccloud.com)
[01:14:19] *** Joins: groovy (sid62069@hampstead.irccloud.com)
[01:14:19] *** Joins: ozzymcduff (~mathieu@81-234-151-21-no94.tbcn.telia.com)
[01:14:19] *** Joins: rudybot (~luser@ec2-52-8-12-207.us-west-1.compute.amazonaws.com)
[01:14:19] *** Joins: hexology (~hexology@user/hexology)
[01:14:19] *** Joins: kori (~kori@user/kori)
[01:14:19] *** Joins: GreaseMonkey (greaser@user/greasemonkey)
[01:14:19] *** Joins: mzan (~quassel@mail.asterisell.com)
[01:14:19] *** Joins: saltrocklamp[m] (~hexology@user/hexology)
[01:14:19] *** Joins: ormaaj (~ormaaj@user/ormaaj)
[01:14:19] *** Joins: DeeEff_ (~deeeff@user/deeeff)
[01:14:19] *** Joins: nazarii[m] (~nazariim]@2001:470:69fc:105::63a)
[01:14:19] *** Joins: tantanmen[m] (~tantanmen@2001:470:69fc:105::1:2212)
[01:14:19] *** Joins: dieggsy (~dieggsy@2001:470:69fc:105::91f)
[01:14:19] *** Joins: elflng (~elflng@5.28.137.182)
[01:14:19] *** Joins: oneofvalts (~oneofvalt@2001:19f0:6c01:2d9c:5400:2ff:fea2:a386)
[01:14:19] *** Joins: Menchers (Menchers@user/menchers)
[01:14:19] *** Joins: _________ (~nobody@user/noodly)
[01:14:19] *** Joins: cognemo (~cognemo@cpe-46-164-24-121.dynamic.amis.net)
[01:14:19] *** Joins: Oxyd (~oxyd@user/oxyd)
[01:14:20] *** Joins: dbohdan (~dbohdan@user/dbohdan)
[01:14:20] *** Joins: bsima (~bsima@2604:a880:400:d0::19f1:7001)
[01:14:20] *** Joins: teiresias (~chris@blvuug/founder/teiresias)
[01:14:20] *** Joins: ft (~ft@shell.chaostreff-dortmund.de)
[01:14:20] *** Joins: fadein (~Erik@c-24-10-167-68.hsd1.ut.comcast.net)
[01:14:20] *** Joins: sham1 (~sham1@212-146-44-107.aboa.net)
[01:14:20] *** Joins: dstein64 (~dstein64@dannyadam.com)
[01:14:20] *** Joins: nmeum (~nmeum@barium.8pit.net)
[01:14:20] *** Joins: lonjil (~quassel@user/lonjil)
[01:14:20] *** Joins: gwatt (~gmw@2605:2700:0:5::4713:955c)
[01:14:20] *** Joins: hugo (znc@verdigris.lysator.liu.se)
[01:14:20] *** Joins: amazigh (~amirouche@user/amirouche)
[01:14:20] *** Joins: jgart (16dd2205e4@irc.cheogram.com)
[01:14:20] *** Joins: lloda (~user@11-206-127-185.static.world-connect.ch)
[01:14:20] *** Joins: manumanumanu (~mio@213-67-252-160-no79.tbcn.telia.com)
[01:14:20] *** Joins: krjst (~krjst@2604:a880:800:c1::16b:8001)
[01:14:20] *** Joins: mns (~mns@c-73-119-178-157.hsd1.ma.comcast.net)
[01:14:20] *** Joins: Kooda2 (~kooda@natsu.upyum.com)
[01:14:20] *** Joins: light (~light@user/light)
[01:14:20] *** Joins: gnomon (~gnomon@cpe1c872c7063d0-cm00fc8d8fbe70.cpe.net.cable.rogers.com)
[01:14:20] *** Joins: croc (quassel@2600:3c00::f03c:91ff:fe18:29d6)
[01:14:20] *** Joins: emacsomancer (~emacsoman@136.60.128.68)
[01:14:20] *** Joins: AndrewYu (~andrew@user/andrewyu)
[01:14:20] *** Joins: casaca (~casaca@user/casaca)
[01:14:20] *** Joins: pinoaffe (~pinoaffep@2a01:4f9:c010:3f2a:1:1:3:10)
[01:14:20] *** Joins: fgudin (fgudin@sdf-eu.org)
[01:14:20] *** Joins: phoe (~phoe@user/phoe)
[01:14:20] *** Joins: ramrunner (~dsp@78.141.218.152)
[01:14:20] *** Joins: xaltsc (~xaltsc@user/xaltsc)
[01:14:20] *** Joins: deltab (~deltab@user/deltab)
[01:14:20] *** Joins: Keele (~keele@91-158-68-128.elisa-laajakaista.fi)
[01:14:20] *** Joins: fizzie (irc@selene.zem.fi)
[01:14:43] *** Joins: badkins (~badkins@136.56.92.199)
[01:16:18] *** Quits: nmeum (~nmeum@barium.8pit.net) (Remote host closed the connection)
[01:16:54] *** Joins: nmeum (~nmeum@barium.8pit.net)
[01:17:40] *** Quits: taiju (~taiju@240b:253:ec40:2400:2d48:f53f:bd4f:c325) (Ping timeout: 264 seconds)
[01:18:31] *** Joins: taiju (~taiju@240b:253:ec40:2400:2d48:f53f:bd4f:c325)
[01:20:08] <amazigh> rejoince wasamasa is gone!
[01:20:18] <amazigh> oops!
[01:20:31] <sham1> Rude
[01:20:37] <amazigh> :D
[01:34:45] *** Quits: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f) (Quit: Leaving...)
[01:36:43] *** Joins: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f)
[01:41:39] *** Joins: seninha (~seninha@user/seninha)
[01:44:51] *** Quits: h_m (~h_m@186-149-117-154.bitcointernet.co.za) (Remote host closed the connection)
[01:47:41] *** Joins: h_m (~h_m@186-149-117-154.bitcointernet.co.za)
[01:49:00] <ecraven> dpk: I don't understand the code chibi-ffi generates at all :-/
[01:49:23] <ecraven> (define-c string test ((result pointer pointer string) (result pointer pointer int) (result pointer pointer int))) results in code that doesn't look correct to me at all
[01:50:01] *** Quits: poselyqualityles (~poselyqua@user/poselyqualityles) (Ping timeout: 256 seconds)
[01:58:11] *** Quits: seninha (~seninha@user/seninha) (Ping timeout: 252 seconds)
[02:03:09] <dpk> using pointer resulted for me in it not generating the right number of args to the function!
[02:03:13] <dpk> i had to use reference instead
[02:07:22] *** Parts: tokie (~strtok@thales.strtok.net) (WeeChat 1.9.1)
[02:09:06] *** Quits: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f) (Quit: Leaving...)
[02:10:36] *** Joins: seninha (~seninha@user/seninha)
[02:11:55] *** Joins: xcmw (~textual@dyn-72-33-2-173.uwnet.wisc.edu)
[02:16:40] *** Joins: tripfand_ (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f)
[02:17:01] *** Quits: tripfand_ (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f) (Client Quit)
[02:21:26] *** Joins: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f)
[02:22:33] *** Quits: xsperry (~xs@user/xsperry) ()
[02:38:39] *** Joins: Lysandros (~Lysandros@user/lysandros)
[02:43:30] *** Joins: xsperry (~xs@user/xsperry)
[03:03:16] *** Quits: ozzymcduff (~mathieu@81-234-151-21-no94.tbcn.telia.com) (Ping timeout: 245 seconds)
[03:21:59] *** Joins: s-liao (~s-liao@101.86.99.70)
[03:34:35] *** Quits: badkins (~badkins@136.56.92.199) (Remote host closed the connection)
[03:34:49] *** Joins: jrincayc (~Thunderbi@38.70.240.202.sumofiber.net)
[03:35:21] *** Joins: ozzymcduff (~mathieu@81-234-151-21-no94.tbcn.telia.com)
[03:43:28] *** Quits: jrincayc (~Thunderbi@38.70.240.202.sumofiber.net) (Ping timeout: 264 seconds)
[03:45:28] *** Joins: jrincayc (~Thunderbi@38.70.240.202.sumofiber.net)
[03:50:22] *** Joins: klovett (~klovett@107.115.32.2)
[03:51:25] *** Quits: jrincayc (~Thunderbi@38.70.240.202.sumofiber.net) (Quit: jrincayc)
[03:51:35] *** Joins: jrincayc (~Thunderbi@38.70.240.202.sumofiber.net)
[04:26:40] *** Quits: jrincayc (~Thunderbi@38.70.240.202.sumofiber.net) (Ping timeout: 264 seconds)
[04:27:46] *** Joins: jrincayc (~Thunderbi@38.70.240.202.sumofiber.net)
[04:30:15] *** Joins: badkins (~badkins@136.56.92.199)
[04:55:00] *** lockywol- is now known as lockywolf
[05:06:55] *** Quits: badkins (~badkins@136.56.92.199) (Remote host closed the connection)
[05:08:50] *** Quits: seninha (~seninha@user/seninha) (Remote host closed the connection)
