[00:05:56] *** Joins: ravella (~ravella@user/ryanavella)
[00:08:27] *** Joins: ofh (~felix@61.68.64.167)
[00:09:40] *** Quits: yelnah (~felix@193-119-99-118.tpgi.com.au) (Ping timeout: 256 seconds)
[00:13:26] *** Quits: phaleth (~user@user/phaleth) (Quit: WeeChat 2.8)
[00:20:38] *** Quits: fwg (~fwg@user/fwg) (Quit: so long and thanks for all the fish.)
[00:30:04] *** Quits: km (znc@user/km) (Remote host closed the connection)
[00:41:36] *** Quits: vrischmann (25460b476c@2604:bf00:561:2000::16c) (*.net *.split)
[00:41:36] *** Quits: ibokuri (0fab725886@2604:bf00:561:2000::23f) (*.net *.split)
[00:41:36] *** Quits: gjnoonan (cb73e0a324@2604:bf00:561:2000::e) (*.net *.split)
[00:41:36] *** Quits: philipwhite (062636b2b0@2604:bf00:561:2000::227) (*.net *.split)
[00:41:36] *** Quits: andrea (3f138254b4@2604:bf00:561:2000::38) (*.net *.split)
[00:41:36] *** Quits: slothby (~JoshAshby@irc.isin.space) (*.net *.split)
[00:41:36] *** Quits: mixi (~mixi@exherbo/developer/mixi) (*.net *.split)
[00:41:36] *** Quits: Biolunar (biolunar@2a02:908:4b24:5000:ba27:ebff:fee0:75a) (*.net *.split)
[00:41:36] *** Quits: q66 (~q66@q66.moe) (*.net *.split)
[00:41:36] *** Quits: dbohdan (~dbohdan@user/dbohdan) (*.net *.split)
[00:41:36] *** Quits: Wolf480pl (wolf480pl@2a01:4f8:c2c:e5b0::1) (*.net *.split)
[00:41:36] *** Quits: jzelinskie (sid17772@user/jzelinskie) (*.net *.split)
[00:41:36] *** Quits: acarrico (~acarrico@dhcp-68-142-39-249.greenmountainaccess.net) (*.net *.split)
[00:41:36] *** Quits: losinggeneration (~quassel@64.225.54.254) (*.net *.split)
[00:41:36] *** Quits: rb (~augh@theguntretort.com) (*.net *.split)
[00:41:36] *** Quits: ravella (~ravella@user/ryanavella) (*.net *.split)
[00:41:36] *** Quits: tgschultz (UserNick@047-034-056-014.res.spectrum.com) (*.net *.split)
[00:41:36] *** Quits: skrzyp (~skrzyp@skrzyp.net) (*.net *.split)
[00:41:37] *** Quits: boardwalk (~boardwalk@2605:a601:aac3:100:c352:7304:d60a:9a4a) (*.net *.split)
[00:41:37] *** Quits: letoram (~bjorn@user/letoram) (*.net *.split)
[00:41:37] *** Quits: wozeparrot (~wozeparro@user/wozeparrot) (*.net *.split)
[00:41:37] *** Quits: skipwich (~skipwich@user/skipwich) (*.net *.split)
[00:41:37] *** Quits: Miaourt1 (~Miaourt@static.10.244.203.116.clients.your-server.de) (*.net *.split)
[00:41:37] *** Quits: Arw| (~Arwalk@lfbn-dij-1-961-160.w90-125.abo.wanadoo.fr) (*.net *.split)
[00:41:37] *** Quits: HyLian_ (~meron@252.red-79-145-105.dynamicip.rima-tde.net) (*.net *.split)
[00:41:37] *** Quits: codingcampbell (~codingcam@user/codingcampbell) (*.net *.split)
[00:41:37] *** Quits: marcj (~marc@205.175.215.11) (*.net *.split)
[00:41:37] *** Quits: thatcher (~thatcher@91.110.109.236) (*.net *.split)
[00:41:37] *** Quits: marwan (~marwan@90.247.112.9) (*.net *.split)
[00:41:37] *** Quits: luuk (~luuk@user/luuk) (*.net *.split)
[00:41:37] *** Quits: Snetry (~snetry@dslb-188-101-117-082.188.101.pools.vodafone-ip.de) (*.net *.split)
[00:41:37] *** Quits: philtor (~philtom@50.53.105.83) (*.net *.split)
[00:41:37] *** Quits: mountaingoat (~mountaing@user/mountaingoat) (*.net *.split)
[00:41:37] *** Quits: bindu (~bindu@user/bindu) (*.net *.split)
[00:41:37] *** Quits: chexum (~quassel@gateway/tor-sasl/chexum) (*.net *.split)
[00:41:37] *** Quits: gxt (~gxt@gateway/tor-sasl/gxt) (*.net *.split)
[00:41:37] *** Quits: ajr_ (~andrew@cpe-172-91-111-232.socal.res.rr.com) (*.net *.split)
[00:41:37] *** Quits: arkurious (~arkurious@user/arkurious) (*.net *.split)
[00:41:37] *** Quits: gpanders (~gpanders@user/gpanders) (*.net *.split)
[00:41:37] *** Quits: alethkit (~alethkitm@2001:470:69fc:105::1:6fa4) (*.net *.split)
[00:41:37] *** Quits: coolshaurya (~coolshaur@2001:470:69fc:105::fac0) (*.net *.split)
[00:41:38] *** Quits: moats (~oats@user/oats) (*.net *.split)
[00:41:38] *** Quits: daex (~daex@user/daex) (*.net *.split)
[00:41:38] *** Quits: pusewic|away__ (sid2036@id-2036.lymington.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: lqd (uid15826@id-15826.helmsley.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: bfiedler (~bfiedler@2a0d:d740:107::3) (*.net *.split)
[00:41:38] *** Quits: kotto (~kotto@2001:8a0:ee37:f500:2ad2:44ff:fe68:9566) (*.net *.split)
[00:41:38] *** Quits: Techcable (~Techcable@168.235.93.147) (*.net *.split)
[00:41:38] *** Quits: hspak (~hspak@user/hspak) (*.net *.split)
[00:41:38] *** Quits: koolazer (~koo@user/koolazer) (*.net *.split)
[00:41:38] *** Quits: dcx (~dcx@user/dac) (*.net *.split)
[00:41:38] *** Quits: bgiannan (giann@2a01:4f8:141:1272::2) (*.net *.split)
[00:41:38] *** Quits: duck2 (~duck2@146.185.156.161) (*.net *.split)
[00:41:38] *** Quits: Xe (~cadey@tailscale/xe) (*.net *.split)
[00:41:38] *** Quits: dutchie (~dutchie@user/dutchie) (*.net *.split)
[00:41:38] *** Quits: zups (~meow@2a01:4f9:c010:6036::1) (*.net *.split)
[00:41:38] *** Quits: occivink (~occivink@2001:41d0:8:bbf::1) (*.net *.split)
[00:41:39] *** Quits: lonjil (~quassel@user/lonjil) (*.net *.split)
[00:41:39] *** Quits: tane (~tane@user/tane) (*.net *.split)
[00:41:39] *** Quits: rgrinberg (~textual@2806:101e:7:6bed:e15c:b936:df3f:82e6) (*.net *.split)
[00:41:39] *** Quits: breavyn (~breavyn@user/breavyn) (*.net *.split)
[00:41:39] *** Quits: acd8 (~acd84c8cc@2001:470:69fc:105::916) (*.net *.split)
[00:41:39] *** Quits: l1x (uid1954@id-1954.tinside.irccloud.com) (*.net *.split)
[00:41:39] *** Quits: pretty_dumm_guy (trottel@gateway/vpn/protonvpn/prettydummguy/x-88029655) (*.net *.split)
[00:41:39] *** Quits: TianruiWei[m] (~tianruiwe@2001:470:69fc:105::1:601a) (*.net *.split)
[00:41:39] *** Quits: midi[m] (~justmidim@2001:470:69fc:105::c739) (*.net *.split)
[00:41:39] *** Quits: barath (~barath@2001:470:69fc:105::21a) (*.net *.split)
[00:41:39] *** Quits: motiejus (~motiejus@2001:470:69fc:105::38fb) (*.net *.split)
[00:41:39] *** Quits: hendi (sid489601@id-489601.lymington.irccloud.com) (*.net *.split)
[00:41:39] *** Quits: copygirl (~koppeh@copy.mcft.net) (*.net *.split)
[00:41:39] *** Quits: freshcoffee (~fresh@user/freshcoffee) (*.net *.split)
[00:41:39] *** Quits: ane (ane@nikita.tnnet.fi) (*.net *.split)
[00:41:39] *** Quits: nkiz- (~nki@adsl-89-217-141-227.adslplus.ch) (*.net *.split)
[00:41:39] *** Quits: amosbird (~amosbird@13.75.119.182) (*.net *.split)
[00:41:39] *** Quits: energizer (~energizer@user/energizer) (*.net *.split)
[00:41:39] *** Quits: zkanda (~zkanda@box.makean.art) (*.net *.split)
[00:41:39] *** Quits: nore (~nore@217.69.13.67) (*.net *.split)
[00:41:39] *** Quits: gonz_____ (sid304396@id-304396.lymington.irccloud.com) (*.net *.split)
[00:41:39] *** Quits: nikki93 (sid200244@id-200244.tinside.irccloud.com) (*.net *.split)
[00:41:39] *** Quits: stilbruch (~stilbruch@157.245.122.124) (*.net *.split)
[00:41:40] *** Quits: ovf (sid19068@id-19068.hampstead.irccloud.com) (*.net *.split)
[00:41:40] *** Quits: anathema (~anathema@40.91.229.57) (*.net *.split)
[00:41:40] *** Quits: rv1sr (~rv1sr@user/rv1sr) (*.net *.split)
[00:41:40] *** Quits: m5zs7k (aquares@web10.mydevil.net) (*.net *.split)
[00:41:40] *** Quits: lun4 (~luna@user/lun4) (*.net *.split)
[00:41:40] *** Quits: linuxgemini6 (~linuxgemi@user/linuxgemini) (*.net *.split)
[00:41:40] *** Quits: Swahili (~Swahili@a95-94-208-187.cpe.netcabo.pt) (*.net *.split)
[00:41:40] *** Quits: anthon (~Thunderbi@p2e52aa21.dip0.t-ipconnect.de) (*.net *.split)
[00:41:40] *** Quits: Overkill (~overkill9@69-165-200-34.cable.teksavvy.com) (*.net *.split)
[00:41:40] *** Quits: dbuckley (~dbuckley@c-73-47-57-9.hsd1.ct.comcast.net) (*.net *.split)
[00:41:40] *** Quits: Ekho (~Ekho@user/ekho) (*.net *.split)
[00:41:40] *** Quits: fiddlerwoaroof (~fiddlerwo@user/fiddlerwoaroof) (*.net *.split)
[00:41:40] *** Quits: jkl (~jkl@user/jkl) (*.net *.split)
[00:41:40] *** Quits: tomku (~tomku@user/tomku) (*.net *.split)
[00:41:40] *** Quits: mplio (~mplio@81-205-35-3.fixed.kpn.net) (*.net *.split)
[00:41:40] *** Quits: rektide (~rektide@eldergods.com) (*.net *.split)
[00:41:40] *** Quits: w0lff (~quassel@x8d1e1e30.agdsn.tu-dresden.de) (*.net *.split)
[00:41:40] *** Quits: Nilium (~sid200856@p01.sfo2.do.x.spiff.io) (*.net *.split)
[00:41:40] *** Quits: ebb (ebb@user/ebb) (*.net *.split)
[00:41:40] *** Quits: simontime (~simontime@irc.simonti.me) (*.net *.split)
[00:41:40] *** Quits: bblack (~bblack@wikimedia/bblack-WMF) (*.net *.split)
[00:41:40] *** Quits: dottedmag (~dottedmag@tea.dottedmag.net) (*.net *.split)
[00:41:40] *** Quits: phroa (~phroa@user/phroa) (*.net *.split)
[00:41:41] *** Quits: kron (~weechat@user/qaph) (*.net *.split)
[00:41:41] *** Quits: cr1901 (~cr1901@2601:8d:8600:911:bd4e:8264:4908:c86) (*.net *.split)
[00:41:41] *** Quits: HenrikHenriksson (~hxctrl-cl@2001:470:69fc:105::e37b) (*.net *.split)
[00:41:41] *** Quits: torque (~tachyon@user/torque) (*.net *.split)
[00:41:41] *** Quits: tenshi (~red@user/tenshi) (*.net *.split)
[00:41:41] *** Quits: Nixx (~quassel@bulbasaur.sjorsgielen.nl) (*.net *.split)
[00:41:41] *** Quits: rbino (~rbino@rbino.com) (*.net *.split)
[00:41:41] *** Quits: companion_cube (~simon@user/companion-cube) (*.net *.split)
[00:41:41] *** Quits: eco (~ubuntu@ec2-54-201-230-197.us-west-2.compute.amazonaws.com) (*.net *.split)
[00:41:42] *** Quits: bw (sid2730@user/betawaffle) (*.net *.split)
[00:41:42] *** Quits: mht-wtf (~mht@2a03:b0c0:3:e0::1e2:c001) (*.net *.split)
[00:41:42] *** Quits: lucus (~lucus@relto.u16.nl) (*.net *.split)
[00:41:42] *** Quits: Ristovski (~Ristovski@hellomouse/perf/ristovski) (*.net *.split)
[00:41:42] *** Quits: Franciman (~Franciman@mx1.fracta.dev) (*.net *.split)
[00:41:42] *** Quits: ofh (~felix@61.68.64.167) (*.net *.split)
[00:41:42] *** Quits: marler8997_ (~marler899@96-19-96-19-162-162.cpe.sparklight.net) (*.net *.split)
[00:41:42] *** Quits: yrlf (~yrlf@omnath.yrlf.at) (*.net *.split)
[00:41:42] *** Quits: danderson (~dave@tailscale/danderson) (*.net *.split)
[00:41:42] *** Quits: johnLate (~johnlate@lexington.scnr.net) (*.net *.split)
[00:41:42] *** Quits: ep (~erik@user/ep) (*.net *.split)
[00:41:42] *** Quits: Flaminator (~Flaminato@ns323457.ip-5-39-76.eu) (*.net *.split)
[00:41:42] *** Quits: dom96 (~dom@mail.nim-lang.org) (*.net *.split)
[00:41:42] *** Quits: voldial (~user@user/voldial) (*.net *.split)
[00:41:42] *** Quits: da_lorax (~daloraxye@2001:470:69fc:105::1:5e15) (*.net *.split)
[00:41:42] *** Quits: LorisCro[m] (~kristoff-@2001:470:69fc:105::1:2521) (*.net *.split)
[00:41:42] *** Quits: voroskoi[m] (~voroskoif@2001:470:69fc:105::e17) (*.net *.split)
[00:41:43] *** Quits: ikskuh (~xq@v43666.php-friends.de) (*.net *.split)
[00:41:43] *** Quits: tsmanner_ (~tsmanner@pool-100-40-199-193.pghkny.fios.verizon.net) (*.net *.split)
[00:41:43] *** Quits: squeek502_ (~squeek502@user/squeek502) (*.net *.split)
[00:41:43] *** Quits: Earnestly (~earnest@user/earnestly) (*.net *.split)
[00:41:43] *** Quits: V (~v@anomalous.eu) (*.net *.split)
[00:41:43] *** Quits: doublej41 (~doublej47@osuosl/alumni/doublej472) (*.net *.split)
[00:41:43] *** Quits: toms (~foobar@pogostick.net) (*.net *.split)
[00:41:43] *** Quits: koakuma (~koakuma@user/koakuma) (*.net *.split)
[00:41:43] *** Quits: poqomchi (~poqomchi@user/poqomchi) (*.net *.split)
[00:41:43] *** Quits: mattikus (sid161707@user/mattikus) (*.net *.split)
[00:41:43] *** Quits: cln (sid336875@id-336875.ilkley.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: FMJz__________ (sid279245@id-279245.lymington.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: v0idpwn (sid483136@helmsley.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: mischief (~mischief@wopr.sciops.net) (*.net *.split)
[00:41:43] *** Quits: amine (~aminechik@user/aminechikhaoui) (*.net *.split)
[00:41:43] *** Quits: dwcraig (~dwcraig@c-73-61-103-149.hsd1.nh.comcast.net) (*.net *.split)
[00:41:43] *** Quits: perro_ (~perro@072-191-245-069.res.spectrum.com) (*.net *.split)
[00:41:43] *** Quits: greeb (~greeb@blahblahblah.anime.horse) (*.net *.split)
[00:41:43] *** Quits: nakedeyes (~nathan@user/nandormagyar) (*.net *.split)
[00:41:43] *** Quits: smeding (~roysmedin@167.71.77.228) (*.net *.split)
[00:41:43] *** Quits: nickster (~nickster@67.207.91.6) (*.net *.split)
[00:41:43] *** Quits: Seng (~nick@hurtig.ninja) (*.net *.split)
[00:41:43] *** Quits: aspe[m] (~dimitrisa@2001:470:69fc:105::d93e) (*.net *.split)
[00:41:43] *** Quits: Levy[m] (~tauoverpi@2001:470:69fc:105::1:71a5) (*.net *.split)
[00:41:43] *** Quits: ugla (~ugla@2001:470:69fc:105::2b5) (*.net *.split)
[00:41:43] *** Quits: devast8a (~devast8a@2001:470:69fc:105::3f46) (*.net *.split)
[00:41:43] *** Quits: kragacles (~kragacles@rebonack.apastron.co) (*.net *.split)
[00:41:43] *** Quits: nyah (~nyah@05453449.skybroadband.com) (*.net *.split)
[00:41:43] *** Quits: wallacer (~quassel@2001:bc8:1824:9a:cafe:babe:b00b:aa03) (*.net *.split)
[00:41:43] *** Quits: notzmv (~zmv@user/notzmv) (*.net *.split)
[00:41:44] *** Quits: bfredl (~bfredl@2001:470:69fc:105::183) (*.net *.split)
[00:41:44] *** Quits: Levytauoverpitch (~tauoverpi@2001:470:69fc:105::728) (*.net *.split)
[00:41:44] *** Quits: mikolajw (~mikolajtc@2001:470:69fc:105::3b02) (*.net *.split)
[00:41:44] *** Quits: nopenope[m] (~repmovsb@2001:470:69fc:105::1:274e) (*.net *.split)
[00:41:44] *** Quits: siraben (~siraben@user/siraben) (*.net *.split)
[00:41:44] *** Quits: Raito_Bezarius (~Raito@wireguard/tunneler/raito-bezarius) (*.net *.split)
[00:41:44] *** Quits: wilsonk (~wilsonk@S0106001b11030a94.cg.shawcable.net) (*.net *.split)
[00:41:44] *** Quits: Nulo (~Nulo@user/nulo) (*.net *.split)
[00:41:44] *** Quits: mercenary (~mercenary@user/mercenary) (*.net *.split)
[00:41:44] *** Quits: dch (sid1310@couchdb/committer/dch) (*.net *.split)
[00:41:44] *** Quits: royo (~royo@user/royo) (*.net *.split)
[00:41:44] *** Quits: shurane (sid132556@id-132556.helmsley.irccloud.com) (*.net *.split)
[00:41:44] *** Quits: aliasless (quassel@2001:19f0:6001:490f:9436:fd2d:3fc6:cfde) (*.net *.split)
[00:41:44] *** Quits: tanami_ (~q@irc.expert) (*.net *.split)
[00:41:44] *** Quits: shachaf (~shachaf@user/shachaf) (*.net *.split)
[00:41:44] *** Quits: ur5us (~ur5us@2406:e002:6d58:d101:2b70:9bf7:d290:b791) (*.net *.split)
[00:41:44] *** Quits: josias (~mottmatri@2001:470:69fc:105::b6c) (*.net *.split)
[00:41:45] *** Quits: factor (~factor@c-73-68-120-166.hsd1.ma.comcast.net) (*.net *.split)
[00:41:45] *** Quits: daurn (~daurnimat@vultr.daurnimator.com) (*.net *.split)
[00:41:45] *** Quits: LostKobrakai (~LostKobra@dia.uberspace.de) (*.net *.split)
[00:41:45] *** Quits: mentisdominus (~discipulu@user/discipulus) (*.net *.split)
[00:41:45] *** Quits: gw1 (g-w1@2600:3c03::f03c:92ff:fe2f:c92f) (*.net *.split)
[00:41:45] *** Quits: flokli (~flokli@2a01:4f9:c010:6c2:9479:5dff:fe37:7b16) (*.net *.split)
[00:41:45] *** Quits: nrr___ (sid20938@id-20938.lymington.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: tributarian (sid381145@id-381145.helmsley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: PotatoGim (sid99505@id-99505.lymington.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: glowcoil_ (sid3405@id-3405.tinside.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: euantorano (sid180289@id-180289.helmsley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: oisota (~oisota@user/oisota) (*.net *.split)
[00:41:45] *** Quits: flux_control (~flux@sourcemage/wizard/flux) (*.net *.split)
[00:41:45] *** Quits: rom1504 (rom1504@rom1504.fr) (*.net *.split)
[00:41:45] *** Quits: slowjo (~slowjo@sourcehut/user/slowjo) (*.net *.split)
[00:41:45] *** Quits: jaredmm (~jaredmm@user/jaredmm) (*.net *.split)
[00:41:46] *** Quits: lanodan (~lanodan@2a01:e0a:d6:9930::35) (*.net *.split)
[00:41:46] *** Quits: meinside (uid24933@id-24933.helmsley.irccloud.com) (*.net *.split)
[00:41:46] *** Quits: leah2 (~leah@vuxu.org) (*.net *.split)
[00:44:07] *** Joins: flyx[m] (~flyxflyxo@mail.flyx.org)
[00:44:07] *** Joins: koollman (~samson_t@user/koollman)
[00:44:07] *** Joins: andrewrk (~andrewrk@mail.ziglang.org)
[00:44:07] *** Joins: Piraty (~irc@user/piraty)
[00:44:07] *** Joins: chgr (~chgr@static.152.235.203.116.clients.your-server.de)
[00:44:07] *** Joins: qbit (~qbit@ns2.suah.dev)
[00:44:07] *** Joins: McKael (~mikael@82-64-95-224.subs.proxad.net)
[00:44:07] *** Joins: [R] (~rs@genoce.org)
[00:44:07] *** Joins: amk (~amk@109.255.169.126)
[00:44:07] *** Joins: drewr (~drew@user/drewr)
[00:44:07] *** Joins: rtb_ (~calmdownb@li749-143.members.linode.com)
[00:44:07] *** Joins: zig-irc-logger (~zig-irc-l@216.117.174.63)
[00:44:07] *** Joins: bgs (~bgs@cpe-212-85-160-171.cable.telemach.net)
[00:44:07] *** Joins: haliucinas (~haliucina@5.20.153.21)
[00:44:07] *** Joins: mgxm_ (~mgxm@user/mgxm)
[00:44:07] *** Joins: cursey (~cursey@user/cursey)
[00:44:07] *** Joins: frmdstryr (~jrm@172.58.203.83)
[00:44:07] *** Joins: oats (~thomas@user/oats)
[00:44:07] *** Joins: Sawzall (~Sawzall@96-82-249-149-static.hfc.comcastbusiness.net)
[00:44:07] *** Joins: inr (~a@c-5817e555.040-159-73746f16.bbcust.telenor.se)
[00:44:07] *** Joins: ofelas_ (~ofelas@ti0071a400-5198.bb.online.no)
[00:44:07] *** Joins: wootehfoot (~wootehfoo@user/wootehfoot)
[00:44:07] *** Joins: lonjil (~quassel@user/lonjil)
[00:44:07] *** Joins: occivink (~occivink@2001:41d0:8:bbf::1)
[00:44:07] *** Joins: zups (~meow@2a01:4f9:c010:6036::1)
[00:44:07] *** Joins: dutchie (~dutchie@user/dutchie)
[00:44:07] *** Joins: Xe (~cadey@tailscale/xe)
[00:44:07] *** Joins: duck2 (~duck2@146.185.156.161)
[00:44:07] *** Joins: bgiannan (giann@2a01:4f8:141:1272::2)
[00:44:07] *** Joins: dcx (~dcx@user/dac)
[00:44:07] *** Joins: koolazer (~koo@user/koolazer)
[00:44:07] *** Joins: Techcable (~Techcable@168.235.93.147)
[00:44:07] *** Joins: kotto (~kotto@2001:8a0:ee37:f500:2ad2:44ff:fe68:9566)
[00:44:07] *** Joins: bfiedler (~bfiedler@2a0d:d740:107::3)
[00:44:07] *** Joins: lqd (uid15826@id-15826.helmsley.irccloud.com)
[00:44:07] *** Joins: daex (~daex@user/daex)
[00:44:07] *** Joins: pusewic|away__ (sid2036@id-2036.lymington.irccloud.com)
[00:44:07] *** Joins: arkurious (~arkurious@user/arkurious)
[00:44:07] *** Joins: moats (~oats@user/oats)
[00:44:07] *** Joins: gpanders (~gpanders@user/gpanders)
[00:44:07] *** Joins: alethkit (~alethkitm@2001:470:69fc:105::1:6fa4)
[00:44:07] *** Joins: coolshaurya (~coolshaur@2001:470:69fc:105::fac0)
[00:44:07] *** Joins: ajr_ (~andrew@cpe-172-91-111-232.socal.res.rr.com)
[00:44:07] *** Joins: leah2 (~leah@vuxu.org)
[00:44:07] *** Joins: meinside (uid24933@id-24933.helmsley.irccloud.com)
