[00:00:34] *** Joins: BlackIkeEagle (~BlackIkeE@archlinux/trusteduser/blackikeeagle)
[00:21:43] <vaio> hello, is there a way to find out which plugin is missing when `docker service scale` returns `no suitable node (missing plugin on 3 nodes)`
[00:22:28] *** Joins: DoofusCanadensis (~DoofusCan@node-1w7jr9yercvgex5z93pzd0psq.ipv6.telus.net)
[00:23:33] <vaio> i'm trying to run a swarm with nfs mounts; i installed the `docker-volume-netshare` plugin on all nodes, service is up and running, and the docker-compose file works fine when not running in swarm mode
[00:24:57] <vaio> what i can find on https://github.com/docker/swarmkit/issues/2392 isn't really helping; or i'm missing something..
[00:25:19] *** Joins: sgt_chuckles (~sgt_chuck@pool-71-190-209-205.nycmny.fios.verizon.net)
[00:25:35] *** Quits: Hackerpcs (~user@user/hackerpcs) (Quit: Hackerpcs)
[00:41:34] *** Quits: programmerq (~programme@user/programmerq) (*.net *.split)
[00:41:34] *** Quits: kenwoodfox (~quassel@user/kenwoodfox) (*.net *.split)
[00:41:34] *** Quits: dino- (~dino@user/din0) (*.net *.split)
[00:41:34] *** Quits: yamchah2 (~yamchah2@user/yamchah2) (*.net *.split)
[00:41:34] *** Quits: jkovac1 (~jkovac1@user/jkovac1) (*.net *.split)
[00:41:34] *** Quits: simplicity (~yti@user/simplicity) (*.net *.split)
[00:41:34] *** Quits: setesat (~setesat@94.4.156.220) (*.net *.split)
[00:41:34] *** Quits: z8z (~x@ac255238.ppp.asahi-net.or.jp) (*.net *.split)
[00:41:34] *** Quits: dlam (~dlam@dlam.me) (*.net *.split)
[00:41:34] *** Quits: NOTevil (~notevil@user/notevil) (*.net *.split)
[00:41:34] *** Quits: compuguy (~ahall@user/compuguy) (*.net *.split)
[00:41:34] *** Quits: LordKalma (~LordKalma@server.ruilvo.com) (*.net *.split)
[00:41:34] *** Quits: DefiantN (~DefiantN@user/defiantn) (*.net *.split)
[00:41:34] *** Quits: Bossi (~quassel@p548379ef.dip0.t-ipconnect.de) (*.net *.split)
[00:41:34] *** Quits: dox (~dox@dox.la) (*.net *.split)
[00:41:34] *** Quits: lazywalker (~lazywalke@user/lazywalker) (*.net *.split)
[00:41:34] *** Quits: opotin (~opotin@gyros.collabora.co.uk) (*.net *.split)
[00:41:34] *** Quits: vogelfrei (vogelfrei@user/vogelfrei) (*.net *.split)
[00:41:34] *** Quits: archpc (~archpc@user/archpc) (*.net *.split)
[00:41:34] *** Quits: flynn (~mcbloch@user/flynn) (*.net *.split)
[00:41:34] *** Quits: drillbyt (drillbyt@user/drillbyt) (*.net *.split)
[00:41:34] *** Quits: HaMsTeRs (~Thunderbi@210.3.213.4) (*.net *.split)
[00:41:34] *** Quits: finsternis (~X@23.226.237.192) (*.net *.split)
[00:41:34] *** Quits: sudoforge (~sudoforge@wireguard/tunneler/sudoforge) (*.net *.split)
[00:41:34] *** Quits: bn_work (uid268505@id-268505.uxbridge.irccloud.com) (*.net *.split)
[00:41:34] *** Quits: notsponsible (~notsponsi@185.226.144.69) (*.net *.split)
[00:41:34] *** Quits: realies (~realies@user/realies) (*.net *.split)
[00:41:34] *** Quits: gproto23 (~gproto23@user/gproto23) (*.net *.split)
[00:41:34] *** Quits: Koopz (~Koopz@koopz.rocks) (*.net *.split)
[00:41:34] *** Quits: emerent (~quassel@p200300cd5704438cba27ebfffed28a59.dip0.t-ipconnect.de) (*.net *.split)
[00:41:35] *** Quits: vlm (~vlm@user/vlm) (*.net *.split)
[00:41:35] *** Quits: optiz0r (~quassel@lenore.sihnon.net) (*.net *.split)
[00:41:35] *** Quits: xep (~xep@76-210-4-7.lightspeed.sntcca.sbcglobal.net) (*.net *.split)
[00:41:35] *** Quits: Icedream (~icedream@hzn-b.serverkomplex.de) (*.net *.split)
[00:41:35] *** Quits: TheSilentLink (~TheSilent@user/thesilentlink) (*.net *.split)
[00:41:35] *** Quits: Fossil (~Fossil@2a03:b0c0:0:1010::398:b001) (*.net *.split)
[00:41:35] *** Quits: baakeydow (~baake@2001:41d0:203:b12c::) (*.net *.split)
[00:41:35] *** Quits: goose (goose@bucket.goose.ws) (*.net *.split)
[00:41:35] *** Quits: Helikoptere (~Helikopte@infracloud.lcnaud.fr) (*.net *.split)
[00:41:35] *** Quits: nebiros (nebiros@user/nebiros) (*.net *.split)
[00:41:35] *** Quits: svm_invictvs (~svm_invic@user/svm-invictvs/x-6696469) (*.net *.split)
[00:41:35] *** Quits: XSDNMN_ (~XSDNMN@2601:449:8400:4170:9c01:6151:fa36:aa8e) (*.net *.split)
[00:41:35] *** Quits: Furai (~Furai@furai.pl) (*.net *.split)
[00:41:35] *** Quits: karstensrage (~karstensr@user/karstensrage) (*.net *.split)
[00:41:35] *** Quits: BtbN (btbn@ffmpeg/developer/btbn) (*.net *.split)
[00:41:35] *** Quits: scjosh (~scjosh@206.189.79.69) (*.net *.split)
[00:41:35] *** Quits: diverdude (~user@176-21-102-230-cable.dk.customer.tdc.net) (*.net *.split)
[00:41:35] *** Quits: tetsumaki (~unknown@ns331908.ip-5-135-162.eu) (*.net *.split)
[00:41:35] *** Quits: vinegar (~vinegar@user/vinegar) (*.net *.split)
[00:41:35] *** Quits: PeGaSuS (ubuntu@user/pegasus) (*.net *.split)
[00:41:35] *** Quits: eyJhb (~eyJhb@user/eyjhb) (*.net *.split)
[00:41:35] *** Quits: Croepha (~Croepha@45.55.252.156) (*.net *.split)
[00:41:35] *** Quits: weyhmueller (~weyhmuell@blofeld.nc.w9r.de) (*.net *.split)
[00:41:35] *** Quits: davef (dave@user/davef) (*.net *.split)
[00:41:35] *** Quits: EtherMan (~quassel@inception.debokred.se) (*.net *.split)
[00:41:36] *** Quits: vigumnov (~victori@cpe-76-89-139-69.socal.res.rr.com) (*.net *.split)
[00:41:36] *** Quits: OverCoder (~OverCoder@user/overcoder) (*.net *.split)
[00:41:36] *** Quits: libcat (~quassel@2a01:4f8:c2c:2b3a::1) (*.net *.split)
[00:41:36] *** Quits: max-m (~max-m@2a01:4f8:150:6153:beef::6667) (*.net *.split)
[00:41:36] *** Quits: haasn (~nand@haasn.dev) (*.net *.split)
[00:41:36] *** Quits: emberquill (~emberquil@user/emberquill) (*.net *.split)
[00:41:36] *** Quits: ueberall (ueberall_l@user/ueberall) (*.net *.split)
[00:41:36] *** Quits: MillerBOSS (~fire@su.per.ca.li.fra.gil.is.tic.ex.pi.a.li.do.cious.millerboss.com) (*.net *.split)
[00:41:36] *** Quits: _dp (~dp@user/dp/x-8792323) (*.net *.split)
[00:41:36] *** Quits: eein (35f97d3dbd@2604:bf00:561:2000::2a6) (*.net *.split)
[00:41:36] *** Quits: akelly (24aca7a63b@2604:bf00:561:2000::152) (*.net *.split)
[00:41:36] *** Quits: hwrd (aa272caead@2604:bf00:561:2000::137) (*.net *.split)
[00:41:36] *** Quits: lucerne (~lucerne@ip202.ip-51-178-215.eu) (*.net *.split)
[00:41:36] *** Quits: lewisje (~lewisje@72.49.207.113) (*.net *.split)
[00:41:36] *** Quits: ses (uid38151@id-38151.hampstead.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: moo (~moo@beware.of.the.ass.ninja) (*.net *.split)
[00:41:36] *** Quits: divine (~divine@2001:470:8247:1::31) (*.net *.split)
[00:41:36] *** Quits: Djoobstil (~djoobstil@djoobstil.online) (*.net *.split)
[00:41:36] *** Quits: or4n_ (~or4n@gerbera.qkka.org) (*.net *.split)
[00:41:36] *** Quits: Telgareith (~Telgareit@user/telgareith) (*.net *.split)
[00:41:36] *** Quits: yjftsjthsd3 (~yjftsjths@27.148.70.34.bc.googleusercontent.com) (*.net *.split)
[00:41:36] *** Quits: timeless (sid4015@id-4015.ilkley.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: Razva (sid17541@user/razva) (*.net *.split)
[00:41:36] *** Quits: Kilroy (~thelounge@user/Kilroy) (*.net *.split)
[00:41:36] *** Quits: ColdKeyboard (~ColdKeybo@user/coldkeyboard) (*.net *.split)
[00:41:36] *** Quits: cX1n (~cX1n@107.159.97.244) (*.net *.split)
[00:41:36] *** Quits: ananke (~ananke@user/ananke) (*.net *.split)
[00:41:36] *** Quits: BlackIkeEagle (~BlackIkeE@archlinux/trusteduser/blackikeeagle) (*.net *.split)
[00:41:37] *** Quits: _sean (~xsean@203.86.202.187) (*.net *.split)
[00:41:37] *** Quits: az (az@user/azz) (*.net *.split)
[00:41:37] *** Quits: robink (~quassel@user/robink) (*.net *.split)
[00:41:37] *** Quits: pgloor (~petergloo@mix.cubus.space) (*.net *.split)
[00:41:37] *** Quits: tetrapod (~tetrapod@user/tetrapod) (*.net *.split)
[00:41:37] *** Quits: andypandy (~andypandy@h-178-174-148-234.A163.priv.bahnhof.se) (*.net *.split)
[00:41:37] *** Quits: night_wulfe (~wulfe@cpe-174-103-156-213.cinci.res.rr.com) (*.net *.split)
[00:41:37] *** Quits: t0mm13b (~t0mm13b@user/t0mm13b) (*.net *.split)
[00:41:37] *** Quits: amnrst (~amnrst@45-79-201-163.ip.linodeusercontent.com) (*.net *.split)
[00:41:37] *** Quits: Cienisty (Cienisty@user/cienisty) (*.net *.split)
[00:41:37] *** Quits: cim (~cim@205.185.117.110) (*.net *.split)
[00:41:37] *** Quits: Flash (~Flash@user/flash) (*.net *.split)
[00:41:37] *** Quits: statusbot1 (~statusbot@ec2-34-198-122-184.compute-1.amazonaws.com) (*.net *.split)
[00:41:37] *** Quits: alicef (~none@gentoo/developer/alicef) (*.net *.split)
[00:41:37] *** Quits: monoxane (~monoxane@user/monoxane) (*.net *.split)
[00:41:37] *** Quits: slaughter (~slaughter@europa.whatbox.ca) (*.net *.split)
[00:41:37] *** Quits: dalan6 (~dalan@59-102-63-107.tpgi.com.au) (*.net *.split)
[00:41:37] *** Quits: dvanloon (~dvanloon@user/dvanloon) (*.net *.split)
[00:41:37] *** Quits: bkhl (~bkhl@user/bkhl) (*.net *.split)
[00:41:37] *** Quits: boycott (~boycott@user/boycott) (*.net *.split)
[00:41:37] *** Quits: very_sneaky (~very_snea@user/very-sneaky/x-7432109) (*.net *.split)
[00:41:37] *** Quits: chemsmith (~chemsmith@user/chemsmith) (*.net *.split)
[00:41:37] *** Quits: akik (akik@dsl-tkubng22-58c1e2-116.dhcp.inet.fi) (*.net *.split)
[00:41:37] *** Quits: nickel715 (~nickel715@user/nickel715) (*.net *.split)
[00:41:37] *** Quits: Bebef (sbreit@phobos.bebef.de) (*.net *.split)
[00:41:37] *** Quits: phylaz (~phylaz@82.51-174-55.customer.lyse.net) (*.net *.split)
[00:41:37] *** Quits: Snuupy (~Snuupy@user/snuupy) (*.net *.split)
[00:41:37] *** Quits: sehrope (~sehrope@23-24-81-162-static.hfc.comcastbusiness.net) (*.net *.split)
[00:41:37] *** Quits: Pokey (~pokey@spikeyCactus/hoosky) (*.net *.split)
[00:41:37] *** Quits: DoofusCanadensis (~DoofusCan@node-1w7jr9yercvgex5z93pzd0psq.ipv6.telus.net) (*.net *.split)
[00:41:37] *** Quits: theo (~theo@user/theo) (*.net *.split)
[00:41:37] *** Quits: tiferrei (~tiferrei@user/tiferrei) (*.net *.split)
[00:41:37] *** Quits: Atque (~Atque@user/atque) (*.net *.split)
[00:41:37] *** Quits: CombatVet (~c4@user/combatvet) (*.net *.split)
[00:41:37] *** Quits: fedenix (~fedenix@gateway/tor-sasl/fedenix) (*.net *.split)
[00:41:37] *** Quits: _mikey (~mikey@user/mikey/x-4335048) (*.net *.split)
[00:41:37] *** Quits: bindu (~bindu@user/bindu) (*.net *.split)
[00:41:37] *** Quits: fedenix__ (~fedenix@gateway/tor-sasl/fedenix) (*.net *.split)
[00:41:37] *** Quits: vaio (~gary@user/ghost) (*.net *.split)
[00:41:37] *** Quits: cornduck (~cornduck@gateway/tor-sasl/cornduck) (*.net *.split)
[00:41:37] *** Quits: gxt (~gxt@gateway/tor-sasl/gxt) (*.net *.split)
[00:41:37] *** Quits: lithium (~lithium@user/lithium) (*.net *.split)
[00:41:37] *** Quits: TheBigK (~quassel@user/thebigk) (*.net *.split)
[00:41:37] *** Quits: nyuszika7h (nyuszika7h@lykos/dev/nyuszika7h) (*.net *.split)
[00:41:37] *** Quits: r0bby (r0bby@user/r0bby) (*.net *.split)
[00:41:37] *** Quits: brw (~bas@haring.bas.sh) (*.net *.split)
[00:41:37] *** Quits: ada_ (uid242135@user/ada/x-9065485) (*.net *.split)
[00:41:38] *** Quits: jayray (~jayray@user/jayray) (*.net *.split)
[00:41:38] *** Quits: kostkon__ (~kostkon@2a02:587:a116:f212:4d86:1980:f91d:1e03) (*.net *.split)
[00:41:38] *** Quits: aminvakil (~aminvakil@2a01:4f8:120:336b:4::1) (*.net *.split)
[00:41:38] *** Quits: selckin (~selckin@user/selckin) (*.net *.split)
[00:41:38] *** Quits: koolazer (~koo@user/koolazer) (*.net *.split)
[00:41:38] *** Quits: jelly (jelly@user/jelly) (*.net *.split)
[00:41:38] *** Quits: fxrs (~fxrs@192.227.212.130) (*.net *.split)
[00:41:38] *** Quits: tabakhase (tabakhase@user/tabakhase) (*.net *.split)
[00:41:38] *** Quits: firewyre (~firewyre@pool-71-184-153-62.bstnma.fios.verizon.net) (*.net *.split)
[00:41:38] *** Quits: bp (~bp@user/bp) (*.net *.split)
[00:41:38] *** Quits: particleflux (~particlef@ircb.hackthe.codes) (*.net *.split)
[00:41:38] *** Quits: nickorta12 (~nickorta1@174-28-176-216.albq.qwest.net) (*.net *.split)
[00:41:38] *** Quits: thumbs (1000@apache/committer/thumbs) (*.net *.split)
[00:41:39] *** Quits: maret (~maret@nat-88-212-37-89.antik.sk) (*.net *.split)
[00:41:39] *** Quits: ekathva (~ekathva@2001:999:51:be01:2c4a:6b25:b5d5:f2c9) (*.net *.split)
[00:41:39] *** Quits: dtux (~dtux@c-98-207-149-218.hsd1.ca.comcast.net) (*.net *.split)
[00:41:39] *** Quits: ivii (~ivan@user/ivii) (*.net *.split)
[00:41:39] *** Quits: rMdes (~rmdes@my.armada.digital) (*.net *.split)
[00:41:39] *** Quits: rpthms (~rpthms@user/rpthms) (*.net *.split)
[00:41:39] *** Quits: DrowningElysium (uid190788@user/drowningelysium) (*.net *.split)
[00:41:39] *** Quits: Forsaken87 (~quassel@2a02:908:1866:e360:b79:88e2:d2ce:2e71) (*.net *.split)
[00:41:39] *** Quits: Czernobog (~Czernobog@user/czernobog) (*.net *.split)
[00:41:39] *** Quits: arash- (arash@thinks.life.is-a.beauty) (*.net *.split)
[00:41:39] *** Quits: peac (sid344662@id-344662.hampstead.irccloud.com) (*.net *.split)
[00:41:39] *** Quits: noex (~null@user/noex) (*.net *.split)
[00:41:39] *** Quits: LtHummus (~lthummus@97-126-121-3.tukw.qwest.net) (*.net *.split)
[00:41:39] *** Quits: Bish (~arne@ip-037-024-001-041.um08.pools.vodafone-ip.de) (*.net *.split)
[00:41:39] *** Quits: AsenMx (~asen@user/asenmx) (*.net *.split)
[00:41:39] *** Quits: enrh (~enrh@user/enrh) (*.net *.split)
[00:41:39] *** Quits: bashel_ (~bashel@user/bashel) (*.net *.split)
[00:41:39] *** Quits: larsks (~larsks@redhat/larsks) (*.net *.split)
[00:41:39] *** Quits: wyre (~wyre@user/wyre) (*.net *.split)
[00:41:39] *** Quits: njka (~njka@user/njka) (*.net *.split)
[00:41:39] *** Quits: jrabbit (~jack@user/jrabbit) (*.net *.split)
[00:41:39] *** Quits: amosbird (~amosbird@13.75.119.182) (*.net *.split)
[00:41:39] *** Quits: icy (~icy@user/icy) (*.net *.split)
[00:41:39] *** Quits: foo (~foo@user/foo/x-8763512) (*.net *.split)
[00:41:39] *** Quits: oskie (usel@user/oskie) (*.net *.split)
[00:41:40] *** Quits: jacekowski (jacekowski@jacekowski.org) (*.net *.split)
[00:41:40] *** Quits: dkeohane2 (~dkeohane@ec2-18-189-29-140.us-east-2.compute.amazonaws.com) (*.net *.split)
[00:41:40] *** Quits: peder (4822@nidur.ifi.uio.no) (*.net *.split)
[00:41:40] *** Quits: gordonjcp (~gordon@boulton.gjcp.net) (*.net *.split)
[00:41:40] *** Quits: Haxxa (~Haxxa@125-253-30-213.ip4.superloop.com) (*.net *.split)
[00:41:40] *** Quits: jkwnki (~jkwnki@p2e5796b1.dip0.t-ipconnect.de) (*.net *.split)
[00:41:40] *** Quits: c10l (~c10l@user/c10l) (*.net *.split)
[00:41:40] *** Quits: glider (~glider@user/glider) (*.net *.split)
[00:41:40] *** Quits: OsteHovel (~OsteHovel@ti0056a400-0096.bb.online.no) (*.net *.split)
[00:41:40] *** Quits: withered_wolf (~withered_@1437135-v103.1561-static.stchilaa.metronetinc.net) (*.net *.split)
[00:41:40] *** Quits: foul_owl (~kerry@94.140.8.105) (*.net *.split)
[00:41:40] *** Quits: moldorcoder7 (~moldorcod@188.95.55.24) (*.net *.split)
[00:41:40] *** Quits: luva (~luva@37.120.197.52) (*.net *.split)
[00:41:40] *** Quits: noarb (~noarb@user/noarb) (*.net *.split)
[00:41:40] *** Quits: itsalexjones (~itsalexjo@82.4.99.241) (*.net *.split)
[00:41:40] *** Quits: AnapodoPsalidi (~AnapodoPs@154.57.4.229) (*.net *.split)
[00:41:40] *** Quits: rv1sr (~rv1sr@user/rv1sr) (*.net *.split)
[00:41:40] *** Quits: bliminse (~bliminse@host86-188-36-166.range86-188.btcentralplus.com) (*.net *.split)
[00:41:40] *** Quits: artok (~azo@mobile-access-b04849-185.dhcp.inet.fi) (*.net *.split)
[00:41:40] *** Quits: m5zs7k (aquares@web10.mydevil.net) (*.net *.split)
[00:41:40] *** Quits: fmirkes (~fmirkes@user/fmirkes) (*.net *.split)
[00:41:40] *** Quits: junktext (~junktext@gateway/vpn/pia/junktext) (*.net *.split)
[00:41:40] *** Quits: bloodninja (~bloodninj@user/bloodninja) (*.net *.split)
[00:41:40] *** Quits: rowbots (~dirgeable@h64-17-89-214.arvdco.broadband.dynamic.tds.net) (*.net *.split)
[00:41:40] *** Quits: winstonsmith (~winstonsm@gateway/vpn/pia/winstonsmith) (*.net *.split)
[00:41:40] *** Quits: tsal (~tsal@user/tsal) (*.net *.split)
[00:41:40] *** Quits: daniel-k3 (~daniel-k@fsf/emeritus/daniel-k) (*.net *.split)
[00:41:40] *** Quits: mven (~mven@ip68-104-39-54.lv.lv.cox.net) (*.net *.split)
[00:41:40] *** Quits: tazle (tazle@kapsi.fi) (*.net *.split)
[00:41:40] *** Quits: beenao (~beenao@user/beenao) (*.net *.split)
[00:41:40] *** Quits: travisghansen (~travisgha@192.74.130.86) (*.net *.split)
[00:41:40] *** Quits: ash_worksi (~ash_m@user/ash-m/x-3292451) (*.net *.split)
[00:41:40] *** Quits: jochum (~quassel@user/jochum) (*.net *.split)
[00:41:40] *** Quits: jgrim (~jgrim@d199-74-109-78.col.wideopenwest.com) (*.net *.split)
[00:41:40] *** Quits: arkanoid (~arkanoid@2-238-151-49.ip244.fastwebnet.it) (*.net *.split)
[00:41:40] *** Quits: shokohsc (~shokohsc@lfbn-idf2-1-1472-129.w92-169.abo.wanadoo.fr) (*.net *.split)
[00:41:40] *** Quits: Byteflux (~byte@byteflux.net) (*.net *.split)
[00:41:40] *** Quits: SirScott (~SirScott@c-67-176-100-163.hsd1.co.comcast.net) (*.net *.split)
[00:41:40] *** Quits: molt (~molt@178-222-245-206.static.isp.telekom.rs) (*.net *.split)
[00:41:40] *** Quits: acovrig7 (~acovrig@host-173-247-7-127.JENOLT2.epbfi.com) (*.net *.split)
[00:41:40] *** Quits: bolt (~r00t@user/bolt) (*.net *.split)
[00:41:40] *** Quits: geirha (~geirha@user/geirha) (*.net *.split)
[00:41:40] *** Quits: phenom (~primus@user/phenom) (*.net *.split)
[00:41:40] *** Quits: LiENUS (~quake@108-242-135-2.lightspeed.btrgla.sbcglobal.net) (*.net *.split)
[00:41:40] *** Quits: polymorphic (~polymorph@user/polymorphic) (*.net *.split)
[00:41:40] *** Quits: lemonsnicks (~lemonsnic@cpc159519-perr18-2-0-cust114.19-1.cable.virginm.net) (*.net *.split)
[00:41:40] *** Quits: Maxattax (~max@50-195-160-193-static.hfc.comcastbusiness.net) (*.net *.split)
[00:41:40] *** Quits: BobbyJr2 (~BobbyJr@robsworld.plus.com) (*.net *.split)
[00:41:40] *** Quits: daddy (ryan@hashbang/bdfl) (*.net *.split)
[00:41:40] *** Quits: Bardon (~Bardon@user/Bardon) (*.net *.split)
[00:41:40] *** Quits: badeball_ (~jonas@159.65.195.62) (*.net *.split)
[00:41:40] *** Quits: rick123 (~rick123@157.245.192.96) (*.net *.split)
[00:41:40] *** Quits: gfawcett (~gfawcett@ns521973.ip-158-69-124.net) (*.net *.split)
[00:41:40] *** Quits: k2gremlin (~k2gremlin@51.158.116.5) (*.net *.split)
[00:41:40] *** Quits: bugsy (~nunyuhbiz@user/cosanostra) (*.net *.split)
[00:41:40] *** Quits: WhirledNet_ (~WhirledNe@167.172.226.212) (*.net *.split)
[00:41:40] *** Quits: ses1984_ (~stephanst@128.27.196.35.bc.googleusercontent.com) (*.net *.split)
[00:41:40] *** Quits: gurki (~gurki@user/gurki) (*.net *.split)
[00:41:40] *** Quits: cluelessperson (~cluelessp@user/cluelessperson) (*.net *.split)
[00:41:40] *** Quits: makara1 (~makara@196.214.171.83) (*.net *.split)
[00:41:40] *** Quits: tp (~tp@unreal.dk) (*.net *.split)
[00:41:40] *** Quits: deetwelve (~deetwelve@user/deetwelve) (*.net *.split)
[00:41:40] *** Quits: beanzilla (~beanzilla@user/beanzilla) (*.net *.split)
[00:41:40] *** Quits: _var (~kdy@kiana.kdy.ch) (*.net *.split)
