[00:05:20] *** Joins: ssiyad (~ssiyad@user/ssiyad)
[00:12:21] *** Quits: th3voic3 (th3voic3@user/th3voic3) (Quit: ZNC 1.8.2 - https://znc.in)
[00:12:33] *** Joins: th3voic3 (th3voic3@user/th3voic3)
[00:21:17] *** Joins: ff0x_ (~f0xy@gateway/tor-sasl/ff0x)
[00:21:42] *** Quits: ff0x (~f0xy@gateway/tor-sasl/ff0x) (Ping timeout: 276 seconds)
[00:21:42] *** ff0x_ is now known as ff0x
[00:30:06] *** Quits: blaub (~blaub@194-208-201-025.tele.net) (Quit: WeeChat 3.4)
[00:41:35] *** Quits: jtgd (~jtgd@user/jtgd) (*.net *.split)
[00:41:35] *** Quits: xenrox (~xenrox@user/xenrox) (*.net *.split)
[00:41:35] *** Quits: nimaje (~nimaje@bureaucracy.bureaucracy.de) (*.net *.split)
[00:41:35] *** Quits: topcat001 (~topcat001@user/topcat001) (*.net *.split)
[00:41:35] *** Quits: donoban (~user@178.237.224.200) (*.net *.split)
[00:41:35] *** Quits: abff (~abff@user/abff) (*.net *.split)
[00:41:35] *** Quits: lambda (~weechat@cyka.blyat.vodka) (*.net *.split)
[00:41:36] *** Quits: k0ta (3da8335bb9@2604:bf00:561:2000::10a) (*.net *.split)
[00:41:36] *** Quits: mrmanner (29a724a13e@user/mrmanner) (*.net *.split)
[00:41:36] *** Quits: inwit (c18cc2ab56@2604:bf00:561:2000::298) (*.net *.split)
[00:41:36] *** Quits: patwid (3da977342f@user/patwid) (*.net *.split)
[00:41:36] *** Quits: Hummer12007 (061e0434dc@2604:bf00:561:2000::16) (*.net *.split)
[00:41:36] *** Quits: johnhamelink (3ae947b049@2604:bf00:561:2000::1b) (*.net *.split)
[00:41:36] *** Quits: sharktamer (9bafe1e1bb@2604:bf00:561:2000::17) (*.net *.split)
[00:41:36] *** Quits: ludovicchabant (sid19316@id-19316.hampstead.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: ionen (~ev@gentoo/developer/ionen) (*.net *.split)
[00:41:36] *** Quits: aml (~antoon_i@h-85-24-213-163.A392.priv.bahnhof.se) (*.net *.split)
[00:41:36] *** Quits: Dieterbe (~Dieterbe@user/dieterbe) (*.net *.split)
[00:41:36] *** Quits: ewpt3ch1 (~ewpt3ch@198.211.104.231) (*.net *.split)
[00:41:36] *** Quits: jenkins (~jenkins@user/jenkins) (*.net *.split)
[00:41:36] *** Quits: ssiyad (~ssiyad@user/ssiyad) (*.net *.split)
[00:41:37] *** Quits: Foxboron (~fox@archlinux/trusteduser/Foxboron) (*.net *.split)
[00:41:37] *** Quits: fiete (~fiete@static.151.122.203.116.clients.your-server.de) (*.net *.split)
[00:41:37] *** Quits: Jan-PieterBaert (~Jan-Piete@user/jan-pieterbaert) (*.net *.split)
[00:41:37] *** Quits: Misthios (~Misthios@23.94.219.191) (*.net *.split)
[00:41:37] *** Quits: nixi_ (~nixi@ucitelonline.pedf.cuni.cz) (*.net *.split)
[00:41:37] *** Quits: chunky (~chunky@i.dont.know.how.com.puters.work) (*.net *.split)
[00:41:37] *** Quits: rahuljha (rahuljha@gateway02.insomnia247.nl) (*.net *.split)
[00:41:37] *** Quits: dislabled (~dislabled@115.229.164.82.customer.cdi.no) (*.net *.split)
[00:41:37] *** Quits: eggbean (~eggbean@user/eggbean) (*.net *.split)
[00:41:37] *** Quits: calcmandan (~quassel@user/calcmandan) (*.net *.split)
[00:41:37] *** Quits: borsin (~rs@user/rs) (*.net *.split)
[00:41:37] *** Quits: scisssssssors_ (~scissssss@92.255.176.187) (*.net *.split)
[00:41:37] *** Quits: twouters (~twoutersm@miami.tcpdump.be) (*.net *.split)
[00:41:37] *** Quits: Ram-Z (Ram-Z@2a01:7e01::f03c:91ff:fe57:d2df) (*.net *.split)
[00:41:37] *** Quits: Nickli (~IRC-daemo@user/nickli) (*.net *.split)
[00:41:37] *** Quits: ff0x (~f0xy@gateway/tor-sasl/ff0x) (*.net *.split)
[00:41:37] *** Quits: jnphilipp (~jnphilipp@gateway/tor-sasl/jnphilipp) (*.net *.split)
[00:41:37] *** Quits: mys (~mys@gateway/tor-sasl/mys) (*.net *.split)
[00:41:37] *** Quits: mornfall (~mornfall@user/mornfall) (*.net *.split)
[00:41:37] *** Quits: nyctea (~weechat@user/ninewise) (*.net *.split)
[00:41:37] *** Quits: califax (~califax@user/califx) (*.net *.split)
[00:41:37] *** Quits: mord0d (~mord0d@gateway/tor-sasl/mord0d) (*.net *.split)
[00:41:37] *** Quits: thorsten` (~thorsten@ananke.uberspace.de) (*.net *.split)
[00:41:37] *** Quits: arkurious (~arkurious@user/arkurious) (*.net *.split)
[00:41:37] *** Quits: Ingvix (~Ingvix@user/ingvix) (*.net *.split)
[00:41:37] *** Quits: guido (~weechat@host-82-59-230-189.retail.telecomitalia.it) (*.net *.split)
[00:41:37] *** Quits: jasonwryan (jasonwryan@surfraw/jasonwryan) (*.net *.split)
[00:41:37] *** Quits: ectospasm (~ectospasm@user/ectospasm) (*.net *.split)
[00:41:38] *** Quits: moats (~oats@user/oats) (*.net *.split)
[00:41:38] *** Quits: hamblingreen[m] (~hamblingr@2001:470:69fc:105::efdd) (*.net *.split)
[00:41:38] *** Quits: Guest5748 (~pedromjma@2001:470:69fc:105::895) (*.net *.split)
[00:41:38] *** Quits: wildefyr (~fyr@2a00:23c5:c183:c301:127b:44ff:fe95:1e71) (*.net *.split)
[00:41:38] *** Quits: keir_ (~keir@user/keir) (*.net *.split)
[00:41:38] *** Quits: Aelius (~Aelius@user/aelius) (*.net *.split)
[00:41:38] *** Quits: quitman (~quitman@217.114.215.132) (*.net *.split)
[00:41:38] *** Quits: DTE_ (~DTE@nat-pool-fab-t.redhat.com) (*.net *.split)
[00:41:38] *** Quits: amoros (~irc@user/amoros) (*.net *.split)
[00:41:38] *** Quits: slimefoot (~ayekat@user/ayekat) (*.net *.split)
[00:41:38] *** Quits: arza (arza@arza.us) (*.net *.split)
[00:41:39] *** Quits: shadow53 (~shadow53m@2001:470:69fc:105::1:258a) (*.net *.split)
[00:41:39] *** Quits: jcromero[m] (~jcromero@2001:470:69fc:105::68b0) (*.net *.split)
[00:41:39] *** Quits: fly[m] (~flyasragr@2001:470:69fc:105::301c) (*.net *.split)
[00:41:39] *** Quits: marcdeop[m] (~marcdeopm@2001:470:69fc:105::573) (*.net *.split)
[00:41:39] *** Quits: lpv[m] (~lpv@2001:470:69fc:105::1:2305) (*.net *.split)
[00:41:39] *** Quits: cnmne[m] (~cnmnematr@2001:470:69fc:105::1:1c1f) (*.net *.split)
[00:41:39] *** Quits: tinywrkb (~tinywrkb@2001:470:69fc:105::771) (*.net *.split)
[00:41:39] *** Quits: M9d0cd7d2[m] (~M9d0cd7d2@2001:470:69fc:105::1:1609) (*.net *.split)
[00:41:39] *** Quits: jomat (~jomat@2001:470:69fc:105::21) (*.net *.split)
[00:41:39] *** Quits: calciumdeficient (~anukulmoz@2001:470:69fc:105::ba0f) (*.net *.split)
[00:41:39] *** Quits: gxldstein[m] (~gxldstein@2001:470:69fc:105::2dfd) (*.net *.split)
[00:41:39] *** Quits: Namigator (~nami@user/namigator) (*.net *.split)
[00:41:39] *** Quits: low-key (~low-key@2400:6180:0:d1::6fb:1) (*.net *.split)
[00:41:39] *** Quits: noex (~null@user/noex) (*.net *.split)
[00:41:39] *** Quits: zChris (~zChris@user/zchris) (*.net *.split)
[00:41:39] *** Quits: amosbird (~amosbird@13.75.119.182) (*.net *.split)
[00:41:40] *** Quits: kylie (~somasis@lacan.somas.is) (*.net *.split)
[00:41:40] *** Quits: copy (~copy@2604:a880:800:10::1e0a:8001) (*.net *.split)
[00:41:40] *** Quits: nemanjan00 (~nemanjan0@user/nemanjan00) (*.net *.split)
[00:41:40] *** Quits: alpha_Aquilae (~ircII@user/alpha-aquilae/x-1057823) (*.net *.split)
[00:41:40] *** Quits: beenao (~beenao@user/beenao) (*.net *.split)
[00:41:40] *** Quits: samhza (~sam@samhza.com) (*.net *.split)
[00:41:40] *** Quits: tent4053 (~tent405@107-214-50-180.lightspeed.bcvloh.sbcglobal.net) (*.net *.split)
[00:41:40] *** Quits: rieper (~riepernet@sxbeta1.geo.uni-leipzig.de) (*.net *.split)
[00:41:40] *** Quits: vanvik (~vanvik@78.156.12.223) (*.net *.split)
[00:41:40] *** Quits: taeaad (~taeaad@user/taeaad) (*.net *.split)
[00:41:40] *** Quits: emanuele6 (~emanuele6@user/emanuele6) (*.net *.split)
[00:41:40] *** Quits: harrow (~harrow@static.38.6.217.95.clients.your-server.de) (*.net *.split)
[00:41:40] *** Quits: The-Compiler (~compiler@the-compiler.org) (*.net *.split)
[00:41:40] *** Quits: vilhalmer (~vilhalmer@c-68-34-50-117.hsd1.mi.comcast.net) (*.net *.split)
[00:41:40] *** Quits: qwerdy (~qwerdy@user/qwerdy) (*.net *.split)
[00:41:40] *** Quits: dober (~dober@sourcehut/user/dober) (*.net *.split)
[00:41:40] *** Quits: smashgrab (~smashgrab@bare.metal.computer) (*.net *.split)
[00:41:41] *** Quits: Haudegen (~quassel@178.115.237.87.static.drei.at) (*.net *.split)
[00:41:41] *** Quits: bdju (~bard@user/bdju) (*.net *.split)
[00:41:41] *** Quits: chvp (~chvp@2001:470:69fc:105::d9) (*.net *.split)
[00:41:41] *** Quits: natris1979[m] (~natris197@2001:470:69fc:105::1:350d) (*.net *.split)
[00:41:41] *** Quits: tenshi (~red@user/tenshi) (*.net *.split)
[00:41:41] *** Quits: mmk2410 (~mmk2410@user/mmk2410) (*.net *.split)
[00:41:41] *** Quits: isene (~geir@128.199.49.139) (*.net *.split)
[00:41:41] *** Quits: Jmtrix (~qed@user/jmtrix) (*.net *.split)
[00:41:42] *** Quits: dotlambda (~dotlambda@mail.schuetz-co.de) (*.net *.split)
[00:41:42] *** Quits: tuxifreund (tuxifreund@ubuntuusers/wikiteam/tuxifreund) (*.net *.split)
[00:41:42] *** Quits: th3voic3 (th3voic3@user/th3voic3) (*.net *.split)
[00:41:42] *** Quits: barbarossa93 (~barbaross@c-73-39-107-44.hsd1.md.comcast.net) (*.net *.split)
[00:41:42] *** Quits: choucavalier (~choucaval@peanutbuttervibes.com) (*.net *.split)
[00:41:42] *** Quits: RDuX (~dens@user/rdux) (*.net *.split)
[00:41:42] *** Quits: ccx (~ccx@82.142.125.46) (*.net *.split)
[00:41:42] *** Quits: glacambre[m] (~glacambre@2001:470:69fc:105::1f5) (*.net *.split)
[00:41:42] *** Quits: tiosgz` (~tiosgz@2001:470:69fc:105::e5ff) (*.net *.split)
[00:41:43] *** Quits: ecs (~ecs@user/ecs) (*.net *.split)
[00:41:43] *** Quits: Earnestly (~earnest@user/earnestly) (*.net *.split)
[00:41:43] *** Quits: konubinix (~konubinix@131-199-28-81.ftth.cust.kwaoo.net) (*.net *.split)
[00:41:43] *** Quits: XeR (~xer@xer.fr) (*.net *.split)
[00:41:43] *** Quits: krobelus (~johannes@88.198.188.18) (*.net *.split)
[00:41:43] *** Quits: lmi (~mama@user/filko) (*.net *.split)
[00:41:43] *** Quits: anunna (~lahmu@aruru.lilitusec.net) (*.net *.split)
[00:41:43] *** Quits: crater2160 (~crater215@qwertyuiop.de) (*.net *.split)
[00:41:43] *** Quits: toofar (~tuwtle@user/toofar) (*.net *.split)
[00:41:43] *** Quits: alscx (~alscx@user/alscx) (*.net *.split)
[00:41:43] *** Quits: gardouille (~gardouill@ks10.101010.fr) (*.net *.split)
[00:41:43] *** Quits: llyyr (~llyyr@51.159.35.138) (*.net *.split)
[00:41:43] *** Quits: gknux (~gknux@user/galaxy-knuckles/x-3015990) (*.net *.split)
[00:41:43] *** Quits: dummys_ (~dummys@gaia.fapperz.org) (*.net *.split)
[00:41:43] *** Quits: elshize (elshize@gateway/vpn/protonvpn/elshize) (*.net *.split)
[00:41:43] *** Quits: mbrgm (~weechat@user/mbrgm) (*.net *.split)
[00:41:43] *** Quits: philipp[m] (~philippxn@2001:470:69fc:105::dee) (*.net *.split)
[00:41:43] *** Quits: JohannesWegener[ (~hpfmnmatr@2001:470:69fc:105::1:24fc) (*.net *.split)
[00:41:44] *** Quits: blackbeard (~barbanegr@2001:470:69fc:105::38c4) (*.net *.split)
[00:41:44] *** Quits: Notkea (~pacien@2001:470:69fc:105::f12) (*.net *.split)
[00:41:44] *** Quits: famubu[m] (~famubumat@2001:470:69fc:105::1081) (*.net *.split)
[00:41:44] *** Quits: PolGZ[m] (~polgzmatr@2001:470:69fc:105::1:5509) (*.net *.split)
[00:41:44] *** Quits: ura43[m] (~ura43halo@2001:470:69fc:105::1:5177) (*.net *.split)
[00:41:44] *** Quits: demure (demure@demu.red) (*.net *.split)
[00:41:44] *** Quits: pas12 (~quassel@tmo-110-208.customers.d1-online.com) (*.net *.split)
[00:41:44] *** Quits: hak (~hak@user/hak) (*.net *.split)
[00:41:44] *** Quits: birkoff (birkoff@user/birkoff) (*.net *.split)
[00:41:44] *** Quits: foxxx0 (~foxxx0@archlinux/trusteduser/foxxx0) (*.net *.split)
[00:41:44] *** Quits: i97henka2 (~i97henka@209.97.133.143) (*.net *.split)
[00:41:44] *** Quits: zeromind (~zeromind@a.eroforce.one) (*.net *.split)
[00:41:45] *** Quits: kuhilas (~kuhilas@2001:470:69fc:105::3040) (*.net *.split)
[00:41:45] *** Quits: evidlo (~evidlo@2001:470:69fc:105::7fc) (*.net *.split)
[00:41:45] *** Quits: rnhmjoj (~rnhmjoj@2001:470:69fc:105::3452) (*.net *.split)
[00:41:45] *** Quits: systeem[m] (~systeemch@2001:470:69fc:105::6263) (*.net *.split)
[00:41:45] *** Quits: Ferus (~anonymous@user/ferus) (*.net *.split)
[00:41:45] *** Quits: lisq (~quassel@lis.moe) (*.net *.split)
[00:41:45] *** Quits: dunj3 (~dunj3@kingdread.de) (*.net *.split)
[00:41:45] *** Quits: itok (sid418430@id-418430.ilkley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: Hakuchi (hakuchi@user/hakuchi) (*.net *.split)
[00:41:46] *** Quits: lanodan (~lanodan@2a01:e0a:d6:9930::35) (*.net *.split)
[00:41:46] *** Quits: mparillo (mparillo@platna.kde.org) (*.net *.split)
[00:44:11] *** Joins: avakand (~avakand@static.164.226.201.195.clients.your-server.de)
[00:44:11] *** Joins: cnsvc- (~cnsvc@li541-179.members.linode.com)
[00:44:11] *** Joins: hvxgr (~wl2v_usrn@epjdn.zq3q.org)
[00:44:11] *** Joins: pylbrecht_ (~pylbrecht@5.189.144.194)
[00:44:11] *** Joins: pbnoxious (~pbnoxious@free.blinkenshell.org)
[00:44:11] *** Joins: baiguai (~baiguai@c-73-181-176-71.hsd1.wa.comcast.net)
[00:44:11] *** Joins: ThinkT510 (~auronanda@user/thinkt510)
[00:44:11] *** Joins: reset (~reset@user/reset)
[00:44:11] *** Joins: futune (~futune@95.82.134.233)
[00:44:11] *** Joins: ml (~ml@visu.li)
[00:44:11] *** Joins: dsv (~dsv@dver.se)
[00:44:11] *** Joins: iggy (~iggy@23-114-170-204.lightspeed.irvnca.sbcglobal.net)
[00:44:11] *** Joins: lamarpavel (~Lamar@ipbcc0ea64.dynamic.kabel-deutschland.de)
[00:44:11] *** Joins: arza (arza@arza.us)
[00:44:11] *** Joins: slimefoot (~ayekat@user/ayekat)
[00:44:11] *** Joins: amoros (~irc@user/amoros)
[00:44:11] *** Joins: DTE_ (~DTE@nat-pool-fab-t.redhat.com)
[00:44:11] *** Joins: quitman (~quitman@217.114.215.132)
[00:44:11] *** Joins: Aelius (~Aelius@user/aelius)
[00:44:11] *** Joins: keir_ (~keir@user/keir)
[00:44:11] *** Joins: wildefyr (~fyr@2a00:23c5:c183:c301:127b:44ff:fe95:1e71)
[00:44:11] *** Joins: Guest5748 (~pedromjma@2001:470:69fc:105::895)
[00:44:11] *** Joins: hamblingreen[m] (~hamblingr@2001:470:69fc:105::efdd)
[00:44:11] *** Joins: moats (~oats@user/oats)
[00:44:11] *** Joins: ectospasm (~ectospasm@user/ectospasm)
[00:44:11] *** Joins: jasonwryan (jasonwryan@surfraw/jasonwryan)
[00:44:11] *** Joins: guido (~weechat@host-82-59-230-189.retail.telecomitalia.it)
[00:44:11] *** Joins: Ingvix (~Ingvix@user/ingvix)
[00:44:11] *** Joins: arkurious (~arkurious@user/arkurious)
[00:44:11] *** Joins: thorsten` (~thorsten@ananke.uberspace.de)
[00:44:11] *** Joins: mparillo (mparillo@platna.kde.org)
[00:44:11] *** Joins: lanodan (~lanodan@2a01:e0a:d6:9930::35)
[00:44:11] *** Joins: Hakuchi (hakuchi@user/hakuchi)
[00:44:11] *** Joins: itok (sid418430@id-418430.ilkley.irccloud.com)
[00:44:11] *** Joins: dunj3 (~dunj3@kingdread.de)
[00:44:11] *** Joins: lisq (~quassel@lis.moe)
[00:44:11] *** Joins: Ferus (~anonymous@user/ferus)
[00:44:11] *** Joins: systeem[m] (~systeemch@2001:470:69fc:105::6263)
[00:44:11] *** Joins: rnhmjoj (~rnhmjoj@2001:470:69fc:105::3452)
[00:44:11] *** Joins: kuhilas (~kuhilas@2001:470:69fc:105::3040)
[00:44:11] *** Joins: evidlo (~evidlo@2001:470:69fc:105::7fc)
[00:44:11] *** Joins: ktprograms (~ktprogram@14.192.221.217)
[00:44:11] *** Joins: tuxifreund (tuxifreund@ubuntuusers/wikiteam/tuxifreund)
[00:44:11] *** Joins: dotlambda (~dotlambda@mail.schuetz-co.de)
[00:44:11] *** Joins: Jmtrix (~qed@user/jmtrix)
[00:44:11] *** Joins: isene (~geir@128.199.49.139)
[00:44:11] *** Joins: mmk2410 (~mmk2410@user/mmk2410)
[00:44:11] *** Joins: tenshi (~red@user/tenshi)
[00:44:11] *** Joins: natris1979[m] (~natris197@2001:470:69fc:105::1:350d)
[00:44:11] *** Joins: chvp (~chvp@2001:470:69fc:105::d9)
[00:44:11] *** Joins: bdju (~bard@user/bdju)
[00:44:11] *** Joins: Haudegen (~quassel@178.115.237.87.static.drei.at)
[00:44:11] *** Joins: twouters (~twoutersm@miami.tcpdump.be)
[00:44:11] *** Joins: scisssssssors_ (~scissssss@92.255.176.187)
[00:44:11] *** Joins: borsin (~rs@user/rs)
[00:44:11] *** Joins: calcmandan (~quassel@user/calcmandan)
[00:44:11] *** Joins: eggbean (~eggbean@user/eggbean)
[00:44:11] *** Joins: dislabled (~dislabled@115.229.164.82.customer.cdi.no)
[00:44:11] *** Joins: rahuljha (rahuljha@gateway02.insomnia247.nl)
[00:44:11] *** Joins: chunky (~chunky@i.dont.know.how.com.puters.work)
[00:44:11] *** Joins: nixi_ (~nixi@ucitelonline.pedf.cuni.cz)
[00:44:11] *** Joins: Misthios (~Misthios@23.94.219.191)
[00:44:11] *** Joins: Jan-PieterBaert (~Jan-Piete@user/jan-pieterbaert)
[00:44:11] *** Joins: fiete (~fiete@static.151.122.203.116.clients.your-server.de)
[00:44:11] *** Joins: Foxboron (~fox@archlinux/trusteduser/Foxboron)
[00:44:11] *** Joins: ssiyad (~ssiyad@user/ssiyad)
[00:44:11] *** Joins: zeromind (~zeromind@a.eroforce.one)
[00:44:11] *** Joins: i97henka2 (~i97henka@209.97.133.143)
[00:44:11] *** Joins: foxxx0 (~foxxx0@archlinux/trusteduser/foxxx0)
[00:44:11] *** Joins: birkoff (birkoff@user/birkoff)
[00:44:11] *** Joins: hak (~hak@user/hak)
[00:44:11] *** Joins: pas12 (~quassel@tmo-110-208.customers.d1-online.com)
[00:44:11] *** Joins: demure (demure@demu.red)
[00:44:11] *** Joins: PolGZ[m] (~polgzmatr@2001:470:69fc:105::1:5509)
[00:44:11] *** Joins: ura43[m] (~ura43halo@2001:470:69fc:105::1:5177)
[00:44:11] *** Joins: Notkea (~pacien@2001:470:69fc:105::f12)
[00:44:11] *** Joins: JohannesWegener[ (~hpfmnmatr@2001:470:69fc:105::1:24fc)
[00:44:11] *** Joins: philipp[m] (~philippxn@2001:470:69fc:105::dee)
[00:44:11] *** Joins: blackbeard (~barbanegr@2001:470:69fc:105::38c4)
[00:44:11] *** Joins: famubu[m] (~famubumat@2001:470:69fc:105::1081)
[00:44:11] *** Joins: mbrgm (~weechat@user/mbrgm)
[00:44:11] *** Joins: elshize (elshize@gateway/vpn/protonvpn/elshize)
[00:44:11] *** Joins: RDuX (~dens@user/rdux)
[00:44:11] *** Joins: choucavalier (~choucaval@peanutbuttervibes.com)
[00:44:11] *** Joins: barbarossa93 (~barbaross@c-73-39-107-44.hsd1.md.comcast.net)
[00:44:11] *** Joins: smashgrab (~smashgrab@bare.metal.computer)
[00:44:11] *** Joins: dober (~dober@sourcehut/user/dober)
[00:44:11] *** Joins: qwerdy (~qwerdy@user/qwerdy)
[00:44:11] *** Joins: vilhalmer (~vilhalmer@c-68-34-50-117.hsd1.mi.comcast.net)
[00:44:11] *** Joins: The-Compiler (~compiler@the-compiler.org)
[00:44:11] *** Joins: harrow (~harrow@static.38.6.217.95.clients.your-server.de)
[00:44:11] *** Joins: emanuele6 (~emanuele6@user/emanuele6)
[00:44:11] *** Joins: taeaad (~taeaad@user/taeaad)
[00:44:11] *** Joins: vanvik (~vanvik@78.156.12.223)
[00:44:11] *** Joins: rieper (~riepernet@sxbeta1.geo.uni-leipzig.de)
[00:44:11] *** Joins: tent4053 (~tent405@107-214-50-180.lightspeed.bcvloh.sbcglobal.net)
[00:44:11] *** Joins: samhza (~sam@samhza.com)
[00:44:11] *** Joins: beenao (~beenao@user/beenao)
[00:44:11] *** Joins: alpha_Aquilae (~ircII@user/alpha-aquilae/x-1057823)
[00:44:11] *** Joins: nemanjan00 (~nemanjan0@user/nemanjan00)
[00:44:11] *** Joins: Nickli (~IRC-daemo@user/nickli)
[00:44:30] *** Quits: kuhilas (~kuhilas@2001:470:69fc:105::3040) (Max SendQ exceeded)
[00:44:30] *** Joins: sudoforge (~sudoforge@wireguard/tunneler/sudoforge)
[00:44:30] *** Joins: anginapectoris (~anginapec@user/anginapectoris)
[00:44:30] *** Joins: brabrax (~brabrax@user/brabrax)
[00:44:30] *** Joins: elastic_dog (~elastic_d@2a01:118f:822:9c00:f583:aa51:9ad4:d4fb)
[00:44:30] *** Joins: koffeinfriedhof (~koffeinfr@ubuntuusers/moderation/koffeinfriedhof)
[00:44:30] *** Joins: jtgd (~jtgd@user/jtgd)
[00:44:30] *** Joins: xenrox (~xenrox@user/xenrox)
[00:44:30] *** Joins: nimaje (~nimaje@bureaucracy.bureaucracy.de)
[00:44:30] *** Joins: topcat001 (~topcat001@user/topcat001)
[00:44:30] *** Joins: donoban (~user@178.237.224.200)
[00:44:30] *** Joins: abff (~abff@user/abff)
[00:44:30] *** Joins: lambda (~weechat@cyka.blyat.vodka)
[00:44:30] *** Joins: patwid (3da977342f@user/patwid)
[00:44:30] *** Joins: mrmanner (29a724a13e@user/mrmanner)
[00:44:30] *** Joins: k0ta (3da8335bb9@2604:bf00:561:2000::10a)
[00:44:30] *** Joins: Hummer12007 (061e0434dc@2604:bf00:561:2000::16)
[00:44:30] *** Joins: inwit (c18cc2ab56@2604:bf00:561:2000::298)
[00:44:30] *** Joins: sharktamer (9bafe1e1bb@2604:bf00:561:2000::17)
[00:44:30] *** Joins: johnhamelink (3ae947b049@2604:bf00:561:2000::1b)
[00:44:30] *** Joins: ludovicchabant (sid19316@id-19316.hampstead.irccloud.com)
[00:44:30] *** Joins: ionen (~ev@gentoo/developer/ionen)
[00:44:30] *** Joins: aml (~antoon_i@h-85-24-213-163.A392.priv.bahnhof.se)
[00:44:30] *** Joins: Dieterbe (~Dieterbe@user/dieterbe)
[00:44:30] *** Joins: ewpt3ch1 (~ewpt3ch@198.211.104.231)
[00:44:49] *** Joins: M9d0cd7d2[m] (~M9d0cd7d2@2001:470:69fc:105::1:1609)
[00:44:49] *** Joins: jomat (~jomat@2001:470:69fc:105::21)
[00:44:49] *** Joins: cnmne[m] (~cnmnematr@2001:470:69fc:105::1:1c1f)
[00:44:49] *** Joins: shadow53 (~shadow53m@2001:470:69fc:105::1:258a)
[00:44:49] *** Joins: fly[m] (~flyasragr@2001:470:69fc:105::301c)
[00:44:49] *** Joins: marcdeop[m] (~marcdeopm@2001:470:69fc:105::573)
[00:44:49] *** Joins: jcromero[m] (~jcromero@2001:470:69fc:105::68b0)
[00:44:49] *** Joins: lpv[m] (~lpv@2001:470:69fc:105::1:2305)
[00:44:49] *** Joins: tinywrkb (~tinywrkb@2001:470:69fc:105::771)
[00:44:49] *** Joins: calciumdeficient (~anukulmoz@2001:470:69fc:105::ba0f)
[00:44:49] *** Joins: gxldstein[m] (~gxldstein@2001:470:69fc:105::2dfd)
[00:44:49] *** Joins: Namigator (~nami@user/namigator)
[00:44:49] *** Joins: low-key (~low-key@2400:6180:0:d1::6fb:1)
[00:44:49] *** Joins: noex (~null@user/noex)
[00:44:49] *** Joins: zChris (~zChris@user/zchris)
[00:44:49] *** Joins: amosbird (~amosbird@13.75.119.182)
[00:44:49] *** Joins: kylie (~somasis@lacan.somas.is)
[00:44:49] *** Joins: copy (~copy@2604:a880:800:10::1e0a:8001)
[00:44:50] *** Quits: M9d0cd7d2[m] (~M9d0cd7d2@2001:470:69fc:105::1:1609) (Max SendQ exceeded)
[00:44:56] *** Quits: shadow53 (~shadow53m@2001:470:69fc:105::1:258a) (Ping timeout: 245 seconds)
