[00:08:46] *** Joins: Codaraxis (~Codaraxis@user/codaraxis)
[00:20:51] *** Joins: Pickchea (~private@user/pickchea)
[00:22:04] *** Quits: andrzejku (~andrzejku@45-11-60-125.ip4.greenlan.pl) (Read error: Connection reset by peer)
[00:26:57] <dragestil> https://batsov.com/articles/2021/11/28/firefox-is-the-only-alternative/
[00:27:28] *** Joins: codecolla (~codecolla@176-156-213-239.abo.bbox.fr)
[00:30:07] *** Quits: orbatos_ (~orbatos@user/orbatos) (Ping timeout: 256 seconds)
[00:30:48] *** Quits: GNUmoon (~GNUmoon@gateway/tor-sasl/gnumoon) (Ping timeout: 276 seconds)
[00:31:46] *** guerby_ is now known as guerby
[00:33:52] *** Quits: saintwatermelon (~root@176.120.118.91) (Ping timeout: 264 seconds)
[00:34:39] *** Quits: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net) (Ping timeout: 256 seconds)
[01:10:16] *** Quits: Noisytoot (~noisytoot@sourcehut/user/noisytoot) (*.net *.split)
[01:10:16] *** Quits: captainepoch (~epoch@user/captainepoch) (*.net *.split)
[01:10:16] *** Quits: vitali64 (~notrealvi@2001:470:69fc:105::c1bf) (*.net *.split)
[01:10:16] *** Quits: modobasico (~modobasic@2001:470:69fc:105::1:1bc) (*.net *.split)
[01:10:16] *** Quits: cultpony (~cultpony@user/cultpony) (*.net *.split)
[01:10:16] *** Quits: la_mettrie (~rimrunner@2a01:4f9:c010:3051::1) (*.net *.split)
[01:10:16] *** Quits: jfred (quassel@libera/sponsor/jfred) (*.net *.split)
[01:10:16] *** Quits: summerisle (~eof@tty3.dev) (*.net *.split)
[01:10:16] *** Quits: lightbringer (mincer@user/lightbringer) (*.net *.split)
[01:10:16] *** Quits: afarrag (sid364198@id-364198.lymington.irccloud.com) (*.net *.split)
[01:10:16] *** Quits: ullbeking_ (sid5364@id-5364.ilkley.irccloud.com) (*.net *.split)
[01:10:16] *** Quits: Sekreta (Thunderbir@gateway/vpn/protonvpn/sekreta) (*.net *.split)
[01:10:16] *** Quits: arh (arh@gnu/fsf.member.arh) (*.net *.split)
[01:10:17] *** Quits: Meli (~meli@user/meli) (*.net *.split)
[01:10:17] *** Quits: robin (~robin@user/terpri) (*.net *.split)
[01:10:17] *** Quits: gordonfish (~gordonfis@user/gordonfish) (*.net *.split)
[01:10:17] *** Quits: Digit (~user@user/digit) (*.net *.split)
[01:10:17] *** Quits: akarle (~akarle@user/akarle) (*.net *.split)
[01:10:17] *** Quits: Cyp_ (~cyp@213.237.85.9) (*.net *.split)
[01:10:17] *** Quits: Techman (Techman@user/techman) (*.net *.split)
[01:10:17] *** Quits: donald (donald@fencepost.gnu.org) (*.net *.split)
[01:10:17] *** Quits: flagrama (sid145621@id-145621.hampstead.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: jackdk (sid373013@cssa/jackdk) (*.net *.split)
[01:10:17] *** Quits: jemurray (~jemurray@shell.jasonmurray.org) (*.net *.split)
[01:10:17] *** Quits: gratefuldev (sid1070@id-1070.helmsley.irccloud.com) (*.net *.split)
[01:10:17] *** Quits: ravish0007 (~quassel@ec2-65-0-45-121.ap-south-1.compute.amazonaws.com) (*.net *.split)
[01:10:17] *** Quits: b0b (~bob@user/b0b) (*.net *.split)
[01:10:18] *** Quits: immibis (~hexchat@62.156.144.218) (*.net *.split)
[01:10:18] *** Quits: jlc (~jlc@cpe-107-15-173-212.nc.res.rr.com) (*.net *.split)
[01:10:18] *** Quits: thib (~thib@wikimedia/Thibaut120094) (*.net *.split)
[01:10:18] *** Quits: gustaf (~gerikson@user/gerikson) (*.net *.split)
[01:10:18] *** Quits: corwin (someone@fosshost/director/corwin) (*.net *.split)
[01:10:18] *** Quits: wheeler (~josh@useirc.net) (*.net *.split)
[01:10:18] *** Quits: fcresende (~quassel@vps35015.publiccloud.com.br) (*.net *.split)
[01:10:18] *** Quits: buzel (~buzel@fsf/member/buzel) (*.net *.split)
[01:10:18] *** Quits: PantelicGR2 (~pantelicg@user/pantelicgr) (*.net *.split)
[01:10:18] *** Quits: rooty[m] (~rootysimr@2001:470:69fc:105::e58b) (*.net *.split)
[01:10:18] *** Quits: sudoman (~sudoman@fsf/staff/sudoman) (*.net *.split)
[01:10:18] *** Quits: dfgg (~dfgg@user/dfgg) (*.net *.split)
[01:10:18] *** Quits: p3n (~p3n@217.198.124.246) (*.net *.split)
[01:10:18] *** Quits: Aerith (~vaporeon@vaporeon.io) (*.net *.split)
[01:10:18] *** Quits: YoungFrog (~youngfrog@39.129-180-91.adsl-dyn.isp.belgacom.be) (*.net *.split)
[01:10:18] *** Quits: signop_ (~signop@li699-102.members.linode.com) (*.net *.split)
[01:10:18] *** Quits: goncalor_ (~goncalor@static.209.153.216.95.clients.your-server.de) (*.net *.split)
[01:10:18] *** Quits: AlbinoDrought (~AlbinoDro@fsf/member/AlbinoDrought) (*.net *.split)
[01:10:18] *** Quits: flynn (~mcbloch@user/flynn) (*.net *.split)
[01:10:19] *** Quits: iank (~iank@fsf/staff/iank) (*.net *.split)
[01:10:19] *** Quits: nun (~nun@178.115.236.156.static.drei.at) (*.net *.split)
[01:10:19] *** Quits: Mojo` (~mojo@fsf/member/mojo-) (*.net *.split)
[01:10:19] *** Quits: A_Dragon (A_D@libera/staff/dragon) (*.net *.split)
[01:10:19] *** Quits: upekkha (~Advanced@2a01:4f8:1c0c:49df::1) (*.net *.split)
[01:10:19] *** Quits: jkssodhxu[m] (~barzarian@2001:470:69fc:105::1:3a12) (*.net *.split)
[01:10:19] *** Quits: edgarvincent[m] (~edgarvinc@user/edgarvincent) (*.net *.split)
[01:10:19] *** Quits: noisytoot[m] (~noisytoot@sourcehut/user/noisytoot) (*.net *.split)
[01:10:19] *** Quits: mbakke (~mbakke@2001:470:69fc:105::4e2) (*.net *.split)
[01:10:19] *** Quits: dervist (~dervist@2001:470:69fc:105::77a7) (*.net *.split)
[01:10:19] *** Quits: M6piz7wk[m] (~M6piz7wkt@2001:470:69fc:105::1:b05) (*.net *.split)
[01:10:19] *** Quits: wolfshappen (~waff@irc.furworks.de) (*.net *.split)
[01:10:19] *** Quits: linext__ (~linext@pool-108-53-128-199.nwrknj.fios.verizon.net) (*.net *.split)
[01:10:19] *** Quits: janneke (~janneke@user/janneke) (*.net *.split)
[01:10:19] *** Quits: ricardoamaro (~ricardo@drupal/u/ricardoamaro) (*.net *.split)
[01:10:19] *** Quits: _________ (~nobody@user/noodly) (*.net *.split)
[01:10:19] *** Quits: nanotube (~nanotube@user/nanotube) (*.net *.split)
[01:10:19] *** Quits: foxtrot (~foxtrot@user/foxtrot) (*.net *.split)
[01:10:19] *** Quits: fling (~fling@user/fling) (*.net *.split)
[01:10:19] *** Quits: nurupo (~nurupo.ga@user/nurupo) (*.net *.split)
[01:10:19] *** Quits: ced117 (~ced117@april/member/ced117) (*.net *.split)
[01:10:20] *** Quits: nckx (~nckx@tobias.gr) (*.net *.split)
[01:10:20] *** Quits: DPA (~DPA@75-128-16-94.static.cable.fcom.ch) (*.net *.split)
[01:10:20] *** Quits: stetner (~stetner@stetner.org) (*.net *.split)
[01:10:20] *** Quits: TheCoffeMaker (~TheCoffeM@user/thecoffemaker) (*.net *.split)
[01:10:20] *** Quits: rdrg109 (~rdrg109@user/rdrg109) (*.net *.split)
[01:10:20] *** Quits: hedon (~hedon@user/hedon) (*.net *.split)
[01:10:20] *** Quits: lispmacs[work] (~lispmacs@fsf/member/lispmacs) (*.net *.split)
[01:10:20] *** Quits: ktx (~ktx@user/ktx) (*.net *.split)
[01:10:20] *** Quits: AlexS (~Alexander@user/alexs) (*.net *.split)
[01:10:20] *** Quits: roscoe (~orac@2604:180:1:9f7:73b1:abc1:7858:15a4) (*.net *.split)
[01:10:20] *** Quits: nparafe (~quassel@user/nparafe) (*.net *.split)
[01:10:20] *** Quits: The_Blode (~Blode@user/the-blode/x-7164444) (*.net *.split)
[01:10:20] *** Quits: gnoo (gnoo@user/gnoo) (*.net *.split)
[01:10:20] *** Quits: Gamayun (~quassel@2406:e002:6c9a:5901:1ec1:deff:fe90:86c) (*.net *.split)
[01:10:21] *** Quits: lts (~foobar@user/lts) (*.net *.split)
[01:10:21] *** Quits: layline (~layline@marsh.hcoop.net) (*.net *.split)
[01:10:21] *** Quits: mzo (mzo@thinks.life.is-a.beauty) (*.net *.split)
[01:10:21] *** Quits: leon (~znc@user/leon) (*.net *.split)
[01:10:21] *** Quits: freedomfan[m] (~freedomfa@2001:470:69fc:105::1:2a64) (*.net *.split)
[01:10:21] *** Quits: potatoxel[m] (~potatoxel@2001:470:69fc:105::f026) (*.net *.split)
[01:10:21] *** Quits: psydroid (~psydroid@user/psydroid) (*.net *.split)
[01:10:21] *** Quits: MeowcatWoofWoofF (~rosefoxma@2001:470:69fc:105::c74e) (*.net *.split)
[01:10:21] *** Quits: Kaiod (~kaiod@2001:470:69fc:105::1:1ee8) (*.net *.split)
[01:10:21] *** Quits: AndrewYu (~andrew@user/andrewyu) (*.net *.split)
[01:10:21] *** Quits: dansan (~daniel@75.81.148.51) (*.net *.split)
[01:10:21] *** Quits: metamuffin[m] (~metamuffi@2001:470:69fc:105::2221) (*.net *.split)
[01:10:21] *** Quits: ybaumy (~ybaumy@static.213.34.12.49.clients.your-server.de) (*.net *.split)
[01:10:21] *** Quits: KE0VVT (~caleb@2600:1700:da00:4330::27) (*.net *.split)
[01:10:21] *** Quits: leah (~leah@libreboot/developer/leah) (*.net *.split)
[01:10:21] *** Quits: jxself (~jxself@gnu/chief-webmaster/jxself) (*.net *.split)
[01:10:21] *** Quits: dustinm- (~dustinm@static.38.6.217.95.clients.your-server.de) (*.net *.split)
[01:10:22] *** Quits: nupilios_ (~nupilios@178-191-140-52.adsl.highway.telekom.at) (*.net *.split)
[01:10:22] *** Quits: rachelfi1h (~rachel@192.199.243.147) (*.net *.split)
[01:10:22] *** Quits: joo-_ (~joo-_@fsf/member/joo--) (*.net *.split)
[01:10:22] *** Quits: joshaspinall (~quassel@cpc104072-blbn12-2-0-cust139.10-1.cable.virginm.net) (*.net *.split)
[01:10:22] *** Quits: rocky1138 (~rocky1138@kwat.chat) (*.net *.split)
[01:10:22] *** Quits: patrick (~patrick@fsf/member/patrick) (*.net *.split)
[01:10:22] *** Quits: Peuc (~Peuc@ip-96-43-232-225.dsl.netrevolution.com) (*.net *.split)
[01:10:22] *** Quits: xloem[m] (~xloemmatr@2001:470:69fc:105::460d) (*.net *.split)
[01:10:22] *** Quits: aleko1[m] (~aleko1@2001:470:69fc:105::1:1016) (*.net *.split)
[01:10:22] *** Quits: mambang[m] (~mambang@user/mambang) (*.net *.split)
[01:10:22] *** Quits: cparker[m] (~cparker@2001:470:69fc:105::1973) (*.net *.split)
[01:10:22] *** Quits: clever (~clever@99.192.114.98) (*.net *.split)
[01:10:22] *** Quits: jorge[m] (~jorget778@2001:470:69fc:105::30f3) (*.net *.split)
[01:10:22] *** Quits: KittyOwO[m] (~wrinklehu@2001:470:69fc:105::84e) (*.net *.split)
[01:10:22] *** Quits: nomagno (~nomagno@2001:470:69fc:105::c1f0) (*.net *.split)
[01:10:22] *** Quits: kilobug (~kilobug@user/kilobug) (*.net *.split)
[01:10:22] *** Quits: BrandonArnold (~brandon@ec2-52-27-188-210.us-west-2.compute.amazonaws.com) (*.net *.split)
[01:10:22] *** Quits: jfb4 (~jfb4@178.62.2.68) (*.net *.split)
[01:10:22] *** Quits: juri_ (~juri@178.63.35.222) (*.net *.split)
[01:10:22] *** Quits: kompowiec2[x] (081eeeb8ae@xmpp.snopyta.org) (*.net *.split)
[01:10:22] *** Quits: mattyb (~matt@user/mattyb) (*.net *.split)
[01:10:22] *** Quits: NthDegree (~NthDegree@user/nthdegree) (*.net *.split)
[01:10:22] *** Quits: auri (~quassel@fsf/member/auri) (*.net *.split)
[01:10:23] *** Quits: flyingketh[m] (~flyingket@2001:470:69fc:105::dea9) (*.net *.split)
[01:10:23] *** Quits: tanto (~tanto@178.62.223.32) (*.net *.split)
[01:10:23] *** Quits: mjt (~mt@user/mt) (*.net *.split)
[01:10:23] *** Quits: les (znc@user/les) (*.net *.split)
[01:10:23] *** Quits: frumious (~frumious@user/frumious) (*.net *.split)
[01:10:23] *** Quits: akumo (akumo@stable.bnc.by.bnc4you.xyz) (*.net *.split)
[01:10:23] *** Quits: hook54321 (sid149355@user/hook54321) (*.net *.split)
[01:10:23] *** Quits: SHODAN (~shozan@78-71-215-144-no500.tbcn.telia.com) (*.net *.split)
[01:10:23] *** Quits: Pingerfowder (~Pingerfow@2404:9400:3:0:216:3eff:fee1:1151) (*.net *.split)
[01:10:23] *** Quits: joo-__ (~joo-_@fsf/member/joo--) (*.net *.split)
[01:10:23] *** Quits: avane (~avane@fsf/member/avane) (*.net *.split)
[01:10:23] *** Quits: CalimeroTeknik (~calimero@user/calimeroteknik) (*.net *.split)
[01:10:23] *** Quits: imme-emosol (~imme@user/imme-emosol) (*.net *.split)
[01:10:23] *** Quits: Zongva (~harjar@2001:464a:bacf:0:22cf:30ff:fe14:a936) (*.net *.split)
[01:10:23] *** Quits: saltrocklamp[m] (~hexology@user/hexology) (*.net *.split)
[01:10:24] *** Quits: Exa (exa@irc.moe) (*.net *.split)
[01:10:24] *** Quits: fanfare (~fanfare@2602:ffb6:4:b61d:f816:3eff:fe3a:660e) (*.net *.split)
[01:10:24] *** Quits: chiptuner (~bobby@user/chiptuner) (*.net *.split)
[01:10:24] *** Quits: enyc (~enyc@user/enyc) (*.net *.split)
[01:10:24] *** Quits: lazzurs (~lazzurs@user/lazzurs) (*.net *.split)
[01:10:24] *** Quits: shapeless (~shapeless@2a01:d0:ffff:60c8::2) (*.net *.split)
[01:10:24] *** Quits: Alicia (~A@user/alicia) (*.net *.split)
[01:10:24] *** Quits: R0b0t1`` (~sid@74-209-12-19.dsl.server.casstel.net) (*.net *.split)
[01:10:24] *** Quits: thomzane (~thomzane@fsf/staff/thomzane) (*.net *.split)
[01:10:24] *** Quits: abff (~abff@user/abff) (*.net *.split)
[01:10:25] *** Quits: PtitGNU (~ptitgnu@lore.bra.it4freedom.net) (*.net *.split)
[01:10:25] *** Quits: zizzy (sid385519@id-385519.lymington.irccloud.com) (*.net *.split)
[01:10:25] *** Quits: rektide_ (~rektide@eldergods.com) (*.net *.split)
[01:10:25] *** Quits: Solbu (solbu@94-246-16.87.3p.ntebredband.no) (*.net *.split)
[01:10:25] *** Quits: Aravinth[m] (~realaravi@2001:470:69fc:105::ffa2) (*.net *.split)
[01:10:25] *** Quits: seabass_ (~seabassfo@2001:470:69fc:105::187) (*.net *.split)
[01:10:25] *** Quits: enick_958 (~mercvrivs@2001:470:69fc:105::2ee6) (*.net *.split)
[01:10:25] *** Quits: madaka[m] (~madakamat@2001:470:69fc:105::e00d) (*.net *.split)
[01:10:25] *** Quits: M9d0cd7d2[m] (~M9d0cd7d2@2001:470:69fc:105::1:1609) (*.net *.split)
[01:10:25] *** Quits: bin (~bin@user/bin) (*.net *.split)
[01:10:25] *** Quits: cel (cel@celehner.com) (*.net *.split)
[01:10:26] *** Quits: wyre (~wyre@user/wyre) (*.net *.split)
[01:10:26] *** Quits: garjola (~garjola@user/garjola) (*.net *.split)
[01:10:26] *** Quits: hiya (~hiya@user/hiya) (*.net *.split)
[01:10:26] *** Quits: yano (~yano@ircpuzzles/staff/yano) (*.net *.split)
[01:10:26] *** Quits: dos (~dos@dosowisko.net) (*.net *.split)
[01:10:26] *** Quits: Hobbyboy (Hobbyboy@hobbyboy.co.uk) (*.net *.split)
[01:10:26] *** Quits: adduc (~adduc@24.15.97.76) (*.net *.split)
[01:10:26] *** Quits: JimL (~quassel@89-162-2-132.fiber.signal.no) (*.net *.split)
[01:10:26] *** Quits: Uzzi (~Andrea@host-85-40-99-12.business.telecomitalia.it) (*.net *.split)
[01:10:26] *** Quits: lockeanarchist (~lockeanar@user/lockeanarchist) (*.net *.split)
[01:10:26] *** Quits: djinni (~djinni@static.38.6.217.95.clients.your-server.de) (*.net *.split)
[01:10:27] *** Quits: gpotvin (~gpotvin@user/ratboy) (*.net *.split)
[01:10:27] *** Quits: mattiaoki[m] (~mattiaoki@2001:470:69fc:105::1:70b) (*.net *.split)
[01:10:27] *** Quits: notdaniel (~notdaniel@2001:470:69fc:105::55c) (*.net *.split)
[01:10:27] *** Quits: mquin (~mquin@libera/staff/mquin) (*.net *.split)
[01:10:27] *** Quits: shrysr (~shrysr@user/shrysr) (*.net *.split)
[01:10:27] *** Quits: HasanAtizaz (~hasan@user/hasanatizaz) (*.net *.split)
[01:10:27] *** Quits: avril (av@user/avril) (*.net *.split)
[01:10:27] *** Quits: CoreISP (~LvH@simplemachines/serverteam/CoreISP) (*.net *.split)
[01:10:27] *** Quits: ninex (ninex@user/ninex) (*.net *.split)
[01:10:27] *** Quits: [R] (~rs@genoce.org) (*.net *.split)
[01:10:28] *** Quits: shan (shan@cyblog/maintainer/shan) (*.net *.split)
[01:10:28] *** Quits: snoopy (~snoopy@farbauti.uberspace.de) (*.net *.split)
[01:10:28] *** Quits: noisytoot[x] (~noisytoot@sourcehut/user/noisytoot) (*.net *.split)
[01:10:28] *** Quits: jpp1 (~jpp@vps-f50ba12e.vps.ovh.net) (*.net *.split)
[01:10:28] *** Quits: klys_ (~mdasoh@show.op8.us) (*.net *.split)
[01:10:28] *** Quits: SoF (~skius@user/skius) (*.net *.split)
[01:10:28] *** Quits: z8z (~x@ac255238.ppp.asahi-net.or.jp) (*.net *.split)
[01:10:28] *** Quits: itok_ (sid418430@id-418430.ilkley.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: eamanu (sid462779@id-462779.tinside.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: openJ (sid276354@id-276354.ilkley.irccloud.com) (*.net *.split)
[01:10:29] *** Quits: hikiko (~hikiko@ppp-94-69-19-106.home.otenet.gr) (*.net *.split)
[01:10:29] *** Quits: Frogging101 (~Frogging@2600:3c03:e000:12e::f:100f) (*.net *.split)
[01:10:29] *** Quits: Neopolitan (~neopolita@2001:470:69fc:105::1:733) (*.net *.split)
[01:10:29] *** Quits: siraben (~siraben@user/siraben) (*.net *.split)
[01:10:29] *** Quits: madcap (~m4dc4pmat@2001:470:69fc:105::89c5) (*.net *.split)
[01:10:29] *** Quits: hys (~hys@fsf/member/hys) (*.net *.split)
[01:10:29] *** Quits: mikolajw (~mikolajtc@2001:470:69fc:105::3b02) (*.net *.split)
[01:10:29] *** Quits: kittyblam (~kittyblam@2401:c080:1800:4346:5400:3ff:fe2c:c8f8) (*.net *.split)
[01:10:30] *** Quits: nully (elisa@funkykitty.net) (*.net *.split)
[01:10:30] *** Quits: fatal (~0x00@user/fatal) (*.net *.split)
[01:10:30] *** Quits: DiffieHellman (~Username@user/curve25519chacha) (*.net *.split)
[01:10:30] *** Quits: d0p1_ (~d0p1@gateway/tor-sasl/d0p1) (*.net *.split)
[01:10:30] *** Quits: madage (~madage@user/madage) (*.net *.split)
[01:10:30] *** Quits: scara (~user@user/scara) (*.net *.split)
[01:10:30] *** Quits: LiaoTao (~LiaoTao@gateway/tor-sasl/liaotao) (*.net *.split)
[01:10:30] *** Quits: crabbedhaloablut (~crabbedha@user/crabbedhaloablut) (*.net *.split)
[01:10:30] *** Quits: chiselfuse (~chiselfus@user/chiselfuse) (*.net *.split)
[01:10:30] *** Quits: beaver (~beaver@user/pong) (*.net *.split)
[01:10:30] *** Quits: GNUtoo (~GNUtoo@gateway/tor-sasl/gnutoo) (*.net *.split)
[01:10:30] *** Quits: tejr (~tejr@user/tejr) (*.net *.split)
[01:14:04] *** Quits: Portugol9 (~Portugol9@user/portugol9) (Ping timeout: 264 seconds)
[01:14:18] *** Joins: chiselfuse (~chiselfus@user/chiselfuse)
[01:14:18] *** Joins: bbbbbb (~peppbel@c-73-221-241-101.hsd1.wa.comcast.net)
[01:14:18] *** Joins: vitali64 (~notrealvi@2001:470:69fc:105::c1bf)
[01:14:18] *** Joins: Announ (~announ@fsf/member/announ)
[01:14:18] *** Joins: PantelicGR2 (~pantelicg@user/pantelicgr)
[01:14:18] *** Joins: fatal (~0x00@user/fatal)
[01:14:18] *** Joins: cosimone (~user@93-47-231-139.ip115.fastwebnet.it)
[01:14:18] *** Joins: mimi89999 (cb2cbfa643@89-72-190-170.dynamic.chello.pl)
[01:14:18] *** Joins: Seirdy (~Seirdy@sourcehut/user/seirdy)
[01:14:18] *** Joins: shr2 (~shrysr@user/shrysr)
[01:14:18] *** Joins: guerby (~guerby@ip165.tetaneutral.net)
[01:14:18] *** Joins: chlvr (~chlvr@li1384-148.members.linode.com)
[01:14:18] *** Joins: wolftune (~aaron@97-120-55-127.ptld.qwest.net)
[01:14:18] *** Joins: janubo (~janubo@189.1.56.234)
[01:14:18] *** Joins: Linux_77 (~7Linux7@186.233.182.193)
[01:14:18] *** Joins: DiffieHellman (~Username@user/curve25519chacha)
[01:14:18] *** Joins: d0p1_ (~d0p1@gateway/tor-sasl/d0p1)
[01:14:18] *** Joins: chuangzhu (~chuangzhu@user/chuangzhu)
[01:14:18] *** Joins: Pixi_ (~Pixi@user/pixi)
[01:14:18] *** Joins: maknho (~maknho@user/maknho)
[01:14:18] *** Joins: iShareFreedom (~iShareFre@user/isharefreedom)
[01:14:18] *** Joins: asdflkj_sh (asdflkj@bsdforall.org)
[01:14:18] *** Joins: img (~img@user/img)
[01:14:18] *** Joins: psymin (~psymin@user/psymin)
[01:14:18] *** Joins: madage (~madage@user/madage)
[01:14:18] *** Joins: lorimer (~lorimer@user/lorimer)
[01:14:18] *** Joins: neox (8fafd43faa@user/neox)
[01:14:18] *** Joins: scara (~user@user/scara)
[01:14:18] *** Joins: Haaninjo (~anders@fsf/member/Haaninjo)
[01:14:18] *** Joins: psyxopompos (~psyxopomp@user/psyxopompos)
[01:14:18] *** Joins: LiaoTao (~LiaoTao@gateway/tor-sasl/liaotao)
[01:14:18] *** Joins: koffeinfriedhof (~koffeinfr@ubuntuusers/moderation/koffeinfriedhof)
[01:14:18] *** Joins: martums (~martums@user/martums)
[01:14:18] *** Joins: chripell (~chripell@147.80.76.34.bc.googleusercontent.com)
[01:14:18] *** Joins: azizLIGHT (~azizLIGHT@user/azizlight)
[01:14:18] *** Joins: birkoff (birkoff@user/birkoff)
[01:14:18] *** Joins: metamuffin[m] (~metamuffi@2001:470:69fc:105::2221)
[01:14:18] *** Joins: auri (~quassel@fsf/member/auri)
[01:14:18] *** Joins: rooty[m] (~rootysimr@2001:470:69fc:105::e58b)
[01:14:18] *** Joins: [R]x (~Positive@user/rx/x-1245542)
[01:14:18] *** Joins: flyingketh[m] (~flyingket@2001:470:69fc:105::dea9)
[01:14:18] *** Joins: modobasico (~modobasic@2001:470:69fc:105::1:1bc)
[01:14:18] *** Joins: tanto (~tanto@178.62.223.32)
