[00:07:26] *** Joins: roshanavand (~roshanava@p200300d47f01a3006ae26b065900f0f0.dip0.t-ipconnect.de)
[00:15:01] *** Quits: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net) (Quit: https://quassel-irc.org - Chat comfortably. Anywhere.)
[00:16:41] *** Joins: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net)
[00:17:10] *** Quits: ___nick___ (~quassel@cpc68286-cdif17-2-0-cust533.5-1.cable.virginm.net) (Client Quit)
[00:41:40] *** Quits: glider (~glider@user/glider) (*.net *.split)
[00:41:40] *** Quits: moldorcoder7 (~moldorcod@188.95.55.24) (*.net *.split)
[00:41:40] *** Quits: Vaevictu1 (~vae@user/vaevictus) (*.net *.split)
[00:41:40] *** Quits: teclator (~quassel@85.155.180.70.dyn.user.ono.com) (*.net *.split)
[00:41:40] *** Quits: geewiz (~geewiz@user/geewiz) (*.net *.split)
[00:41:40] *** Quits: Fridtjof (~fridel@thonk.9net.org) (*.net *.split)
[00:41:40] *** Quits: duds- (~duds-@user/duds) (*.net *.split)
[00:41:40] *** Quits: shokohsc (~shokohsc@lfbn-idf2-1-1472-129.w92-169.abo.wanadoo.fr) (*.net *.split)
[00:41:40] *** Quits: Byteflux (~byte@byteflux.net) (*.net *.split)
[00:41:40] *** Quits: mooff (mooff@awful.cooking) (*.net *.split)
[00:41:40] *** Quits: CalimeroTeknik (~calimero@user/calimeroteknik) (*.net *.split)
[00:41:40] *** Quits: pgib (~textual@173.38.117.89) (*.net *.split)
[00:41:40] *** Quits: FetidToot (~FetidToot@user/fetidtoot) (*.net *.split)
[00:41:40] *** Quits: dka (~code-is-a@ns3059207.ip-193-70-33.eu) (*.net *.split)
[00:41:40] *** Quits: phenom (~primus@user/phenom) (*.net *.split)
[00:41:40] *** Quits: e2 (e2@sponsored.by.bnc4you.xyz) (*.net *.split)
[00:41:40] *** Quits: gfawcett (~gfawcett@ns521973.ip-158-69-124.net) (*.net *.split)
[00:41:40] *** Quits: jhass (~jhass@about/ruby/jhass) (*.net *.split)
[00:41:40] *** Quits: dannyAAM (~dannyAAM@saru.saru.moe) (*.net *.split)
[00:41:40] *** Quits: valeness_ (~weechat@104.248.177.143) (*.net *.split)
[00:41:41] *** Quits: eldritch_ (~eldritch@user/eldritch/x-9272577) (*.net *.split)
[00:41:41] *** Quits: smp (~smp@user/smp) (*.net *.split)
[00:41:41] *** Quits: ua__ (~ua@public-gprs226401.centertel.pl) (*.net *.split)
[00:41:41] *** Quits: llua (~llua@zsh/developer/llua) (*.net *.split)
[00:41:41] *** Quits: isene (~geir@128.199.49.139) (*.net *.split)
[00:41:41] *** Quits: georgemp (~georgemp@aemon.roguemonkeys.com) (*.net *.split)
[00:41:41] *** Quits: phryk (~totallyno@user/phryk) (*.net *.split)
[00:41:41] *** Quits: drincruz (drincruz@2607:5300:203:3f52::19) (*.net *.split)
[00:41:42] *** Quits: gigamo (~gigamo@user/gigamo) (*.net *.split)
[00:41:42] *** Quits: mrus (~mrus@2001:19f0:5:1535:5400:3ff:fe7d:10ae) (*.net *.split)
[00:41:42] *** Quits: leachim6 (~leachim6@user/leachim6) (*.net *.split)
[00:41:42] *** Quits: Exa (exa@irc.moe) (*.net *.split)
[00:41:42] *** Quits: roshanavand (~roshanava@p200300d47f01a3006ae26b065900f0f0.dip0.t-ipconnect.de) (*.net *.split)
[00:41:42] *** Quits: rms2511 (~rrrrrrrrr@107-138-155-103.lightspeed.rlghnc.sbcglobal.net) (*.net *.split)
[00:41:42] *** Quits: BSaboia (~bsaboia@95.179.154.99) (*.net *.split)
[00:41:42] *** Quits: Henry151 (~bishop@user/henry151) (*.net *.split)
[00:41:42] *** Quits: dorian (~dorian@doriantaylor.com) (*.net *.split)
[00:41:42] *** Quits: peer (~null@fosshost/techops/peer) (*.net *.split)
[00:41:42] *** Quits: A_Dragon (A_D@libera/staff/dragon) (*.net *.split)
[00:41:42] *** Quits: forvelin (~quassel@static.203.213.216.95.clients.your-server.de) (*.net *.split)
[00:41:42] *** Quits: legahc (~legahc@li541-179.members.linode.com) (*.net *.split)
[00:41:42] *** Quits: seisatsu (~seisatsu@107.161.24.70) (*.net *.split)
[00:41:42] *** Quits: andrea[m] (~andreanit@2001:470:69fc:105::1:28a8) (*.net *.split)
[00:41:42] *** Quits: saltrocklamp[m] (~hexology@user/hexology) (*.net *.split)
[00:41:43] *** Quits: conjunctive (sid433686@id-433686.helmsley.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: keyvan (sid7672@id-7672.helmsley.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: mollerup (~nmollerup@customer-2a00-7660-1612-0168-cfa8-be86-5a22-ee27.ip6.gigabit.dk) (*.net *.split)
[00:41:43] *** Quits: IsoLinCHiP (~chip@user/IsoLinCHiP) (*.net *.split)
[00:41:43] *** Quits: adam12 (~adam12@about/ruby/adam12) (*.net *.split)
[00:41:43] *** Quits: gr33n7007h (~gr33n7007@user/gr33n7007h) (*.net *.split)
[00:41:43] *** Quits: ollysmith (~ollysmith@2001:8b0:ca3:50e1:1e69:7aff:fe08:2b4f) (*.net *.split)
[00:41:43] *** Quits: Hess (~arthur@user/hess) (*.net *.split)
[00:41:43] *** Quits: jidar (~jidar@yt-1300.fap.me) (*.net *.split)
[00:41:43] *** Quits: vito (sid1962@user/vito) (*.net *.split)
[00:41:43] *** Quits: jhawthorn_ (~jhawthorn@user/jhawthorn) (*.net *.split)
[00:41:43] *** Quits: entropie (~mit@ip5f59986f.dynamic.kabel-deutschland.de) (*.net *.split)
[00:41:43] *** Quits: jlindgren (~jlindgren@user/jlindgren) (*.net *.split)
[00:41:43] *** Quits: rapha (~jrs@user/rapha) (*.net *.split)
[00:41:43] *** Quits: nakilon (~nakilon@user/nakilon) (*.net *.split)
[00:41:43] *** Quits: ccooke (~ccooke@spirit.gkhs.net) (*.net *.split)
[00:41:43] *** Quits: clemens3 (~clemens@225.40.150.83.ftth.as8758.net) (*.net *.split)
[00:41:43] *** Quits: ringo__ (~ringo@157.230.117.128) (*.net *.split)
[00:41:43] *** Quits: asio (asio@109-74-7-223-static.serverhotell.net) (*.net *.split)
[00:41:43] *** Quits: sagax (~sagax_nb@user/sagax) (*.net *.split)
[00:41:43] *** Quits: wnd (wnd@extirc.katei.fi) (*.net *.split)
[00:41:43] *** Quits: jmcgnh (~jmcgnh@wikipedia/jmcgnh) (*.net *.split)
[00:41:43] *** Quits: TheBrayn (~m8769@user/elpix) (*.net *.split)
[00:41:44] *** Quits: sixecho (~sixecho@2001:470:69fc:105::32) (*.net *.split)
[00:41:44] *** Quits: Fusl (fusl@1.0.0.127.in-addr.arpa.li) (*.net *.split)
[00:41:44] *** Quits: Bounga (88434f6916@2604:bf00:561:2000::393) (*.net *.split)
[00:41:44] *** Quits: cyberbanjo (mksybr@tilde.team) (*.net *.split)
[00:41:44] *** Quits: foxxx0 (~foxxx0@archlinux/trusteduser/foxxx0) (*.net *.split)
[00:41:44] *** Quits: tv- (~tv-@user/tv-) (*.net *.split)
[00:41:44] *** Quits: balo (~balo@128.199.49.128) (*.net *.split)
[00:41:44] *** Quits: micah (~micah@debian/micah) (*.net *.split)
[00:41:44] *** Quits: cuppajoeman (sid521943@id-521943.hampstead.irccloud.com) (*.net *.split)
[00:41:44] *** Quits: newton (james@user/newton) (*.net *.split)
[00:41:44] *** Quits: con3 (~con3@143.198.53.32) (*.net *.split)
[00:41:44] *** Quits: EdwardIII (~edwardiii@user/edwardiii) (*.net *.split)
[00:41:44] *** Quits: hesco3 (~hesco@209.195.11.75) (*.net *.split)
[00:41:44] *** Quits: ur5us (~ur5us@2406:e002:6d58:d101:2b70:9bf7:d290:b791) (*.net *.split)
[00:41:45] *** Quits: slact[m] (~slact@2001:470:69fc:105::1:5ee3) (*.net *.split)
[00:41:45] *** Quits: factor (~factor@c-73-68-120-166.hsd1.ma.comcast.net) (*.net *.split)
[00:41:45] *** Quits: legit (petru@2a03:b0c0:3:f0::60:1000) (*.net *.split)
[00:41:45] *** Quits: bhaak (~bhaak@user/bhaak) (*.net *.split)
[00:41:45] *** Quits: bjonnh (~jo@mail.bjonnh.net) (*.net *.split)
[00:41:45] *** Quits: DEac- (~deac@niob.denkn.at) (*.net *.split)
[00:41:45] *** Quits: integral (sid296274@user/integral) (*.net *.split)
[00:41:45] *** Quits: Caius (~Caius@2a03:b0c0:1:d0::a8a:8001) (*.net *.split)
[00:41:45] *** Quits: Liothen (sid23291@id-23291.helmsley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: cognemo_ (~cognemo@cpe-46-164-24-121.dynamic.amis.net) (*.net *.split)
[00:41:45] *** Quits: rhe (~rhe@labyrinth.rhe.jp) (*.net *.split)
[00:41:45] *** Quits: itok (sid418430@id-418430.ilkley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: Cork (~Cork@user/cork) (*.net *.split)
[00:41:45] *** Quits: ikonia (~irc@user/ikonia) (*.net *.split)
[00:41:45] *** Quits: Nowaker (~quassel@188.116.38.80) (*.net *.split)
[00:41:46] *** Quits: markmarkmark (~mark@user/markmarkmark) (*.net *.split)
[00:41:46] *** Quits: leah2 (~leah@vuxu.org) (*.net *.split)
[00:44:07] *** Joins: _axx (~axx@static.246.43.203.116.clients.your-server.de)
[00:44:07] *** Joins: cnsvc- (~cnsvc@li541-179.members.linode.com)
[00:44:07] *** Joins: benjaminwil (~benjaminw@benjaminwil.info)
[00:44:07] *** Joins: pandabot (~pandabot@user/leftylink/bot/pandabot)
[00:44:07] *** Joins: havenwood (~havenwood@about/ruby/havenwood)
[00:44:07] *** Joins: ule (~ule@user/ule)
[00:44:07] *** Joins: eam (~eam@li155-76.members.linode.com)
[00:44:07] *** Joins: Neopolitan (~tn5421@45.76.61.24)
[00:44:07] *** Joins: mahlon (~mahlon@martini.nu)
[00:44:07] *** Joins: mmalter (~mmalter@88.126.10.237)
[00:44:07] *** Joins: justGhost (~justache@user/justache)
[00:44:07] *** Joins: reset (~reset@user/reset)
[00:44:07] *** Joins: constxd (~brad@142.167.170.88)
[00:44:07] *** Joins: axisys (~axisys@ec2-52-207-123-244.compute-1.amazonaws.com)
[00:44:07] *** Joins: infernix (~nix@spirit.infernix.net)
[00:44:07] *** Joins: seabre (~seabre@user/seabre)
[00:44:07] *** Joins: perrierjouet (~perrier-j@modemcable012.251-130-66.mc.videotron.ca)
[00:44:07] *** Joins: weaksauc_ (~textual@ip68-5-101-101.oc.oc.cox.net)
[00:44:07] *** Joins: swaggboi (~swaggboi@slackware.uk/supporter/swaggboi)
[00:44:07] *** Joins: quintasan (~quassel@quintasan.pl)
[00:44:07] *** Joins: jimeh (jimeh@matrix.bah.io)
[00:44:07] *** Joins: kaivai_ (~kaivai@user/kaivai)
[00:44:07] *** Joins: Aylat (~Aylat@user/Aylat)
[00:44:07] *** Joins: goepsilongo (~goepsilon@cpe-74-73-86-74.nyc.res.rr.com)
[00:44:07] *** Joins: fercell (~ferr@185.65.50.97)
[00:44:07] *** Joins: _ht (~quassel@231-169-21-31.ftth.glasoperator.nl)
[00:44:07] *** Joins: Sheilong (uid293653@ilkley.irccloud.com)
[00:44:07] *** Joins: josephl (sid146137@id-146137.lymington.irccloud.com)
[00:44:07] *** Joins: NightMonkey (~NightMonk@user/nightmonkey)
[00:44:07] *** Joins: belak (~belak@user/belak)
[00:44:07] *** Joins: cout_ (~cout@li941-240.members.linode.com)
[00:44:07] *** Joins: jposer (sid132110@id-132110.uxbridge.irccloud.com)
[00:44:07] *** Joins: pusewic|away__ (sid2036@id-2036.lymington.irccloud.com)
[00:44:07] *** Joins: DenKn (~deac@2001:470:69fc:105::1:5ee2)
[00:44:07] *** Joins: manveru[m]1 (~manveruma@2001:470:69fc:105::c2d7)
[00:44:07] *** Joins: coolshaurya (~coolshaur@2001:470:69fc:105::fac0)
[00:44:07] *** Joins: brw (~bas@haring.bas.sh)
[00:44:07] *** Joins: r0bby (r0bby@user/r0bby)
[00:44:07] *** Joins: nyuszika7h (nyuszika7h@lykos/dev/nyuszika7h)
[00:44:07] *** Joins: fowl (~fowlmouth@user/fowl)
[00:44:07] *** Joins: leah2 (~leah@vuxu.org)
[00:44:07] *** Joins: markmarkmark (~mark@user/markmarkmark)
[00:44:07] *** Joins: Nowaker (~quassel@188.116.38.80)
[00:44:07] *** Joins: ikonia (~irc@user/ikonia)
[00:44:07] *** Joins: Cork (~Cork@user/cork)
[00:44:07] *** Joins: itok (sid418430@id-418430.ilkley.irccloud.com)
[00:44:07] *** Joins: rhe (~rhe@labyrinth.rhe.jp)
[00:44:07] *** Joins: cognemo_ (~cognemo@cpe-46-164-24-121.dynamic.amis.net)
[00:44:07] *** Joins: Liothen (sid23291@id-23291.helmsley.irccloud.com)
[00:44:07] *** Joins: Caius (~Caius@2a03:b0c0:1:d0::a8a:8001)
[00:44:07] *** Joins: integral (sid296274@user/integral)
[00:44:07] *** Joins: DEac- (~deac@niob.denkn.at)
[00:44:07] *** Joins: bjonnh (~jo@mail.bjonnh.net)
[00:44:07] *** Joins: bhaak (~bhaak@user/bhaak)
[00:44:07] *** Joins: legit (petru@2a03:b0c0:3:f0::60:1000)
[00:44:07] *** Joins: factor (~factor@c-73-68-120-166.hsd1.ma.comcast.net)
[00:44:07] *** Joins: slact[m] (~slact@2001:470:69fc:105::1:5ee3)
[00:44:07] *** Joins: ur5us (~ur5us@2406:e002:6d58:d101:2b70:9bf7:d290:b791)
[00:44:07] *** Joins: Tempesta (~Tempesta@user/tempesta)
[00:44:07] *** Joins: Exa (exa@irc.moe)
[00:44:07] *** Joins: leachim6 (~leachim6@user/leachim6)
[00:44:07] *** Joins: mrus (~mrus@2001:19f0:5:1535:5400:3ff:fe7d:10ae)
[00:44:07] *** Joins: gigamo (~gigamo@user/gigamo)
[00:44:07] *** Joins: drincruz (drincruz@2607:5300:203:3f52::19)
[00:44:07] *** Joins: phryk (~totallyno@user/phryk)
[00:44:07] *** Joins: georgemp (~georgemp@aemon.roguemonkeys.com)
[00:44:07] *** Joins: isene (~geir@128.199.49.139)
[00:44:07] *** Joins: llua (~llua@zsh/developer/llua)
[00:44:07] *** Joins: ua__ (~ua@public-gprs226401.centertel.pl)
[00:44:07] *** Joins: smp (~smp@user/smp)
[00:44:07] *** Joins: eldritch_ (~eldritch@user/eldritch/x-9272577)
[00:44:07] *** Joins: fcser (~fcser@booty.farted.net)
[00:44:07] *** Joins: leftylink (~leftylink@user/leftylink)
[00:44:07] *** Joins: yosafbridge (~yosafbrid@static.38.6.217.95.clients.your-server.de)
[00:44:07] *** Joins: ox1eef (~0x1eef@user/ox1eef)
[00:44:07] *** Joins: aindilis (~aindilis@152-44-40-72.us-chi1.upcloud.host)
[00:44:07] *** Joins: HyLian_ (~meron@252.red-79-145-105.dynamicip.rima-tde.net)
[00:44:07] *** Joins: dstein64 (~dstein64@dannyadam.com)
[00:44:07] *** Joins: EdwardIII (~edwardiii@user/edwardiii)
[00:44:07] *** Joins: con3 (~con3@143.198.53.32)
[00:44:07] *** Joins: newton (james@user/newton)
[00:44:07] *** Joins: cuppajoeman (sid521943@id-521943.hampstead.irccloud.com)
[00:44:07] *** Joins: hesco3 (~hesco@209.195.11.75)
[00:44:07] *** Joins: balo (~balo@128.199.49.128)
[00:44:07] *** Joins: micah (~micah@debian/micah)
[00:44:07] *** Joins: tv- (~tv-@user/tv-)
[00:44:07] *** Joins: foxxx0 (~foxxx0@archlinux/trusteduser/foxxx0)
[00:44:07] *** Joins: cyberbanjo (mksybr@tilde.team)
[00:44:07] *** Joins: Bounga (88434f6916@2604:bf00:561:2000::393)
[00:44:07] *** Joins: Fusl (fusl@1.0.0.127.in-addr.arpa.li)
[00:44:07] *** Joins: sixecho (~sixecho@2001:470:69fc:105::32)
[00:44:07] *** Joins: TheBrayn (~m8769@user/elpix)
[00:44:07] *** Joins: wnd (wnd@extirc.katei.fi)
[00:44:07] *** Joins: sagax (~sagax_nb@user/sagax)
[00:44:07] *** Joins: legahc (~legahc@li541-179.members.linode.com)
[00:44:07] *** Joins: forvelin (~quassel@static.203.213.216.95.clients.your-server.de)
[00:44:07] *** Joins: A_Dragon (A_D@libera/staff/dragon)
[00:44:07] *** Joins: peer (~null@fosshost/techops/peer)
[00:44:07] *** Joins: dorian (~dorian@doriantaylor.com)
[00:44:07] *** Joins: Henry151 (~bishop@user/henry151)
