[00:02:01] *** Joins: Bounga (~nico@82-65-32-175.subs.proxad.net)
[00:03:29] *** Quits: yauhsien (~yauhsien@61-231-58-114.dynamic-ip.hinet.net) (Ping timeout: 256 seconds)
[00:06:55] *** Joins: andrhua (~andrhua@31.134.187.8)
[00:07:39] *** Quits: phaleth (~phaleth@user/phaleth) (Quit: phaleth)
[01:10:17] *** Quits: xcm_ (~xcm@user/xcm) (*.net *.split)
[01:10:18] *** Quits: gmc_ (sid58314@ilkley.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: stiang (sid245441@helmsley.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: termos (sid18647@helmsley.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: bitwalker (sid32334@user/bitwalker) (*.net *.split)
[01:10:18] *** Quits: bbhoss (sid18216@tinside.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: ryanwinchester (sid147626@uxbridge.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: hmans (sid565@user/hmans) (*.net *.split)
[01:10:18] *** Quits: nox (sid3872@uxbridge.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: joedevivo (sid16225@tinside.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: adamkittelson (sid82542@tinside.irccloud.com) (*.net *.split)
[01:10:18] *** Quits: etehtsea_ (~kis@164.90.175.135) (*.net *.split)
[01:10:18] *** Quits: hexology (~hexology@user/hexology) (*.net *.split)
[01:10:18] *** Quits: rovanion (~rovanion@h-46-59-13-236.A163.priv.bahnhof.se) (*.net *.split)
[01:10:18] *** Quits: LostKobrakai (~LostKobra@dia.uberspace.de) (*.net *.split)
[01:10:18] *** Quits: eirik_ (~eirik@84-52-226.93.3p.ntebredband.no) (*.net *.split)
[01:10:18] *** Quits: rduplain (~rduplain@user/rduplain) (*.net *.split)
[01:10:18] *** Quits: fjmorazan (~quassel@user/fjmorazan) (*.net *.split)
[01:10:18] *** Quits: brw (~bas@haring.bas.sh) (*.net *.split)
[01:10:18] *** Quits: xlii__ (~xlii@167.172.161.148) (*.net *.split)
[01:10:18] *** Quits: flynn (~mcbloch@user/flynn) (*.net *.split)
[01:10:18] *** Quits: sgarciapdx (~serge@irc.shork.io) (*.net *.split)
[01:10:18] *** Quits: v_ (~NULLx76@80-60-83-220.fixed.kpn.net) (*.net *.split)
[01:10:19] *** Quits: void09 (~void@revinin5minute.com) (*.net *.split)
[01:10:19] *** Quits: tcit (~tcit@2001:470:69fc:105::8f) (*.net *.split)
[01:10:19] *** Quits: arathunku[m] (~arathunku@2001:470:69fc:105::1:746) (*.net *.split)
[01:10:19] *** Quits: wolfshappen (~waff@irc.furworks.de) (*.net *.split)
[01:10:19] *** Quits: jtdowney (~jtdowney@user/jtdowney) (*.net *.split)
[01:10:19] *** Quits: GLaDER (~GLaDER@h-98-128-172-23.A785.priv.bahnhof.se) (*.net *.split)
[01:10:20] *** Quits: sickill (~sickill@user/sickill) (*.net *.split)
[01:10:20] *** Quits: TheCoffeMaker (~TheCoffeM@user/thecoffemaker) (*.net *.split)
[01:10:20] *** Quits: meredith (~meredith@ramdas.roomag.org) (*.net *.split)
[01:10:20] *** Quits: mcint (mcint@user/mcint) (*.net *.split)
[01:10:20] *** Quits: dbohdan (~dbohdan@user/dbohdan) (*.net *.split)
[01:10:20] *** Quits: marcos (~marcos@2a01:4f8:c17:e59::2) (*.net *.split)
[01:10:20] *** Quits: sheb (~sheb@31.223.228.71) (*.net *.split)
[01:10:20] *** Quits: ghenry (~ghenry@ghenry.plus.com) (*.net *.split)
[01:10:20] *** Quits: sparogy (~sparogy@2604:a880:cad:d0::648:8001) (*.net *.split)
[01:10:21] *** Quits: jpaa (~jpaa@87.118.126.66) (*.net *.split)
[01:10:21] *** Quits: kuonNicolas[m] (~kuongoyma@2001:470:69fc:105::329e) (*.net *.split)
[01:10:21] *** Quits: me[m] (~metmtrxmi@2001:470:69fc:105::8cc3) (*.net *.split)
[01:10:21] *** Quits: kshlm (~kshlm@2001:470:69fc:105::b46b) (*.net *.split)
[01:10:21] *** Quits: whk (~whk@ec2-13-244-150-184.af-south-1.compute.amazonaws.com) (*.net *.split)
[01:10:21] *** Quits: lagash (lagash@lagash.shelltalk.net) (*.net *.split)
[01:10:22] *** Quits: Bretzky (~Bretzky@167.99.239.126) (*.net *.split)
[01:10:22] *** Quits: sa (sid1055@id-1055.tinside.irccloud.com) (*.net *.split)
[01:10:22] *** Quits: josevalim (sid250896@id-250896.hampstead.irccloud.com) (*.net *.split)
[01:10:22] *** Quits: benwilson512 (sid71699@id-71699.ilkley.irccloud.com) (*.net *.split)
[01:10:22] *** Quits: kawen (~quassel@static.208.191.216.95.clients.your-server.de) (*.net *.split)
[01:10:22] *** Quits: mathsaey (~mathsaey@user/mathsaey) (*.net *.split)
[01:10:22] *** Quits: Soup[m] (~rktjmpmat@2001:470:69fc:105::cdeb) (*.net *.split)
[01:10:22] *** Quits: uhoreg (~uhoreg@2001:470:69fc:105::35f) (*.net *.split)
[01:10:22] *** Quits: reda_ (~reda@user/reda) (*.net *.split)
[01:10:22] *** Quits: tomku (~tomku@user/tomku) (*.net *.split)
[01:10:22] *** Quits: havenwood (~havenwood@about/ruby/havenwood) (*.net *.split)
[01:10:22] *** Quits: dequbed (~dequbed@yanduxian.paranoidlabs.org) (*.net *.split)
[01:10:22] *** Quits: djanatyn (~djanatyn@vps-7f49a6b0.vps.ovh.ca) (*.net *.split)
[01:10:22] *** Quits: ajb (~ajb@cupid.whatbox.ca) (*.net *.split)
[01:10:22] *** Quits: malware (~malware@ec2-52-91-134-43.compute-1.amazonaws.com) (*.net *.split)
[01:10:23] *** Quits: aidalgol (~aidalgol@user/aidalgol) (*.net *.split)
[01:10:23] *** Quits: kpanic (~kpanic@user/kpanic) (*.net *.split)
[01:10:23] *** Quits: _axx (~axx@static.246.43.203.116.clients.your-server.de) (*.net *.split)
[01:10:24] *** Quits: IslandUsurper[m] (~lylemente@2001:470:69fc:105::40f8) (*.net *.split)
[01:10:24] *** Quits: wehlutyk[m] (~sleauchat@2001:470:69fc:105::2f16) (*.net *.split)
[01:10:24] *** Quits: Exa (exa@irc.moe) (*.net *.split)
[01:10:24] *** Quits: Seaduck (~seaduck@2001:19f0:5:d68:5400:ff:fe75:209e) (*.net *.split)
[01:10:24] *** Quits: bailon (~gizzard@saturn.whatbox.ca) (*.net *.split)
[01:10:24] *** Quits: kawzeg (kawzeg@2a01:7e01::f03c:92ff:fee2:ec34) (*.net *.split)
[01:10:24] *** Quits: kenichi (~kenichi@nakamura.io) (*.net *.split)
[01:10:24] *** Quits: sinni800 (~quassel@2a00:1ca8:ae::b0) (*.net *.split)
[01:10:24] *** Quits: krjst (~krjst@2604:a880:800:c1::16b:8001) (*.net *.split)
[01:10:24] *** Quits: rkleef (rolfscribb@pegasus.vankleef.me) (*.net *.split)
[01:10:24] *** Quits: PatrikStenmark[m (~patrikste@2001:470:69fc:105::bfa1) (*.net *.split)
[01:10:25] *** Quits: v0idpwn (sid483136@id-483136.helmsley.irccloud.com) (*.net *.split)
[01:10:25] *** Quits: Nicd (sid11783@user/nicd) (*.net *.split)
[01:10:25] *** Quits: wojtekmach (sid183574@id-183574.lymington.irccloud.com) (*.net *.split)
[01:10:25] *** Quits: josephl (sid146137@id-146137.lymington.irccloud.com) (*.net *.split)
[01:10:25] *** Quits: andersju1 (~andersju@fnord.unix.se) (*.net *.split)
[01:10:25] *** Quits: bodgix (~bodgix@vps-ae17da44.vps.ovh.net) (*.net *.split)
[01:10:25] *** Quits: terrorjack (~terrorjac@2a01:4f8:1c1e:509a::1) (*.net *.split)
[01:10:25] *** Quits: punnie (~punniemat@2001:470:69fc:105::1193) (*.net *.split)
[01:10:25] *** Quits: tomku[m] (~tomkumozi@2001:470:69fc:105::1:2fcb) (*.net *.split)
[01:10:25] *** Quits: zups (~meow@2a01:4f9:c010:6036::1) (*.net *.split)
[01:10:25] *** Quits: Shados (~shados@shados.net) (*.net *.split)
[01:10:26] *** Quits: picasso (mike@potbox.pixor.net) (*.net *.split)
[01:10:26] *** Quits: Poeticode (~Poeticode@user/poeticode) (*.net *.split)
[01:10:26] *** Quits: acro (~acro@user/acro) (*.net *.split)
[01:10:26] *** Quits: Ankhers (~Ankhers@ec2-54-196-233-138.compute-1.amazonaws.com) (*.net *.split)
[01:10:26] *** Quits: kingy (~kingy__@darkpeak.org) (*.net *.split)
[01:10:26] *** Quits: serafeim (serafeim@thunix.net) (*.net *.split)
[01:10:26] *** Quits: shenghi (~shenghi@chrysocolla.mutablevoid.org) (*.net *.split)
[01:10:26] *** Quits: paak (~Peter@2a01:4f9:c010:677c::104) (*.net *.split)
[01:10:26] *** Quits: mooff (mooff@awful.cooking) (*.net *.split)
[01:10:26] *** Quits: DeX77 (~Admiral@dragonslave.de) (*.net *.split)
[01:10:27] *** Quits: drewolson (~drewolson@user/drewolson) (*.net *.split)
[01:10:27] *** Quits: sagax (~sagax_nb@user/sagax) (*.net *.split)
[01:10:27] *** Quits: Mayel[m] (~mayelmatr@2001:470:69fc:105::bf92) (*.net *.split)
[01:10:27] *** Quits: yeik-the-spik[m] (~yeik-the-@2001:470:69fc:105::6152) (*.net *.split)
[01:10:27] *** Quits: Q[m] (~master-qm@2001:470:69fc:105::1:1a45) (*.net *.split)
[01:10:27] *** Quits: Zarathu (~zarathu@li2222-85.members.linode.com) (*.net *.split)
[01:10:27] *** Quits: jstoker (~jstoker@user/jstoker) (*.net *.split)
[01:10:27] *** Quits: vhf (~victor@2607:5300:60:1083::1) (*.net *.split)
[01:10:27] *** Quits: B3k (~B3k@b3k.pl) (*.net *.split)
[01:10:27] *** Quits: ggVGc (~ggVGc@a.lowtech.earth) (*.net *.split)
[01:10:28] *** Quits: schakkis_ (~alex@dsl-hkibng11-50dcc5-242.dhcp.inet.fi) (*.net *.split)
[01:10:28] *** Quits: mrkurt (sid368284@id-368284.helmsley.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: aaronrenner (sid475276@id-475276.ilkley.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: triskite3_ (uid414920@id-414920.uxbridge.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: keyvan (sid7672@id-7672.helmsley.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: mcrumm (sid467326@id-467326.ilkley.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: Perry (~perry@coffee-break.at) (*.net *.split)
[01:10:28] *** Quits: waz0wski_ (~waz0wski@hrothgar.distortion.io) (*.net *.split)
[01:10:28] *** Quits: beise_ (~beise@85.17.52.17) (*.net *.split)
[01:10:28] *** Quits: balo_ (~balo@128.199.49.128) (*.net *.split)
[01:10:28] *** Quits: henry40408 (~henry4040@112.104.114.35) (*.net *.split)
[01:10:28] *** Quits: hwrd (sid64402@id-64402.lymington.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: FMJz_________ (sid279245@id-279245.lymington.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: heatmiser (sid112556@id-112556.tinside.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: joenoon (sid411732@id-411732.helmsley.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: bw (sid2730@user/betawaffle) (*.net *.split)
[01:10:28] *** Quits: brycek (sid153199@id-153199.ilkley.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: OliverMT (sid16701@id-16701.hampstead.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: derfj (sid19429@id-19429.tinside.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: davic (sid473656@user/davic) (*.net *.split)
[01:10:28] *** Quits: Net (sid313265@id-313265.lymington.irccloud.com) (*.net *.split)
[01:10:28] *** Quits: keisisqrl (sid501533@user/keisisqrl) (*.net *.split)
[01:10:28] *** Quits: Halcyonicstorm__ (sid174863@id-174863.helmsley.irccloud.com) (*.net *.split)
[01:10:29] *** Quits: rrix (~rrix@2620:fc:c000:0:69c1:fa22:c0c9:e2c4) (*.net *.split)
[01:10:29] *** Quits: Zaab1t (~carlbordu@2001:470:69fc:105::78e) (*.net *.split)
[01:10:29] *** Quits: ilkecan[m] (~ilkecanma@2001:470:69fc:105::1:79b) (*.net *.split)
[01:10:29] *** Quits: ouroboros (~ouroboros@user/ouroboros) (*.net *.split)
[01:10:29] *** Quits: bind3 (~bind@md-dingen.tilaa.cloud) (*.net *.split)
[01:10:29] *** Quits: MuffinPimp (~mokou@box.mokou.io) (*.net *.split)
[01:10:29] *** Quits: ebb (ebb@user/ebb) (*.net *.split)
[01:10:29] *** Quits: ds (~ds@user/ds) (*.net *.split)
[01:10:30] *** Quits: ChanServ (ChanServ@services.libera.chat) (*.net *.split)
[01:10:30] *** Quits: srfsh (~srfsh@user/srfsh) (*.net *.split)
[01:12:33] *** Quits: Caerus (~Caerus@190.113.111.43) (Client Quit)
[01:14:14] *** Joins: kvn_ (~weechat@cpc115982-dals23-2-0-cust605.20-2.cable.virginm.net)
[01:14:14] *** Joins: andrhua (~andrhua@31.134.187.8)
[01:14:14] *** Joins: cro[m] (~orcmatrix@2001:470:69fc:105::1:2f1b)
[01:14:14] *** Joins: PatrikStenmark[m (~patrikste@2001:470:69fc:105::bfa1)
[01:14:14] *** Joins: adrianhblack[m] (~adrianhbl@2001:470:69fc:105::1:30c9)
[01:14:14] *** Joins: sgn (~sgn@user/sgn)
[01:14:14] *** Joins: cursey (~cursey@user/cursey)
[01:14:14] *** Joins: srfsh (~srfsh@user/srfsh)
[01:14:14] *** Joins: ihabunek (~ihabunek@bezdomni.net)
[01:14:14] *** Joins: malware (~malware@ec2-52-91-134-43.compute-1.amazonaws.com)
[01:14:14] *** Joins: rduplain (~rduplain@user/rduplain)
[01:14:14] *** Joins: jtdowney (~jtdowney@user/jtdowney)
[01:14:14] *** Joins: GLaDER (~GLaDER@h-98-128-172-23.A785.priv.bahnhof.se)
[01:14:14] *** Joins: drincruz (drincruz@2607:5300:203:3f52::19)
[01:14:14] *** Joins: marcos (~marcos@2a01:4f8:c17:e59::2)
[01:14:14] *** Joins: esainane (esainane@antihype.space)
[01:14:14] *** Joins: azazel (~azazel@orphu.arstecnica.it)
[01:14:14] *** Joins: Tanger (~Donger@signiq.cust.bdr01.per02.wa.vocus.net.au)
[01:14:14] *** Joins: sheb (~sheb@31.223.228.71)
[01:14:14] *** Joins: val (~val@limnoria/val)
[01:14:14] *** Joins: sickill (~sickill@user/sickill)
[01:14:14] *** Joins: blambi (~blambi@c-c11e524e.011-113-67626725.bbcust.telenor.se)
[01:14:14] *** Joins: mooff (mooff@awful.cooking)
[01:14:14] *** Joins: aidalgol (~aidalgol@user/aidalgol)
[01:14:14] *** Joins: sparogy (~sparogy@2604:a880:cad:d0::648:8001)
[01:14:14] *** Joins: lagash (lagash@lagash.shelltalk.net)
[01:14:14] *** Joins: ghenry (~ghenry@ghenry.plus.com)
[01:14:14] *** Joins: voegelas (~voegelas@www.andreasvoegele.com)
[01:14:14] *** Joins: mrkurt (sid368284@id-368284.helmsley.irccloud.com)
[01:14:14] *** Joins: aaronrenner (sid475276@id-475276.ilkley.irccloud.com)
[01:14:14] *** Joins: triskite3_ (uid414920@id-414920.uxbridge.irccloud.com)
[01:14:14] *** Joins: keyvan (sid7672@id-7672.helmsley.irccloud.com)
[01:14:14] *** Joins: mcrumm (sid467326@id-467326.ilkley.irccloud.com)
[01:14:14] *** Joins: sorentwo (sid39488@id-39488.tinside.irccloud.com)
[01:14:14] *** Joins: ericentin__ (sid134418@id-134418.hampstead.irccloud.com)
[01:14:14] *** Joins: ehamberg (sid18208@id-18208.hampstead.irccloud.com)
[01:14:14] *** Joins: fhunleth (sid79501@id-79501.lymington.irccloud.com)
[01:14:14] *** Joins: eproxus_____ (sid39465@id-39465.ilkley.irccloud.com)
[01:14:14] *** Joins: v0idpwn (sid483136@id-483136.helmsley.irccloud.com)
[01:14:14] *** Joins: Nicd (sid11783@user/nicd)
[01:14:14] *** Joins: wojtekmach (sid183574@id-183574.lymington.irccloud.com)
[01:14:14] *** Joins: ley_ (sid320610@id-320610.hampstead.irccloud.com)
[01:14:14] *** Joins: josephl (sid146137@id-146137.lymington.irccloud.com)
[01:14:14] *** Joins: Perry (~perry@coffee-break.at)
[01:14:14] *** Joins: andersju1 (~andersju@fnord.unix.se)
[01:14:14] *** Joins: mhmd (~mhmd@37.48.90.208)
[01:14:14] *** Joins: bodgix (~bodgix@vps-ae17da44.vps.ovh.net)
[01:14:14] *** Joins: Bretzky (~Bretzky@167.99.239.126)
[01:14:14] *** Joins: DeX77 (~Admiral@dragonslave.de)
[01:14:14] *** Joins: waz0wski_ (~waz0wski@hrothgar.distortion.io)
[01:14:14] *** Joins: fjmorazan (~quassel@user/fjmorazan)
[01:14:14] *** Joins: brw (~bas@haring.bas.sh)
[01:14:14] *** Joins: kpanic (~kpanic@user/kpanic)
[01:14:14] *** Joins: flynn (~mcbloch@user/flynn)
[01:14:14] *** Joins: xlii__ (~xlii@167.172.161.148)
[01:14:14] *** Joins: sgarciapdx (~serge@irc.shork.io)
[01:14:14] *** Joins: v_ (~NULLx76@80-60-83-220.fixed.kpn.net)
[01:14:14] *** Joins: terrorjack (~terrorjac@2a01:4f8:1c1e:509a::1)
[01:14:14] *** Joins: beise_ (~beise@85.17.52.17)
[01:14:14] *** Joins: balo_ (~balo@128.199.49.128)
[01:14:14] *** Joins: henry40408 (~henry4040@112.104.114.35)
[01:14:14] *** Joins: creature (~alex@198.98.114.33)
[01:14:14] *** Joins: drewolson (~drewolson@user/drewolson)
[01:14:14] *** Joins: rbino (~rbino@rbino.com)
[01:14:14] *** Joins: kwmiebach (sid16855@id-16855.tinside.irccloud.com)
[01:14:14] *** Joins: sa (sid1055@id-1055.tinside.irccloud.com)
[01:14:14] *** Joins: hwrd (sid64402@id-64402.lymington.irccloud.com)
[01:14:14] *** Joins: mjones (sid6844@id-6844.helmsley.irccloud.com)
[01:14:14] *** Joins: alisdair (sid7471@id-7471.ilkley.irccloud.com)
[01:14:14] *** Joins: FMJz_________ (sid279245@id-279245.lymington.irccloud.com)
[01:14:14] *** Joins: heatmiser (sid112556@id-112556.tinside.irccloud.com)
[01:14:14] *** Joins: bw (sid2730@user/betawaffle)
[01:14:14] *** Joins: joenoon (sid411732@id-411732.helmsley.irccloud.com)
[01:14:14] *** Joins: brycek (sid153199@id-153199.ilkley.irccloud.com)
[01:14:14] *** Joins: jaydoane (sid66455@id-66455.hampstead.irccloud.com)
[01:14:14] *** Joins: OliverMT (sid16701@id-16701.hampstead.irccloud.com)
[01:14:14] *** Joins: derfj (sid19429@id-19429.tinside.irccloud.com)
[01:14:14] *** Joins: keisisqrl (sid501533@user/keisisqrl)
[01:14:14] *** Joins: davic (sid473656@user/davic)
[01:14:14] *** Joins: Net (sid313265@id-313265.lymington.irccloud.com)
[01:14:14] *** Joins: josevalim (sid250896@id-250896.hampstead.irccloud.com)
[01:14:14] *** Joins: benwilson512 (sid71699@id-71699.ilkley.irccloud.com)
[01:14:14] *** Joins: asonge (sid129041@id-129041.uxbridge.irccloud.com)
[01:14:14] *** Joins: Halcyonicstorm__ (sid174863@id-174863.helmsley.irccloud.com)
[01:14:14] *** Joins: xcm_ (~xcm@user/xcm)
[01:14:14] *** Joins: kawen (~quassel@static.208.191.216.95.clients.your-server.de)
[01:14:14] *** Joins: sagax (~sagax_nb@user/sagax)
[01:14:14] *** Joins: gmc_ (sid58314@ilkley.irccloud.com)
[01:14:14] *** Joins: stiang (sid245441@helmsley.irccloud.com)
[01:14:14] *** Joins: termos (sid18647@helmsley.irccloud.com)
[01:14:14] *** Joins: bitwalker (sid32334@user/bitwalker)
[01:14:14] *** Joins: bbhoss (sid18216@tinside.irccloud.com)
[01:14:14] *** Joins: ryanwinchester (sid147626@uxbridge.irccloud.com)
[01:14:14] *** Joins: joedevivo (sid16225@tinside.irccloud.com)
[01:14:14] *** Joins: nox (sid3872@uxbridge.irccloud.com)
[01:14:14] *** Joins: hmans (sid565@user/hmans)
[01:14:14] *** Joins: adamkittelson (sid82542@tinside.irccloud.com)
[01:14:14] *** Joins: etehtsea_ (~kis@164.90.175.135)
[01:14:14] *** Joins: hexology (~hexology@user/hexology)
[01:14:14] *** Joins: rovanion (~rovanion@h-46-59-13-236.A163.priv.bahnhof.se)
[01:14:14] *** Joins: LostKobrakai (~LostKobra@dia.uberspace.de)
[01:14:14] *** Joins: void09 (~void@revinin5minute.com)
[01:14:14] *** Joins: eirik_ (~eirik@84-52-226.93.3p.ntebredband.no)
[01:14:14] *** Joins: mathsaey (~mathsaey@user/mathsaey)
[01:14:14] *** Joins: _axx (~axx@static.246.43.203.116.clients.your-server.de)
[01:14:14] *** Joins: jpaa (~jpaa@87.118.126.66)
[01:14:14] *** Joins: rrix (~rrix@2620:fc:c000:0:69c1:fa22:c0c9:e2c4)
[01:14:14] *** Joins: yeik-the-spik[m] (~yeik-the-@2001:470:69fc:105::6152)
[01:14:14] *** Joins: tcit (~tcit@2001:470:69fc:105::8f)
[01:14:14] *** Joins: Zaab1t (~carlbordu@2001:470:69fc:105::78e)
[01:14:14] *** Joins: Mayel[m] (~mayelmatr@2001:470:69fc:105::bf92)
[01:14:14] *** Joins: Soup[m] (~rktjmpmat@2001:470:69fc:105::cdeb)
[01:14:14] *** Joins: punnie (~punniemat@2001:470:69fc:105::1193)
[01:14:14] *** Joins: IslandUsurper[m] (~lylemente@2001:470:69fc:105::40f8)
[01:14:14] *** Joins: Q[m] (~master-qm@2001:470:69fc:105::1:1a45)
[01:14:14] *** Joins: ilkecan[m] (~ilkecanma@2001:470:69fc:105::1:79b)
[01:14:14] *** Joins: me[m] (~metmtrxmi@2001:470:69fc:105::8cc3)
[01:14:14] *** Joins: kuonNicolas[m] (~kuongoyma@2001:470:69fc:105::329e)
[01:14:14] *** Joins: arathunku[m] (~arathunku@2001:470:69fc:105::1:746)
[01:14:14] *** Joins: tomku[m] (~tomkumozi@2001:470:69fc:105::1:2fcb)
[01:14:14] *** Joins: uhoreg (~uhoreg@2001:470:69fc:105::35f)
[01:14:14] *** Joins: kshlm (~kshlm@2001:470:69fc:105::b46b)
[01:14:14] *** Joins: wehlutyk[m] (~sleauchat@2001:470:69fc:105::2f16)
[01:14:14] *** Joins: Zarathu (~zarathu@li2222-85.members.linode.com)
[01:14:14] *** Joins: wolfshappen (~waff@irc.furworks.de)
[01:14:14] *** Joins: TheCoffeMaker (~TheCoffeM@user/thecoffemaker)
[01:14:14] *** Joins: meredith (~meredith@ramdas.roomag.org)
[01:14:14] *** Joins: mcint (mcint@user/mcint)
[01:14:14] *** Joins: dbohdan (~dbohdan@user/dbohdan)
[01:14:14] *** Joins: ChanServ (ChanServ@services.libera.chat)
[01:14:14] *** Joins: ds (~ds@user/ds)
[01:14:14] *** Joins: ebb (ebb@user/ebb)
[01:14:14] *** Joins: schakkis_ (~alex@dsl-hkibng11-50dcc5-242.dhcp.inet.fi)
[01:14:14] *** Joins: ggVGc (~ggVGc@a.lowtech.earth)
[01:14:14] *** Joins: B3k (~B3k@b3k.pl)
[01:14:14] *** Joins: paak (~Peter@2a01:4f9:c010:677c::104)
[01:14:14] *** Joins: vhf (~victor@2607:5300:60:1083::1)
[01:14:14] *** Joins: shenghi (~shenghi@chrysocolla.mutablevoid.org)
[01:14:14] *** Joins: serafeim (serafeim@thunix.net)
[01:14:14] *** Joins: kingy (~kingy__@darkpeak.org)
[01:14:14] *** Joins: Ankhers (~Ankhers@ec2-54-196-233-138.compute-1.amazonaws.com)
[01:14:14] *** strontium.libera.chat sets mode: +o ChanServ
[01:14:14] *** Joins: acro (~acro@user/acro)
[01:14:14] *** Joins: rkleef (rolfscribb@pegasus.vankleef.me)
[01:14:14] *** Joins: Poeticode (~Poeticode@user/poeticode)
[01:14:14] *** Joins: jstoker (~jstoker@user/jstoker)
[01:14:14] *** Joins: krjst (~krjst@2604:a880:800:c1::16b:8001)
[01:14:14] *** Joins: sinni800 (~quassel@2a00:1ca8:ae::b0)
[01:14:14] *** Joins: kenichi (~kenichi@nakamura.io)
[01:14:14] *** Joins: picasso (mike@potbox.pixor.net)
