[00:00:34] *** Joins: BlackIkeEagle (~BlackIkeE@archlinux/trusteduser/blackikeeagle)
[00:03:38] *** Joins: jmdaemon (~jmdaemon@user/jmdaemon)
[00:09:41] *** Quits: jmdaemon (~jmdaemon@user/jmdaemon) (Ping timeout: 250 seconds)
[00:12:52] *** Joins: jmdaemon (~jmdaemon@user/jmdaemon)
[00:15:57] *** Joins: Pseudocrat (~sudo@user/pseudocrat)
[00:16:57] *** Joins: SchmoSeph (uid530771@tinside.irccloud.com)
[00:19:39] *** Quits: Szadek (~Szadek@185.209.196.178) (Ping timeout: 256 seconds)
[00:19:45] *** Joins: m0viefreak (~asdf@user/m0viefreak)
[00:20:33] *** Quits: Pseudocrat (~sudo@user/pseudocrat) (Ping timeout: 256 seconds)
[00:21:29] *** Joins: ssiyad (~ssiyad@user/ssiyad)
[00:21:31] *** Joins: Szadek (~Szadek@92.60.40.220)
[00:25:35] *** Quits: Hackerpcs (~user@user/hackerpcs) (Quit: Hackerpcs)
[00:41:35] *** Quits: y0sh_ (~y0sh@072-189-235-113.res.spectrum.com) (*.net *.split)
[00:41:35] *** Quits: sam113101 (~sam@modemcable229.128-202-24.mc.videotron.ca) (*.net *.split)
[00:41:35] *** Quits: weyhmueller (~weyhmuell@blofeld.nc.w9r.de) (*.net *.split)
[00:41:35] *** Quits: lazycat (~lazycat@user/lazycat) (*.net *.split)
[00:41:35] *** Quits: g5pw (~g5pw@mittelab/sudo/g5pw) (*.net *.split)
[00:41:35] *** Quits: nochi (~nochi@2a01:4f8:10b:3074::4) (*.net *.split)
[00:41:35] *** Quits: moviuro (~moviuro@znc.popho.be) (*.net *.split)
[00:41:36] *** Quits: ephemer0l (~ephemer0l@organizedmagnetism.com) (*.net *.split)
[00:41:36] *** Quits: earthbreaker (earthbreak@2600:3c03::f03c:91ff:fece:9070) (*.net *.split)
[00:41:36] *** Quits: haasn (~nand@haasn.dev) (*.net *.split)
[00:41:36] *** Quits: ueberall (ueberall_l@user/ueberall) (*.net *.split)
[00:41:36] *** Quits: grossing (~grossing@user/grossing) (*.net *.split)
[00:41:36] *** Quits: k_sze (~k_sze@mail2.kalunite.net) (*.net *.split)
[00:41:36] *** Quits: mquin (~mquin@libera/staff/mquin) (*.net *.split)
[00:41:36] *** Quits: exec64 (5ff8a84e19@2604:bf00:561:2000::f9) (*.net *.split)
[00:41:36] *** Quits: b0o (0e4a0bf4c9@2604:bf00:561:2000::1bf) (*.net *.split)
[00:41:36] *** Quits: drc (~drc@user/drc) (*.net *.split)
[00:41:36] *** Quits: lucerne (~lucerne@ip202.ip-51-178-215.eu) (*.net *.split)
[00:41:36] *** Quits: petril (~petril@user/petril) (*.net *.split)
[00:41:36] *** Quits: milkii (~milkii@2001:19f0:7401:866a:15f3:a8f4:441d:ab86) (*.net *.split)
[00:41:36] *** Quits: UndeadLeech (~UndeadLee@165.227.76.134) (*.net *.split)
[00:41:36] *** Quits: raz (~raz@user/raz) (*.net *.split)
[00:41:36] *** Quits: bunny (~bunny@user/bunny) (*.net *.split)
[00:41:36] *** Quits: kraftwerk28 (~kraftwerk@178.62.210.83) (*.net *.split)
[00:41:36] *** Quits: olspookishmagus (~pookie@snf-137798.vm.okeanos.grnet.gr) (*.net *.split)
[00:41:36] *** Quits: BlackIkeEagle (~BlackIkeE@archlinux/trusteduser/blackikeeagle) (*.net *.split)
[00:41:36] *** Quits: ssiyad (~ssiyad@user/ssiyad) (*.net *.split)
[00:41:37] *** Quits: limon (~limon@biber.verj.us) (*.net *.split)
[00:41:37] *** Quits: syscomet (~syscomet@user/syscomet) (*.net *.split)
[00:41:37] *** Quits: cjones_ (~cjones@207.34.165.164) (*.net *.split)
[00:41:37] *** Quits: teear (~teear@cbharraste.eu) (*.net *.split)
[00:41:37] *** Quits: Lyude (~lyudess@pool-96-230-100-15.bstnma.fios.verizon.net) (*.net *.split)
[00:41:37] *** Quits: ZeroKnight (zeroknight@dimensionzero.net) (*.net *.split)
[00:41:37] *** Quits: euidzero_ (~euidzero@158.101.10.150) (*.net *.split)
[00:41:37] *** Quits: InFerNo__ (~infy@64.ip-213-32-65.eu) (*.net *.split)
[00:41:37] *** Quits: RichiH (~richih@fosdem/staff/richih) (*.net *.split)
[00:41:37] *** Quits: deepy (deepy@user/deepy) (*.net *.split)
[00:41:37] *** Quits: tccki (~tccki@box.webslate.co.nz) (*.net *.split)
[00:41:37] *** Quits: \\ (~\0x5c@miaow/nonantedeux) (*.net *.split)
[00:41:37] *** Quits: Arrowmaster (~Arrowmast@user/arrowmaster) (*.net *.split)
[00:41:37] *** Quits: bim9262 (~bim9262@user/bim9262) (*.net *.split)
[00:41:37] *** Quits: chemsmith (~chemsmith@user/chemsmith) (*.net *.split)
[00:41:37] *** Quits: yosafbridge (~yosafbrid@static.38.6.217.95.clients.your-server.de) (*.net *.split)
[00:41:37] *** Quits: brocellous (~brocellou@ip68-99-242-72.ph.ph.cox.net) (*.net *.split)
[00:41:37] *** Quits: Bebef (sbreit@phobos.bebef.de) (*.net *.split)
[00:41:37] *** Quits: ndorf (~nd@ob.noxio.us) (*.net *.split)
[00:41:37] *** Quits: Szadek (~Szadek@92.60.40.220) (*.net *.split)
[00:41:37] *** Quits: m0viefreak (~asdf@user/m0viefreak) (*.net *.split)
[00:41:37] *** Quits: SchmoSeph (uid530771@tinside.irccloud.com) (*.net *.split)
[00:41:37] *** Quits: jmdaemon (~jmdaemon@user/jmdaemon) (*.net *.split)
[00:41:37] *** Quits: Ram-Z (Ram-Z@2a01:7e01::f03c:91ff:fe57:d2df) (*.net *.split)
[00:41:37] *** Quits: beastDivision (~beastDivi@user/beastdivision) (*.net *.split)
[00:41:37] *** Quits: Atque (~Atque@user/atque) (*.net *.split)
[00:41:37] *** Quits: rex4539 (~rex4539@gateway/tor-sasl/rex4539) (*.net *.split)
[00:41:37] *** Quits: _mikey (~mikey@user/mikey/x-4335048) (*.net *.split)
[00:41:37] *** Quits: Hello71 (~Hello71@wireguard/contributor/hello71) (*.net *.split)
[00:41:37] *** Quits: Ingvix (~Ingvix@user/ingvix) (*.net *.split)
[00:41:37] *** Quits: guido (~weechat@host-82-59-230-189.retail.telecomitalia.it) (*.net *.split)
[00:41:37] *** Quits: kolla (~kolla@cloudsmurf.kolla.no) (*.net *.split)
[00:41:37] *** Quits: nyuszika7h (nyuszika7h@lykos/dev/nyuszika7h) (*.net *.split)
[00:41:37] *** Quits: ectospasm (~ectospasm@user/ectospasm) (*.net *.split)
[00:41:37] *** Quits: brw (~bas@haring.bas.sh) (*.net *.split)
[00:41:38] *** Quits: ratijas (~ratijas@2001:470:69fc:105::f5e4) (*.net *.split)
[00:41:38] *** Quits: reactormonk[m] (~reactormo@2001:470:69fc:105::3c24) (*.net *.split)
[00:41:38] *** Quits: mexen (uid495612@user/mexen) (*.net *.split)
[00:41:38] *** Quits: madduck (~madduck@user/madduck) (*.net *.split)
[00:41:38] *** Quits: niyawe (~niyawe@2a01:4f8:272:3d5f:1::26) (*.net *.split)
[00:41:38] *** Quits: Techcable (~Techcable@168.235.93.147) (*.net *.split)
[00:41:38] *** Quits: rudi_s (~simon@user/rudi-s/x-7673890) (*.net *.split)
[00:41:38] *** Quits: koolazer (~koo@user/koolazer) (*.net *.split)
[00:41:38] *** Quits: henk (~henk@leonardo.netwichtig.de) (*.net *.split)
[00:41:38] *** Quits: jelly (jelly@user/jelly) (*.net *.split)
[00:41:38] *** Quits: bdeshi (~bdeshi@bdeshi.space) (*.net *.split)
[00:41:38] *** Quits: mrkajetanp (~mrkajetan@88.98.245.28) (*.net *.split)
[00:41:38] *** Quits: ntome (~ntome@user/ntome) (*.net *.split)
[00:41:38] *** Quits: Kays (Kays@user/kays) (*.net *.split)
[00:41:38] *** Quits: nickorta12 (~nickorta1@174-28-176-216.albq.qwest.net) (*.net *.split)
[00:41:38] *** Quits: d33tah (~d33tah@2a03:b0c0:3:d0::14d2:c001) (*.net *.split)
[00:41:38] *** Quits: n-st (~n-st@user/n-st) (*.net *.split)
[00:41:38] *** Quits: belak (~belak@user/belak) (*.net *.split)
[00:41:38] *** Quits: LowTax (~LowTax@arch64-iad.elecompte.info) (*.net *.split)
[00:41:38] *** Quits: simmel (simmel@auxww.ps) (*.net *.split)
[00:41:39] *** Quits: rMdes (~rmdes@my.armada.digital) (*.net *.split)
[00:41:39] *** Quits: jklfds (~jklfds@user/jklfds) (*.net *.split)
[00:41:39] *** Quits: rgh[m] (~rghfilter@2001:470:69fc:105::de5d) (*.net *.split)
[00:41:39] *** Quits: MichaelGisbers[m (~mgisbersm@2001:470:69fc:105::3896) (*.net *.split)
[00:41:39] *** Quits: gloomy (~gloomy@2001:470:69fc:105::ce00) (*.net *.split)
[00:41:39] *** Quits: M9d0cd7d2[m] (~M9d0cd7d2@2001:470:69fc:105::1:1609) (*.net *.split)
[00:41:39] *** Quits: ormaaj (~ormaaj@user/ormaaj) (*.net *.split)
[00:41:39] *** Quits: Echoz (~chris@user/echoz) (*.net *.split)
[00:41:39] *** Quits: AsenMx (~asen@user/asenmx) (*.net *.split)
[00:41:39] *** Quits: bitozoid (~bitozoid@user/bitozoid) (*.net *.split)
[00:41:39] *** Quits: Rhys (Rhys@help.lux.melted.me) (*.net *.split)
[00:41:39] *** Quits: wyre (~wyre@user/wyre) (*.net *.split)
[00:41:39] *** Quits: amosbird (~amosbird@13.75.119.182) (*.net *.split)
[00:41:39] *** Quits: hoodow (~hoodow@user/hoodow) (*.net *.split)
[00:41:39] *** Quits: Yamakaja (~yamakaja@user/yamakaja) (*.net *.split)
[00:41:40] *** Quits: bapt (~bapt@user/bapt) (*.net *.split)
[00:41:40] *** Quits: klu (~klu@user/klu) (*.net *.split)
[00:41:40] *** Quits: pb (~pb@polemon.org) (*.net *.split)
[00:41:40] *** Quits: endre (end.re@end.re) (*.net *.split)
[00:41:40] *** Quits: swimmer (~swimmer@user/swimmer) (*.net *.split)
[00:41:40] *** Quits: trace987 (~trace@ip5b42976d.dynamic.kabel-deutschland.de) (*.net *.split)
[00:41:40] *** Quits: zephros (~zephros@193.27.13.220) (*.net *.split)
[00:41:40] *** Quits: Narrat (~omnius@p2e51179b.dip0.t-ipconnect.de) (*.net *.split)
[00:41:40] *** Quits: zeden (~zeden@user/zeden) (*.net *.split)
[00:41:40] *** Quits: foul_owl (~kerry@94.140.8.105) (*.net *.split)
[00:41:40] *** Quits: dbasinge (~dbasinge@ubuntu/member/dbasinge) (*.net *.split)
[00:41:40] *** Quits: m5zs7k (aquares@web10.mydevil.net) (*.net *.split)
[00:41:40] *** Quits: PowaBanga (~PowaBanga@user/powabanga) (*.net *.split)
[00:41:40] *** Quits: beenao (~beenao@user/beenao) (*.net *.split)
[00:41:40] *** Quits: tent4053 (~tent405@107-214-50-180.lightspeed.bcvloh.sbcglobal.net) (*.net *.split)
[00:41:40] *** Quits: uuidNuniq (~weechat@222.67.14.47) (*.net *.split)
[00:41:40] *** Quits: shokohsc (~shokohsc@lfbn-idf2-1-1472-129.w92-169.abo.wanadoo.fr) (*.net *.split)
[00:41:40] *** Quits: Seirdy (~Seirdy@sourcehut/user/seirdy) (*.net *.split)
[00:41:40] *** Quits: micro (~micro@user/micro) (*.net *.split)
[00:41:40] *** Quits: Byteflux (~byte@byteflux.net) (*.net *.split)
[00:41:40] *** Quits: acovrig7 (~acovrig@host-173-247-7-127.JENOLT2.epbfi.com) (*.net *.split)
[00:41:40] *** Quits: bin101 (~bin101@user/bin101) (*.net *.split)
[00:41:40] *** Quits: ackyshake (~ackyshake@user/ackyshake) (*.net *.split)
[00:41:40] *** Quits: rektide (~rektide@eldergods.com) (*.net *.split)
[00:41:40] *** Quits: gordonfish (~gordonfis@user/gordonfish) (*.net *.split)
[00:41:40] *** Quits: w0lff (~quassel@x8d1e1e30.agdsn.tu-dresden.de) (*.net *.split)
[00:41:40] *** Quits: moon-child (~moon-chil@cardinal.elronnd.net) (*.net *.split)
[00:41:40] *** Quits: lastmikoi (~lastmikoi@vm-01.lastmikoi.net) (*.net *.split)
[00:41:40] *** Quits: blank (~info@li2021-150.members.linode.com) (*.net *.split)
[00:41:40] *** Quits: suffer (znc@mutant.penguin.fyi) (*.net *.split)
[00:41:40] *** Quits: dmaphy (~dmaphy@euve251205.serverprofi24.de) (*.net *.split)
[00:41:40] *** Quits: alip (~alip@exherbo/developer/alip) (*.net *.split)
[00:41:40] *** Quits: woky (~woky@li1651-31.members.linode.com) (*.net *.split)
[00:41:40] *** Quits: syntaxman (~wade@li227-215.members.linode.com) (*.net *.split)
[00:41:41] *** Quits: bdju (~bard@user/bdju) (*.net *.split)
[00:41:41] *** Quits: armin (~armin@unix.porn) (*.net *.split)
[00:41:41] *** Quits: SWISSMANN (~SWISSMANN@2001-4dd2-5e3c-0-df30-62d1-7594-7534.ipv6dyn.netcologne.de) (*.net *.split)
[00:41:41] *** Quits: bremner (~bremner@notmuch/developer/bremner) (*.net *.split)
[00:41:41] *** Quits: Gamma[m] (~gamma@zsh/user/Gamma) (*.net *.split)
[00:41:41] *** Quits: Psi-Jack[m] (~psi-jack@user/psi-jack) (*.net *.split)
[00:41:41] *** Quits: llua (~llua@zsh/developer/llua) (*.net *.split)
[00:41:41] *** Quits: tharkun (tharkun@kvm6.telegraphics.com.au) (*.net *.split)
[00:41:41] *** Quits: phy1729 (~phy1729@zsh/wizard/phy1729) (*.net *.split)
[00:41:41] *** Quits: dfg (dfg@user/dfg) (*.net *.split)
[00:41:41] *** Quits: Kartagis (~iegg@user/kartagis) (*.net *.split)
[00:41:41] *** Quits: s1b1 (~s1b1@user/s1b1) (*.net *.split)
[00:41:42] *** Quits: averell (~averell@user/averell) (*.net *.split)
[00:41:42] *** Quits: mrus (~mrus@2001:19f0:5:1535:5400:3ff:fe7d:10ae) (*.net *.split)
[00:41:42] *** Quits: mjgardner (sid182628@id-182628.ilkley.irccloud.com) (*.net *.split)
[00:41:42] *** Quits: ccha (~ccha@user/ccha) (*.net *.split)
[00:41:42] *** Quits: blueyed (~daniel@hahler.de) (*.net *.split)
[00:41:42] *** Quits: mitch___ (~mitch___@git.maclean.tech) (*.net *.split)
[00:41:42] *** Quits: Exa (exa@irc.moe) (*.net *.split)
[00:41:42] *** Quits: Superstars111 (~jared@li227-215.members.linode.com) (*.net *.split)
[00:41:42] *** Quits: seanBE (~seanBE@ec2-34-243-193-160.eu-west-1.compute.amazonaws.com) (*.net *.split)
[00:41:42] *** Quits: Ckat (~Ckat@xn--z7x.xn--6frz82g) (*.net *.split)
[00:41:42] *** Quits: jgn (~jgn@user/jgn) (*.net *.split)
[00:41:42] *** Quits: Hackerpcs (~user@user/hackerpcs) (*.net *.split)
[00:41:42] *** Quits: andril (~andril@c-66-229-99-96.hsd1.fl.comcast.net) (*.net *.split)
[00:41:42] *** Quits: barbarossa93 (~barbaross@c-73-39-107-44.hsd1.md.comcast.net) (*.net *.split)
[00:41:42] *** Quits: conundrum (~conundrum@159.65.74.89) (*.net *.split)
[00:41:42] *** Quits: tiresias (nemes@user/tiresias) (*.net *.split)
[00:41:42] *** Quits: henry40408 (~henry4040@175.181.155.165) (*.net *.split)
[00:41:42] *** Quits: crs (~f@91.212.33.50) (*.net *.split)
[00:41:42] *** Quits: susi (owl@huumeet.info) (*.net *.split)
[00:41:42] *** Quits: d10n_ (~d10n@user/d10n) (*.net *.split)
[00:41:42] *** Quits: LambdaComplex (~adam@wireguard/tunneler/lambdacomplex) (*.net *.split)
[00:41:42] *** Quits: A_Dragon (A_D@libera/staff/dragon) (*.net *.split)
[00:41:42] *** Quits: ccx (~ccx@82.142.125.46) (*.net *.split)
[00:41:42] *** Quits: qsx (qsx@shell.chaotikum.eu) (*.net *.split)
[00:41:42] *** Quits: glacambre[m] (~glacambre@2001:470:69fc:105::1f5) (*.net *.split)
[00:41:42] *** Quits: saltrocklamp[m] (~hexology@user/hexology) (*.net *.split)
[00:41:43] *** Quits: Delta[m] (~delta@2001:470:69fc:105::eeb) (*.net *.split)
[00:41:43] *** Quits: a_west (~a_west@2a01:4f9:c010:5c49::1) (*.net *.split)
[00:41:43] *** Quits: phyber (phyber@user/phyber) (*.net *.split)
[00:41:43] *** Quits: downtrip (~downtrip@188.166.151.198) (*.net *.split)
[00:41:43] *** Quits: redgloboli (~redglobol@user/redgloboli) (*.net *.split)
[00:41:43] *** Quits: useful_idiot (~useful_id@gateway/vpn/pia/usefulidiot/x-43226899) (*.net *.split)
[00:41:43] *** Quits: DerpGusta (~quassel@user/derpgusta) (*.net *.split)
[00:41:43] *** Quits: Celelibi (celelibi@user/celelibi) (*.net *.split)
[00:41:43] *** Quits: Hyde (~MrHyde@static.54.68.46.78.clients.your-server.de) (*.net *.split)
[00:41:43] *** Quits: nrg (~NRG@user/nrg) (*.net *.split)
[00:41:43] *** Quits: av6 (~av6@kdm.dwimlabs.net) (*.net *.split)
[00:41:43] *** Quits: ljharb (sid43720@user/ljharb) (*.net *.split)
[00:41:43] *** Quits: gdd (~gdd@129.199.146.230) (*.net *.split)
[00:41:43] *** Quits: np (~nerdypepp@user/nerdypepper) (*.net *.split)
[00:41:43] *** Quits: ih8wndz (~ih8wndz@alpha.trunkmasters.com) (*.net *.split)
[00:41:43] *** Quits: DarthGandalf (user@znc/developer/DarthGandalf) (*.net *.split)
[00:41:43] *** Quits: Bucciarati (buccia@vm.nix.is) (*.net *.split)
[00:41:43] *** Quits: chir4gm (~chirag@user/chir4gm) (*.net *.split)
[00:41:43] *** Quits: jhujhiti (~jhujhiti@user/jhujhiti) (*.net *.split)
[00:41:43] *** Quits: jp11 (~jp@87-198-216-242.ptr.magnet.ie) (*.net *.split)
[00:41:43] *** Quits: DHowett (~dustin@kaus.howett.net) (*.net *.split)
[00:41:43] *** Quits: nakedeyes (~nathan@user/nandormagyar) (*.net *.split)
[00:41:43] *** Quits: soifou (~soifou@51.68.77.7) (*.net *.split)
[00:41:43] *** Quits: supbo (~kenan@li227-215.members.linode.com) (*.net *.split)
[00:41:43] *** Quits: confuseAcat (~confuseAc@h2728883.stratoserver.net) (*.net *.split)
[00:41:43] *** Quits: ahmedelg1 (~ahmedelga@2a02-a446-d88a-1-d4a-18a5-f8f5-83a4.fixed6.kpn.net) (*.net *.split)
[00:41:43] *** Quits: nyah (~nyah@05453449.skybroadband.com) (*.net *.split)
[00:41:43] *** Quits: martin_ (nobody@188.113.85.137) (*.net *.split)
[00:41:43] *** Quits: lightbringer (mincer@user/lightbringer) (*.net *.split)
[00:41:44] *** Quits: sm1999 (~sm1999@2001:470:69fc:105::1:38c) (*.net *.split)
[00:41:44] *** Quits: Raito_Bezarius (~Raito@wireguard/tunneler/raito-bezarius) (*.net *.split)
[00:41:44] *** Quits: Riviera (Riviera@user/riviera) (*.net *.split)
[00:41:44] *** Quits: Flow (~none@gentoo/developer/flow) (*.net *.split)
[00:41:44] *** Quits: _rgn (~raine@2a01:4f9:c010:802e::1) (*.net *.split)
[00:41:44] *** Quits: hrnz (~ethical@vegan.im.it) (*.net *.split)
[00:41:44] *** Quits: thd (~user@45.76.37.129) (*.net *.split)
[00:41:44] *** Quits: WinterStar (~IceLight@user/icelight) (*.net *.split)
[00:41:44] *** Quits: Psi-Jack (psi-jack@user/psi-jack) (*.net *.split)
[00:41:44] *** Quits: birkoff (birkoff@user/birkoff) (*.net *.split)
[00:41:44] *** Quits: tureba (~tureba@tureba.org) (*.net *.split)
[00:41:44] *** Quits: LDerJim (~jim@user/LDerJim) (*.net *.split)
[00:41:44] *** Quits: preisi (~preisi@irc.prei.si) (*.net *.split)
[00:41:44] *** Quits: reda_ (~reda@user/reda) (*.net *.split)
[00:41:44] *** Quits: tomboy64 (~tomboy64@user/tomboy64) (*.net *.split)
[00:41:45] *** Quits: jmcantrell (~jmcantrel@user/jmcantrell) (*.net *.split)
[00:41:45] *** Quits: toxictrash (~toxictras@host-91-237-158-49.anfa.net.pl) (*.net *.split)
[00:41:45] *** Quits: esc (~esc@kudu.in-berlin.de) (*.net *.split)
[00:41:45] *** Quits: mynickisregister (~mynickisr@2001:1af8:4700:b0e0:fa00::) (*.net *.split)
[00:41:45] *** Quits: manio (~manio@skyboo.net) (*.net *.split)
[00:41:45] *** Quits: xcm (~xcm@user/xcm) (*.net *.split)
[00:41:45] *** Quits: prg (~prg@2001:19f0:5:9c1:1d2f:7937:5cb0:da6f) (*.net *.split)
[00:41:45] *** Quits: pinky_ (pinky@minime.fef.net) (*.net *.split)
[00:41:45] *** Quits: asmodai (~asmodai@31-151-100-72.dynamic.upc.nl) (*.net *.split)
[00:41:45] *** Quits: prime (~prime@user/prime) (*.net *.split)
[00:41:45] *** Quits: Freeaqingme_ (~quassel@213.227.151.10) (*.net *.split)
[00:41:45] *** Quits: roolebo (sid64806@id-64806.ilkley.irccloud.com) (*.net *.split)
