[00:00:34] *** Joins: BlackIkeEagle (~BlackIkeE@archlinux/trusteduser/blackikeeagle)
[00:05:46] <relipse> ok i figured it out
[00:41:36] *** Quits: dimbulb (~sam@indra.vis.nu) (*.net *.split)
[00:41:36] *** Quits: AMG (ghebo@user/amg) (*.net *.split)
[00:41:36] *** Quits: judabuda (kowbunga@user/judabuda) (*.net *.split)
[00:41:36] *** Quits: mixfix41 (~homefame@user/mixfix41) (*.net *.split)
[00:41:36] *** Quits: couture (~couture@user/couture) (*.net *.split)
[00:41:36] *** Quits: winlundn (nick@2600:3c01::f03c:92ff:fe32:c297) (*.net *.split)
[00:41:36] *** Quits: akspecs (00cc8321af@sourcehut/user/akspecs) (*.net *.split)
[00:41:36] *** Quits: Kristine (~quassel@user/kristine) (*.net *.split)
[00:41:36] *** Quits: catbeard (~noise@user/catbeard) (*.net *.split)
[00:41:36] *** Quits: Kilroy (~thelounge@user/Kilroy) (*.net *.split)
[00:41:36] *** Quits: N3X15 (~nexis@mail.nexisonline.net) (*.net *.split)
[00:41:36] *** Quits: oztunan (~oztunan@oztunan.org) (*.net *.split)
[00:41:36] *** Quits: melchior (melchior@user/melchior) (*.net *.split)
[00:41:36] *** Quits: rb (~augh@theguntretort.com) (*.net *.split)
[00:41:36] *** Quits: silly (silly@user/silly) (*.net *.split)
[00:41:36] *** Quits: olspookishmagus (~pookie@snf-137798.vm.okeanos.grnet.gr) (*.net *.split)
[00:41:36] *** Quits: eXtr3m0 (~eXtr3m0@user/eXtr3m0) (*.net *.split)
[00:41:36] *** Quits: Albright (~Albright@149.28.13.173) (*.net *.split)
[00:41:36] *** Quits: BlackIkeEagle (~BlackIkeE@archlinux/trusteduser/blackikeeagle) (*.net *.split)
[00:41:37] *** Quits: night_wulfe (~wulfe@cpe-174-103-156-213.cinci.res.rr.com) (*.net *.split)
[00:41:37] *** Quits: deltab (~deltab@user/deltab) (*.net *.split)
[00:41:37] *** Quits: nbin_ (~nbin@user/nbin) (*.net *.split)
[00:41:37] *** Quits: robotkittenscat (~robotkitt@user/robotkittenscat) (*.net *.split)
[00:41:37] *** Quits: simon816 (~simon816@ec2-35-178-246-72.eu-west-2.compute.amazonaws.com) (*.net *.split)
[00:41:37] *** Quits: novns (~novns@user/novns) (*.net *.split)
[00:41:37] *** Quits: zer0 (~zer0@user/zer0) (*.net *.split)
[00:41:37] *** Quits: Mathisen (mathisen@about/windows/staff/mathisen) (*.net *.split)
[00:41:37] *** Quits: tccki (~tccki@box.webslate.co.nz) (*.net *.split)
[00:41:37] *** Quits: jhave (~jhave@gw.jdh.dk) (*.net *.split)
[00:41:37] *** Quits: chemsmith (~chemsmith@user/chemsmith) (*.net *.split)
[00:41:37] *** Quits: arieh (~51062cbb@user/jewllama) (*.net *.split)
[00:41:37] *** Quits: jtreminio (~jtreminio@198.199.111.164) (*.net *.split)
[00:41:37] *** Quits: caffeinatedcode (~caffeine@user/caffeinatedcode) (*.net *.split)
[00:41:37] *** Quits: xSavitar (~xSavitar@user/xsavitar) (*.net *.split)
[00:41:37] *** Quits: php-bot (~php-bot@box.croustillant.ch) (*.net *.split)
[00:41:37] *** Quits: DLange (~DLange@about/linux/staff/DLange) (*.net *.split)
[00:41:37] *** Quits: Pokey (~pokey@spikeyCactus/hoosky) (*.net *.split)
[00:41:37] *** Quits: ChanServ (ChanServ@services.libera.chat) (*.net *.split)
[00:41:37] *** Quits: litharge (litharge@libera/bot/litharge) (*.net *.split)
[00:41:37] *** Quits: undefined_bob (~undefined@user/undefined-bob/x-5411918) (*.net *.split)
[00:41:37] *** Quits: de-facto (~de-facto@user/de-facto) (*.net *.split)
[00:41:37] *** Quits: gxt (~gxt@gateway/tor-sasl/gxt) (*.net *.split)
[00:41:37] *** Quits: led_belly (~led_belly@83.97.23.14) (*.net *.split)
[00:41:37] *** Quits: guido (~weechat@host-82-59-230-189.retail.telecomitalia.it) (*.net *.split)
[00:41:38] *** Quits: beob (beob@user/beob) (*.net *.split)
[00:41:38] *** Quits: bodicceaII (~bodiccea@user/bodiccea) (*.net *.split)
[00:41:38] *** Quits: FightingFalcon (~none@user/fightingfalcon) (*.net *.split)
[00:41:38] *** Quits: relipse (sid16131@id-16131.tinside.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: TML (~tml@user/tml) (*.net *.split)
[00:41:38] *** Quits: DerekTheRed (~portra400@peso.subtitled.com) (*.net *.split)
[00:41:38] *** Quits: Fleck (~fleck@user/fleck) (*.net *.split)
[00:41:38] *** Quits: omegatron (~some@p5b056436.dip0.t-ipconnect.de) (*.net *.split)
[00:41:38] *** Quits: adsr (~adsr@45.58.35.250) (*.net *.split)
[00:41:38] *** Quits: gothicserpent (~gothicser@2604:a880:4:1d0::176:6000) (*.net *.split)
[00:41:38] *** Quits: tabakhase (tabakhase@user/tabakhase) (*.net *.split)
[00:41:38] *** Quits: barlas (~aqeel@user/barlas) (*.net *.split)
[00:41:38] *** Quits: thumbs (1000@apache/committer/thumbs) (*.net *.split)
[00:41:38] *** Quits: berndj (~berndj@ns2.linksynergy.co.za) (*.net *.split)
[00:41:38] *** Quits: belak (~belak@user/belak) (*.net *.split)
[00:41:38] *** Quits: cybertron (~cybertron@2a03:4000:5:32a:6447:c0ff:fe3a:2af4) (*.net *.split)
[00:41:39] *** Quits: Mr-Snick_ (mr-snick@gateway/vpn/protonvpn/mr-snick) (*.net *.split)
[00:41:39] *** Quits: DrowningElysium (uid190788@user/drowningelysium) (*.net *.split)
[00:41:39] *** Quits: kerouac (~kerouac@2001:470:69fc:105::4e36) (*.net *.split)
[00:41:39] *** Quits: jdrab (~jdrab@user/jdrab) (*.net *.split)
[00:41:39] *** Quits: arash- (arash@thinks.life.is-a.beauty) (*.net *.split)
[00:41:39] *** Quits: Teraii (~teraii@juraii-s1-1.teraii.net) (*.net *.split)
[00:41:39] *** Quits: mr_gant (~mr_gant@203-206-182-122.perm.iinet.net.au) (*.net *.split)
[00:41:39] *** Quits: AsenMx (~asen@user/asenmx) (*.net *.split)
[00:41:39] *** Quits: dmk (~dmk@dmk.sh) (*.net *.split)
[00:41:39] *** Quits: c17r (~c17r@c17r.com) (*.net *.split)
[00:41:39] *** Quits: wyre (~wyre@user/wyre) (*.net *.split)
[00:41:39] *** Quits: Artea (~Lufia@artea.com.pt) (*.net *.split)
[00:41:39] *** Quits: Janusz (~Janusz@user/janusz) (*.net *.split)
[00:41:40] *** Quits: Learath2 (~learath2@user/learath2) (*.net *.split)
[00:41:40] *** Quits: sharpertool (sid80151@id-80151.hampstead.irccloud.com) (*.net *.split)
[00:41:40] *** Quits: DCTWD (~dc@uz.utmappro.com) (*.net *.split)
[00:41:40] *** Quits: nekaii (nekaii@er.alltaf.online) (*.net *.split)
[00:41:40] *** Quits: steve (~steven@li677-71.members.linode.com) (*.net *.split)
[00:41:40] *** Quits: d3sync (~d3sync@62.1.158.240) (*.net *.split)
[00:41:40] *** Quits: The_Blod- (~Blode@user/the-blode/x-7164444) (*.net *.split)
[00:41:40] *** Quits: magla (~gelignite@55d436fa.access.ecotel.net) (*.net *.split)
[00:41:40] *** Quits: glider (~glider@user/glider) (*.net *.split)
[00:41:40] *** Quits: wovixo (~wovixo@128.104.205.49) (*.net *.split)
[00:41:40] *** Quits: pmercado_ (~pmercado@190.22.160.49) (*.net *.split)
[00:41:40] *** Quits: luva (~luva@37.120.197.52) (*.net *.split)
[00:41:40] *** Quits: m5zs7k (aquares@web10.mydevil.net) (*.net *.split)
[00:41:40] *** Quits: junktext (~junktext@gateway/vpn/pia/junktext) (*.net *.split)
[00:41:40] *** Quits: Bencraft (~Bencraft@user/Bencraft) (*.net *.split)
[00:41:40] *** Quits: travisghansen (~travisgha@192.74.130.86) (*.net *.split)
[00:41:40] *** Quits: bytestream2 (~bytestrea@user/bytestream) (*.net *.split)
[00:41:40] *** Quits: jgrim (~jgrim@d199-74-109-78.col.wideopenwest.com) (*.net *.split)
[00:41:40] *** Quits: shokohsc (~shokohsc@lfbn-idf2-1-1472-129.w92-169.abo.wanadoo.fr) (*.net *.split)
[00:41:40] *** Quits: Byteflux (~byte@byteflux.net) (*.net *.split)
[00:41:40] *** Quits: fiddlerwoaroof (~fiddlerwo@user/fiddlerwoaroof) (*.net *.split)
[00:41:40] *** Quits: molt (~molt@178-222-245-206.static.isp.telekom.rs) (*.net *.split)
[00:41:40] *** Quits: znf (ibm86@blender.linge-ma.ro) (*.net *.split)
[00:41:40] *** Quits: FloridaMan (~FloridaMa@user/floridaman) (*.net *.split)
[00:41:40] *** Quits: fkrauthan (~fkrauthan@user/fkrauthan) (*.net *.split)
[00:41:40] *** Quits: ss23 (~ss23@irc.ss23.geek.nz) (*.net *.split)
[00:41:40] *** Quits: ReimuHakurei_ (~Reimu@raphi.vserver.alexingram.net) (*.net *.split)
[00:41:40] *** Quits: percY- (~percY@138.68.239.19) (*.net *.split)
[00:41:40] *** Quits: Woet (~me@irc.woet.me) (*.net *.split)
[00:41:40] *** Quits: vel (~vel@ec2-52-62-28-79.ap-southeast-2.compute.amazonaws.com) (*.net *.split)
[00:41:40] *** Quits: salathe_ (~peter@idle.php.net) (*.net *.split)
[00:41:41] *** Quits: tirnanog (~tirnanog@user/tirnanog) (*.net *.split)
[00:41:41] *** Quits: ms49434 (~ms49434@user/ms49434) (*.net *.split)
[00:41:41] *** Quits: davetoo_ (~davetoo@2600:8802:5704:c900:7145:6a77:28c3:6cbd) (*.net *.split)
[00:41:41] *** Quits: Rubin (~rubin@2001:470:69fc:105::17e) (*.net *.split)
[00:41:41] *** Quits: sm (~sm@plaintextaccounting/sm) (*.net *.split)
[00:41:41] *** Quits: mjsir911 (~bnc@user/mjsir911) (*.net *.split)
[00:41:41] *** Quits: Kartagis (~iegg@user/kartagis) (*.net *.split)
[00:41:41] *** Quits: joachimo (~joachimo@cloud02.joachimopdenakker.be) (*.net *.split)
[00:41:41] *** Quits: s1b1 (~s1b1@user/s1b1) (*.net *.split)
[00:41:41] *** Quits: lord4163 (~lord4163@90-230-194-205-no86.tbcn.telia.com) (*.net *.split)
[00:41:41] *** Quits: noord (noord@user/noord) (*.net *.split)
[00:41:42] *** Quits: cosine (~cosine@vpn.mashio.net) (*.net *.split)
[00:41:42] *** Quits: Exa (exa@irc.moe) (*.net *.split)
[00:41:42] *** Quits: refactor_ring (~refactor_@142.93.146.100) (*.net *.split)
[00:41:42] *** Quits: starz (starz@2001:41d0:8:4bd3::1) (*.net *.split)
[00:41:42] *** Quits: remolej (~kenoba@user/kenoba) (*.net *.split)
[00:41:42] *** Quits: Robdgreat (~rob@user/robdgreat) (*.net *.split)
[00:41:42] *** Quits: NoiseEee (~NoiseEee@178.128.153.219) (*.net *.split)
[00:41:42] *** Quits: nortoh (~nortoh@user/nortoh) (*.net *.split)
[00:41:42] *** Quits: len (~len@v2202104141858149543.nicesrv.de) (*.net *.split)
[00:41:42] *** Quits: mgocobachi (~m@ancrae.com) (*.net *.split)
[00:41:42] *** Quits: MrBurns (~japa@ec2-13-48-124-121.eu-north-1.compute.amazonaws.com) (*.net *.split)
[00:41:42] *** Quits: FatBoyXPC (~FatBoyXPC@user/fatboyxpc) (*.net *.split)
[00:41:42] *** Quits: dag (~d@user/dag) (*.net *.split)
[00:41:42] *** Quits: wutzelputz (~wutzelput@2001:470:69fc:105::3117) (*.net *.split)
[00:41:42] *** Quits: Deltik (~deltik@2001:470:69fc:105::1:5ba3) (*.net *.split)
[00:41:43] *** Quits: genomc (uid245282@id-245282.hampstead.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: wolfgangspace (~wolfgangs@159.203.73.30) (*.net *.split)
[00:41:43] *** Quits: judah (~judah@50.46.45.66) (*.net *.split)
[00:41:43] *** Quits: AciD (~fu@user/acid/x-5205451) (*.net *.split)
[00:41:43] *** Quits: ePirat (~ePirat@user/epirat) (*.net *.split)
[00:41:43] *** Quits: paladox (sid373195@wikimedia/paladox) (*.net *.split)
[00:41:43] *** Quits: celphi (sid97751@user/celphi) (*.net *.split)
[00:41:43] *** Quits: Donitz (~Donitz@88-115-149-215.elisa-laajakaista.fi) (*.net *.split)
[00:41:43] *** Quits: mjh4386_ (~mjh4386@165.22.53.231) (*.net *.split)
[00:41:43] *** Quits: biberu (~biberu@user/biberu) (*.net *.split)
[00:41:43] *** Quits: __adrian (~adrian@user/adrian/x-7832151) (*.net *.split)
[00:41:43] *** Quits: ringo__ (~ringo@157.230.117.128) (*.net *.split)
[00:41:43] *** Quits: noahmg123 (sid89117@ilkley.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: sagax (~sagax_nb@user/sagax) (*.net *.split)
[00:41:43] *** Quits: LucaTM (~LucaTM@user/lucatm) (*.net *.split)
[00:41:43] *** Quits: entropy_ (~ent@user/entropy/x-9891564) (*.net *.split)
[00:41:44] *** Quits: mishehu (~mishehu@mira001.eyepeeveesicks.shavedgoats.net) (*.net *.split)
[00:41:44] *** Quits: chiptuner (~bobby@user/chiptuner) (*.net *.split)
[00:41:44] *** Quits: yaraju (~yaraju@user/yaraju) (*.net *.split)
[00:41:44] *** Quits: Jck_true (~jcktrue@user/jck-true/x-0200799) (*.net *.split)
[00:41:44] *** Quits: BlackBishop (dexter@user/blackbishop) (*.net *.split)
[00:41:44] *** Quits: Zombie_Ryushu (~masterz@h181.58.40.69.dynamic.ip.windstream.net) (*.net *.split)
[00:41:44] *** Quits: poseidon_ (~broseidon@users.757.org) (*.net *.split)
[00:41:44] *** Quits: biggie (~biggie@user/bige) (*.net *.split)
[00:41:44] *** Quits: ekl (~ekl@user/ekl) (*.net *.split)
[00:41:44] *** Quits: ramsey (sid508214@phpc/ramsey) (*.net *.split)
[00:41:44] *** Quits: Yorick- (znc@vps.freegamehosting.eu) (*.net *.split)
[00:41:44] *** Quits: Cybergeek (~Cybergeek@2a03:b0c0:3:e0::1ab:5001) (*.net *.split)
[00:41:44] *** Quits: ProfSimm (~ProfSimm@87.227.196.109) (*.net *.split)
[00:41:44] *** Quits: stenno (~stenno@user/stenno) (*.net *.split)
[00:41:45] *** Quits: kuhilas (~kuhilas@2001:470:69fc:105::3040) (*.net *.split)
[00:41:45] *** Quits: LuKaRo (~LuKaRo@p4fc3264a.dip0.t-ipconnect.de) (*.net *.split)
[00:41:45] *** Quits: Reinhilde (ellenor@vice-chairwoman.of.freenode.management) (*.net *.split)
[00:41:45] *** Quits: phlixi_ (~phlixi@aftr-62-216-205-153.dynamic.mnet-online.de) (*.net *.split)
[00:41:45] *** Quits: Togra (~Togra@user/togra) (*.net *.split)
[00:41:45] *** Quits: prime (~prime@user/prime) (*.net *.split)
[00:41:45] *** Quits: kantlivelong (~kantlivel@octoprint/kantlivelong) (*.net *.split)
[00:41:45] *** Quits: NiKaN (sid385034@id-385034.helmsley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: Kadigan_ (~Kadigan@user/kadigan) (*.net *.split)
[00:41:45] *** Quits: VectorX (~sunilaiya@user/vectorx) (*.net *.split)
[00:41:45] *** Quits: petris (sid19918@user/petris) (*.net *.split)
[00:41:45] *** Quits: sunarch (uid526836@user/sunarch) (*.net *.split)
[00:41:45] *** Quits: Beryllium (sid186414@id-186414.lymington.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: ghoti (~paul@198.23.196.224) (*.net *.split)
[00:41:45] *** Quits: uhu (~uhu@2a01:4f9:c010:1087::2) (*.net *.split)
[00:41:45] *** Quits: AllenJB (~AllenJB@user/allenjb) (*.net *.split)
[00:41:45] *** Quits: robertparkerx (~robertpar@user/robertparkerx) (*.net *.split)
[00:41:45] *** Quits: CapitalistPunk (~Capitalis@liledevil.xs4all.nl) (*.net *.split)
[00:41:45] *** Quits: Cork (~Cork@user/cork) (*.net *.split)
[00:41:45] *** Quits: siinus (sns@saabas.kahtlane.info) (*.net *.split)
[00:41:45] *** Quits: ikonia (~irc@user/ikonia) (*.net *.split)
[00:41:45] *** Quits: ialokin (znc@user/ialokin) (*.net *.split)
[00:41:45] *** Quits: void09 (~void@150.230.21.57) (*.net *.split)
[00:41:46] *** Quits: enyc (~enyc@user/enyc) (*.net *.split)
[00:41:46] *** Quits: wolfshappen (~waff@irc.furworks.de) (Max SendQ exceeded)
[00:44:09] *** Joins: DoubleJ (~DoubleJ@user/doublej)
[00:44:09] *** Joins: Norkle (~norkle@admin.nasa-g0v.com)
[00:44:09] *** Joins: Phil-Work (~phil@62.3.100.20)
[00:44:09] *** Joins: cryocaustik7 (~cryocaust@user/cryocaustik)
[00:44:09] *** Joins: da_wunder (~wunder@dsl-jklbng11-54fa51-220.dhcp.inet.fi)
[00:44:09] *** Joins: ham5 (~iamfive@user/ham5)
[00:44:09] *** Joins: justGhost (~justache@user/justache)
[00:44:09] *** Joins: brentaarnold (~brentaarn@24.112.58.14)
[00:44:09] *** Joins: gde33 (~gde33@84-106-154-98.cable.dynamic.v4.ziggo.nl)
[00:44:09] *** Joins: Stanley (~stanley@d66-183-88-69.bchsia.telus.net)
[00:44:09] *** Joins: UnknowingMind (~Unknowing@108.217.80.213)
[00:44:09] *** Joins: axisys (~axisys@ec2-52-207-123-244.compute-1.amazonaws.com)
[00:44:09] *** Joins: infernix (~nix@spirit.infernix.net)
[00:44:09] *** Joins: elycin_ (~elycin@ec2-54-163-129-255.compute-1.amazonaws.com)
[00:44:09] *** Joins: AnrDaemon (~ZNC@darkdragon-nln.starlink.ru)
[00:44:09] *** Joins: \mSg (mSg@user/msg/x-0285936)
[00:44:09] *** Joins: Vision (~Vision@097-087-115-181.res.spectrum.com)
[00:44:09] *** Joins: mooz (~none@173.208.98.70)
[00:44:09] *** Joins: gonogo (~gonogo@167.88.62.87)
[00:44:09] *** Joins: keypusher (keypusher@user/keypusher)
[00:44:09] *** Joins: michele (~eraser@user/michele)
[00:44:09] *** Joins: cybertron (~cybertron@2a03:4000:5:32a:6447:c0ff:fe3a:2af4)
[00:44:09] *** Joins: belak (~belak@user/belak)
[00:44:09] *** Joins: berndj (~berndj@ns2.linksynergy.co.za)
[00:44:09] *** Joins: barlas (~aqeel@user/barlas)
[00:44:09] *** Joins: tabakhase (tabakhase@user/tabakhase)
[00:44:09] *** Joins: gothicserpent (~gothicser@2604:a880:4:1d0::176:6000)
[00:44:09] *** Joins: thumbs (1000@apache/committer/thumbs)
[00:44:09] *** Joins: adsr (~adsr@45.58.35.250)
[00:44:09] *** Joins: omegatron (~some@p5b056436.dip0.t-ipconnect.de)
[00:44:09] *** Joins: Fleck (~fleck@user/fleck)
[00:44:09] *** Joins: DerekTheRed (~portra400@peso.subtitled.com)
[00:44:09] *** Joins: TML (~tml@user/tml)
[00:44:09] *** Joins: relipse (sid16131@id-16131.tinside.irccloud.com)
[00:44:09] *** Joins: bodicceaII (~bodiccea@user/bodiccea)
[00:44:09] *** Joins: beob (beob@user/beob)
[00:44:09] *** Joins: FightingFalcon (~none@user/fightingfalcon)
[00:44:09] *** Joins: guido (~weechat@host-82-59-230-189.retail.telecomitalia.it)
[00:44:09] *** Joins: led_belly (~led_belly@83.97.23.14)
[00:44:09] *** Joins: enyc (~enyc@user/enyc)
[00:44:09] *** Joins: void09 (~void@150.230.21.57)
[00:44:09] *** Joins: ialokin (znc@user/ialokin)
[00:44:09] *** Joins: ikonia (~irc@user/ikonia)
[00:44:09] *** Joins: siinus (sns@saabas.kahtlane.info)
[00:44:09] *** Joins: Cork (~Cork@user/cork)
[00:44:09] *** erbium.libera.chat sets mode: +v TML
[00:44:09] *** Joins: CapitalistPunk (~Capitalis@liledevil.xs4all.nl)
[00:44:09] *** Joins: robertparkerx (~robertpar@user/robertparkerx)
[00:44:09] *** Joins: AllenJB (~AllenJB@user/allenjb)
[00:44:09] *** Joins: ghoti (~paul@198.23.196.224)
[00:44:09] *** Joins: Beryllium (sid186414@id-186414.lymington.irccloud.com)
[00:44:09] *** Joins: sunarch (uid526836@user/sunarch)
[00:44:09] *** Joins: petris (sid19918@user/petris)
[00:44:09] *** Joins: VectorX (~sunilaiya@user/vectorx)
[00:44:09] *** Joins: NiKaN (sid385034@id-385034.helmsley.irccloud.com)
[00:44:09] *** Joins: prime (~prime@user/prime)
[00:44:09] *** Joins: Togra (~Togra@user/togra)
[00:44:09] *** Joins: kantlivelong (~kantlivel@octoprint/kantlivelong)
[00:44:09] *** Joins: phlixi_ (~phlixi@aftr-62-216-205-153.dynamic.mnet-online.de)
[00:44:09] *** Joins: Reinhilde (ellenor@vice-chairwoman.of.freenode.management)
[00:44:09] *** Joins: Kadigan_ (~Kadigan@user/kadigan)
[00:44:09] *** Joins: uhu (~uhu@2a01:4f9:c010:1087::2)
[00:44:09] *** Joins: LuKaRo (~LuKaRo@p4fc3264a.dip0.t-ipconnect.de)
[00:44:09] *** Joins: kuhilas (~kuhilas@2001:470:69fc:105::3040)
[00:44:09] *** Joins: stenno (~stenno@user/stenno)
[00:44:09] *** Joins: px4n (~px4n@user/px4n)
[00:44:09] *** Joins: Tempesta (~Tempesta@user/tempesta)
[00:44:09] *** Joins: starz (starz@2001:41d0:8:4bd3::1)
[00:44:09] *** Joins: refactor_ring (~refactor_@142.93.146.100)
[00:44:09] *** Joins: Exa (exa@irc.moe)
[00:44:09] *** Joins: cosine (~cosine@vpn.mashio.net)
[00:44:09] *** Joins: lord4163 (~lord4163@90-230-194-205-no86.tbcn.telia.com)
[00:44:09] *** Joins: s1b1 (~s1b1@user/s1b1)
[00:44:09] *** Joins: joachimo (~joachimo@cloud02.joachimopdenakker.be)
[00:44:09] *** Joins: Kartagis (~iegg@user/kartagis)
[00:44:09] *** Joins: mjsir911 (~bnc@user/mjsir911)
[00:44:09] *** Joins: Rubin (~rubin@2001:470:69fc:105::17e)
[00:44:09] *** Joins: sm (~sm@plaintextaccounting/sm)
[00:44:09] *** Joins: davetoo_ (~davetoo@2600:8802:5704:c900:7145:6a77:28c3:6cbd)
[00:44:09] *** Joins: ms49434 (~ms49434@user/ms49434)
[00:44:09] *** Joins: tirnanog (~tirnanog@user/tirnanog)
[00:44:09] *** Joins: Pokey (~pokey@spikeyCactus/hoosky)
[00:44:09] *** Joins: DLange (~DLange@about/linux/staff/DLange)
[00:44:09] *** Joins: php-bot (~php-bot@box.croustillant.ch)
[00:44:09] *** Joins: caffeinatedcode (~caffeine@user/caffeinatedcode)
[00:44:09] *** Joins: jtreminio (~jtreminio@198.199.111.164)
[00:44:09] *** Joins: xSavitar (~xSavitar@user/xsavitar)
[00:44:09] *** Joins: arieh (~51062cbb@user/jewllama)
[00:44:09] *** Joins: chemsmith (~chemsmith@user/chemsmith)
[00:44:09] *** Joins: jhave (~jhave@gw.jdh.dk)
[00:44:09] *** Joins: tccki (~tccki@box.webslate.co.nz)
[00:44:09] *** Joins: Mathisen (mathisen@about/windows/staff/mathisen)
[00:44:09] *** Joins: zer0 (~zer0@user/zer0)
[00:44:09] *** Joins: novns (~novns@user/novns)
