[00:02:00] *** Quits: ar3itrary (~hacker@2a03:4000:6:8177:2::1) (Quit: No Ping reply in 180 seconds.)
[00:03:09] *** Joins: ar3itrary (~hacker@2a03:4000:6:8177:2::1)
[00:30:04] *** Quits: Zeklyn- (~Zeklyn@zeklyn.net) (Quit: %VPS Died%)
[00:30:25] *** Joins: Zeklyn_ (~Zeklyn@zeklyn.net)
[00:41:34] *** Quits: muirrum (~muirrum@sourcehut/user/muirrum) (*.net *.split)
[00:41:34] *** Quits: blinky42 (~quassel@user/blinky42) (*.net *.split)
[00:41:34] *** Quits: AlanBell (~alanbell@internal.apertum.ie) (*.net *.split)
[00:41:34] *** Quits: Spydar007 (~spydar007@user/spydar007) (*.net *.split)
[00:41:34] *** Quits: ecool (~ecool@ecool.dev) (*.net *.split)
[00:41:34] *** Quits: jsb (~jsb@jakob.dev) (*.net *.split)
[00:41:34] *** Quits: les_ (~whome@user/les) (*.net *.split)
[00:41:34] *** Quits: Bossi (~quassel@p548379ef.dip0.t-ipconnect.de) (*.net *.split)
[00:41:34] *** Quits: Zegnat (~Martijn@v22016013254630973.happysrv.de) (*.net *.split)
[00:41:34] *** Quits: ByronJohnson (~bairyn@50-250-232-19-static.hfc.comcastbusiness.net) (*.net *.split)
[00:41:34] *** Quits: crakilda (~quassel@web.pf.ie) (*.net *.split)
[00:41:34] *** Quits: unicron (sid343426@hampstead.irccloud.com) (*.net *.split)
[00:41:34] *** Quits: hubvu_ (sid495858@tinside.irccloud.com) (*.net *.split)
[00:41:34] *** Quits: lazywalker (~lazywalke@user/lazywalker) (*.net *.split)
[00:41:34] *** Quits: dslegends (~dslegends@user/dslegends) (*.net *.split)
[00:41:34] *** Quits: bnf (~ben@user/bnf) (*.net *.split)
[00:41:34] *** Quits: vogelfrei (vogelfrei@user/vogelfrei) (*.net *.split)
[00:41:34] *** Quits: kevank_ (~quassel@libera/sponsor/kevank) (*.net *.split)
[00:41:34] *** Quits: flynn (~mcbloch@user/flynn) (*.net *.split)
[00:41:34] *** Quits: asix (~Anders@user/asix) (*.net *.split)
[00:41:34] *** Quits: yourfate (~yourfate@cabal.yourfate.org) (*.net *.split)
[00:41:34] *** Quits: jbwncster (uid72776@id-72776.helmsley.irccloud.com) (*.net *.split)
[00:41:34] *** Quits: lexik (~lexik@171.25.222.230) (*.net *.split)
[00:41:34] *** Quits: LenPayne (~LenPayne@user/lenpayne) (*.net *.split)
[00:41:34] *** Quits: ralu (~ralu@static.211.245.203.116.clients.your-server.de) (*.net *.split)
[00:41:35] *** Quits: vlm (~vlm@user/vlm) (*.net *.split)
[00:41:35] *** Quits: lf (~quassel@p200300d21f00f100022454fffe73d7ad.dip0.t-ipconnect.de) (*.net *.split)
[00:41:35] *** Quits: macdude22 (~macdude22@2604:2d80:5893:3c00:e46e:cd86:4988:c224) (*.net *.split)
[00:41:35] *** Quits: CheckYourSix (~quassel@2604:a880:800:10::35f:b001) (*.net *.split)
[00:41:35] *** Quits: croc (quassel@2600:3c00::f03c:91ff:fe18:29d6) (*.net *.split)
[00:41:35] *** Quits: Freeyorp (Freeyorp@themanaworld/admin/Freeyorp) (*.net *.split)
[00:41:35] *** Quits: truckasaurus (sid457088@id-457088.helmsley.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: Fingel (fingel@user/fingel) (*.net *.split)
[00:41:35] *** Quits: neutron (sid472538@id-472538.tinside.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: ravioli_ (sid83460@donger/pasta) (*.net *.split)
[00:41:35] *** Quits: Tommy__ (sid21982@id-21982.tinside.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: Willyeast (sid489524@id-489524.helmsley.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: OliPicard_ (sid88086@user/olipicard) (*.net *.split)
[00:41:35] *** Quits: Arohyn (~arohyn@user/arohyn) (*.net *.split)
[00:41:35] *** Quits: eamanu (sid462779@id-462779.tinside.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: negan (uid3963@id-3963.ilkley.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: global_elites (sid502551@user/global-elites/x-3633715) (*.net *.split)
[00:41:35] *** Quits: wil (sid419800@id-419800.lymington.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: mithro (sid24875@id-24875.ilkley.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: space-bat (sid131370@id-131370.ilkley.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: BlueShark (sid10311@user/blueshark) (*.net *.split)
[00:41:35] *** Quits: Jon (jon@dow.land) (*.net *.split)
[00:41:35] *** Quits: TsynkVoin (sid368874@id-368874.helmsley.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: Hobbyboy (Hobbyboy@hobbyboy.co.uk) (*.net *.split)
[00:41:35] *** Quits: astraea (sid402385@user/astraea) (*.net *.split)
[00:41:35] *** Quits: hhes (sid420846@id-420846.ilkley.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: lacop1 (lacop@2a01:7e01::f03c:91ff:fe82:8bb8) (*.net *.split)
[00:41:35] *** Quits: gnu3ra (~gnu3ra@user/gnu3ra) (*.net *.split)
[00:41:35] *** Quits: Belliash (~belliash@eris.codingworkshop.eu.org) (*.net *.split)
[00:41:35] *** Quits: Gradient (~gradient@163.172.214.112) (*.net *.split)
[00:41:35] *** Quits: mrkirby153 (~mrkirby15@mrkirby153.com) (*.net *.split)
[00:41:35] *** Quits: Bretzky (~Bretzky@167.99.239.126) (*.net *.split)
[00:41:35] *** Quits: ckie (~ckie@user/cookie) (*.net *.split)
[00:41:35] *** Quits: PeGaSuS (ubuntu@user/pegasus) (*.net *.split)
[00:41:35] *** Quits: NoahvdAa (~NoahvdAa@user/noahvdaa) (*.net *.split)
[00:41:35] *** Quits: weyhmueller (~weyhmuell@blofeld.nc.w9r.de) (*.net *.split)
[00:41:35] *** Quits: cnuke (~cnuke@vond.sysret.de) (*.net *.split)
[00:41:35] *** Quits: kontio (~kontio@2a01:4f8:221:2a50::2) (*.net *.split)
[00:41:35] *** Quits: DirkS (~DirkSt@user/dirkst) (*.net *.split)
[00:41:35] *** Quits: whysthatso125 (~whysthats@74-206-50-195.sta.estpak.ee) (*.net *.split)
[00:41:35] *** Quits: TheSashm_ (~TheSashmo@174.119.184.190) (*.net *.split)
[00:41:35] *** Quits: Myst3 (~Myst@user/myst) (*.net *.split)
[00:41:35] *** Quits: jessicant (~jessica@static.172.234.251.148.clients.your-server.de) (*.net *.split)
[00:41:35] *** Quits: derpy (~quassel@2a02:810d:800:10f8:80bc:99e7:800a:7a53) (*.net *.split)
[00:41:35] *** Quits: adomas (sid439292@id-439292.uxbridge.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: graingert (sid128301@id-128301.tinside.irccloud.com) (*.net *.split)
[00:41:35] *** Quits: c|oneman (sage@2602:fc81:2:1::3:e5f0) (*.net *.split)
[00:41:36] *** Quits: judabuda (kowbunga@user/judabuda) (*.net *.split)
[00:41:36] *** Quits: Bercik (~Redomen@user/bercik) (*.net *.split)
[00:41:36] *** Quits: Truenos (Truenos@admin.canal-ayuda.com) (*.net *.split)
[00:41:36] *** Quits: giesen (~ggiesen@ego.giesen.me) (*.net *.split)
[00:41:36] *** Quits: antlarr (~quassel@38.red-83-34-185.dynamicip.rima-tde.net) (*.net *.split)
[00:41:36] *** Quits: mifritscher (~mifritsch@mifritscher.de) (*.net *.split)
[00:41:36] *** Quits: mquin (~mquin@libera/staff/mquin) (*.net *.split)
[00:41:36] *** Quits: eggs (~quassel@174-141-203-235.fttp.usinternet.com) (*.net *.split)
[00:41:36] *** Quits: Craighton (~craig@user/Craighton) (*.net *.split)
[00:41:36] *** Quits: gerry666 (gerry666@gerry.pw) (*.net *.split)
[00:41:36] *** Quits: ikiryo (sid109660@user/ikiryo) (*.net *.split)
[00:41:36] *** Quits: marcoslater (sid317940@libera/sponsor/marcoslater) (*.net *.split)
[00:41:36] *** Quits: mafrasi2_ (~quassel@2a01:4f8:190:508a::2) (*.net *.split)
[00:41:36] *** Quits: stoner19 (~stoner19@vmi221374.contaboserver.net) (*.net *.split)
[00:41:36] *** Quits: pikapika (~pikapika_@pika.powered.by.lunarbnc.net) (*.net *.split)
[00:41:36] *** Quits: ses (uid38151@id-38151.hampstead.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: iwonder (~quassel@walter.iwonder.name) (*.net *.split)
[00:41:36] *** Quits: moo (~moo@beware.of.the.ass.ninja) (*.net *.split)
[00:41:36] *** Quits: milkii (~milkii@2001:19f0:7401:866a:15f3:a8f4:441d:ab86) (*.net *.split)
[00:41:36] *** Quits: nyanotech (~kitty@meow.catgirl.solutions) (*.net *.split)
[00:41:36] *** Quits: arti (~arti@2001:bb8:4008:2020::f) (*.net *.split)
[00:41:36] *** Quits: hirez (~hirez@104.128.237.40) (*.net *.split)
[00:41:36] *** Quits: JackMc (sid85402@id-85402.lymington.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: JamesR (JamesR@wikimedia/JamesR) (*.net *.split)
[00:41:36] *** Quits: Net (sid313265@id-313265.lymington.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: stephen87 (sid33834@user/stephen87) (*.net *.split)
[00:41:36] *** Quits: seven (sid125326@id-125326.uxbridge.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: Crofton (sid401373@id-401373.lymington.irccloud.com) (*.net *.split)
[00:41:36] *** Quits: Jeremail (~quassel@poseidon.hosts.thejeremail.net) (*.net *.split)
[00:41:36] *** Quits: wCPO (~wCPO@mail.klausen.dk) (*.net *.split)
[00:41:36] *** Quits: Lanjelin (~Lanjelin@50.51-174-33.customer.lyse.net) (*.net *.split)
[00:41:36] *** Quits: Rotab (~Rotab@2001:2002:51e5:6061:7a24:afff:fe8a:9973) (*.net *.split)
[00:41:36] *** Quits: branon (~branon@2601:153:600:dc::100) (*.net *.split)
[00:41:36] *** Quits: malaclyps (~mala@user/malaclyps) (*.net *.split)
[00:41:36] *** Quits: DaisyDuck (daisy@tors.wants.covid.booster.in.his.butt.cf) (*.net *.split)
[00:41:36] *** Quits: ar3itrary (~hacker@2a03:4000:6:8177:2::1) (*.net *.split)
[00:41:37] *** Quits: voice (~voice@2604:4300:a:11b::2) (*.net *.split)
[00:41:37] *** Quits: night (~night@iruta.org) (*.net *.split)
[00:41:37] *** Quits: plankster (~plankster@user/plankers) (*.net *.split)
[00:41:37] *** Quits: tetrapod (~tetrapod@user/tetrapod) (*.net *.split)
[00:41:37] *** Quits: otthorn (otthorn@zamok.crans.org) (*.net *.split)
[00:41:37] *** Quits: neilalexander_ (~neilalexa@185.195.232.163) (*.net *.split)
[00:41:37] *** Quits: ZeroKnight (zeroknight@dimensionzero.net) (*.net *.split)
[00:41:37] *** Quits: gauge (~gauge@user/gauge) (*.net *.split)
[00:41:37] *** Quits: LIERO (~no@user/liero) (*.net *.split)
[00:41:37] *** Quits: MuffinPimp (~mokou@box.mokou.io) (*.net *.split)
[00:41:37] *** Quits: cim (~cim@205.185.117.110) (*.net *.split)
[00:41:37] *** Quits: j0nnymoe (~j0nnymoe@linuxserver.io/j0nnymoe) (*.net *.split)
[00:41:37] *** Quits: niko (~niko@libera/staff/niko) (*.net *.split)
[00:41:37] *** Quits: Sorin (nafets@user/sorin) (*.net *.split)
[00:41:37] *** Quits: deafboy (quasselcor@cicolina.org) (*.net *.split)
[00:41:37] *** Quits: omnigoat (~omnigoat@user/omnigoat) (*.net *.split)
[00:41:37] *** Quits: RichiH (~richih@fosdem/staff/richih) (*.net *.split)
[00:41:37] *** Quits: nb (~nb@fedora/ansible.user.nb) (*.net *.split)
[00:41:37] *** Quits: nanovad (~nanovad@sortix/developer/nanovad) (*.net *.split)
[00:41:37] *** Quits: calcmandan (~quassel@user/calcmandan) (*.net *.split)
[00:41:37] *** Quits: adduc (~adduc@24.15.97.76) (*.net *.split)
[00:41:37] *** Quits: JonathanD (~JonathanD@libera/staff/jonathand) (*.net *.split)
[00:41:37] *** Quits: mbaxter (mbaxter@bnc.io) (*.net *.split)
[00:41:37] *** Quits: evilgohan2 (~evilgohan@user/evilgohan2) (*.net *.split)
[00:41:37] *** Quits: Pokey (~pokey@spikeyCactus/hoosky) (*.net *.split)
[00:41:37] *** Quits: stw (~stwalkers@wikimedia/stwalkerster) (*.net *.split)
[00:41:37] *** Quits: el (~el@libera/staff/el) (*.net *.split)
[00:41:37] *** Quits: theo (~theo@user/theo) (*.net *.split)
[00:41:37] *** Quits: jumpcutking (uid459573@uxbridge.irccloud.com) (*.net *.split)
[00:41:37] *** Quits: JohnComputation2 (~JohnCompu@gateway/tor-sasl/johncomputation) (*.net *.split)
[00:41:37] *** Quits: obale1 (~obale@user/obale) (*.net *.split)
[00:41:37] *** Quits: Vercas (~Vercas@gateway/tor-sasl/vercas) (*.net *.split)
[00:41:37] *** Quits: Guest9241 (~dark@rasdark.ru) (*.net *.split)
[00:41:37] *** Quits: TheBigK (~quassel@user/thebigk) (*.net *.split)
[00:41:38] *** Quits: Myrtti (myrtti@irssi/user/Myrtti) (*.net *.split)
[00:41:38] *** Quits: Knyght (sid365271@id-365271.helmsley.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: Twix (~None@2a01:4f8:192:23d0::1be4:a) (*.net *.split)
[00:41:38] *** Quits: subvisor (sid502026@id-502026.helmsley.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: theholyduck_ (sid10277@user/theholyduck) (*.net *.split)
[00:41:38] *** Quits: swapgs (~swapgs@user/swapgs) (*.net *.split)
[00:41:38] *** Quits: superflit (sid381164@id-381164.helmsley.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: Guest3780 (sid525670@id-525670.uxbridge.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: NewCliCker_ (uid28463@id-28463.lymington.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: reborn (reborn@234.network) (*.net *.split)
[00:41:38] *** Quits: manawyrm (~manawyrm@tbspace.de) (*.net *.split)
[00:41:38] *** Quits: torresjrjr (~torresjrj@user/torresjrjr) (*.net *.split)
[00:41:38] *** Quits: jesse-s (sid98646@id-98646.hampstead.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: rewby2 (~rewby@do-it-for.science) (*.net *.split)
[00:41:38] *** Quits: pyfisch (~pyfisch@user/pyfisch) (*.net *.split)
[00:41:38] *** Quits: bpye (~bpye@user/bpye) (*.net *.split)
[00:41:38] *** Quits: koolazer (~koo@user/koolazer) (*.net *.split)
[00:41:38] *** Quits: hirish (~hirish@ip85.ip-137-74-20.eu) (*.net *.split)
[00:41:38] *** Quits: Scotteh (~Scotteh@user/scotteh) (*.net *.split)
[00:41:38] *** Quits: Ctaeth0 (~User@user/ctaeth) (*.net *.split)
[00:41:38] *** Quits: neil (~kneel@rockylinux/infra/neil) (*.net *.split)
[00:41:38] *** Quits: LogicAside (~LogicAsid@user/logicaside) (*.net *.split)
[00:41:38] *** Quits: szgyg (~szgyg@user/szgyg) (*.net *.split)
[00:41:38] *** Quits: acro (~acro@user/acro) (*.net *.split)
[00:41:38] *** Quits: bleb (~cm@user/bleb) (*.net *.split)
[00:41:38] *** Quits: arcade (~arcade@static.220.243.119.168.clients.your-server.de) (*.net *.split)
[00:41:38] *** Quits: xacktm (xacktm@user/xacktm) (*.net *.split)
[00:41:38] *** Quits: NightMonkey (~NightMonk@user/nightmonkey) (*.net *.split)
[00:41:38] *** Quits: moonmoon (awoo@libera/staff/moonmoon) (*.net *.split)
[00:41:38] *** Quits: Xe (~cadey@tailscale/xe) (*.net *.split)
[00:41:38] *** Quits: b3nw (sid7884@user/b3nw) (*.net *.split)
[00:41:38] *** Quits: zizzy (sid385519@id-385519.lymington.irccloud.com) (*.net *.split)
[00:41:38] *** Quits: qaisjp (sid26374@user/qaisjp) (*.net *.split)
[00:41:38] *** Quits: TadeusTaD (tadeustad@psi.koof.com.pl) (*.net *.split)
[00:41:38] *** Quits: LeShadow (~Shadow@user/leshadow) (*.net *.split)
[00:41:38] *** Quits: ochronus (~ochronus@2a01:4f8:1c1c:be5b::1) (*.net *.split)
[00:41:38] *** Quits: keigel2001 (~keigel2k1@megan.keigel2001.net) (*.net *.split)
[00:41:38] *** Quits: Elon (~elon@2607:fdc0:6::39) (*.net *.split)
[00:41:38] *** Quits: Twister (~quassel@user/twister) (*.net *.split)
[00:41:39] *** Quits: lonjil (~quassel@user/lonjil) (*.net *.split)
[00:41:39] *** Quits: Reception123 (uid96626@miraheze/Reception123) (*.net *.split)
[00:41:39] *** Quits: Reiner_Unsinn_ (~quassel@p579d7111.dip0.t-ipconnect.de) (*.net *.split)
[00:41:39] *** Quits: jrt (~jrt@asteroidos/jrt) (*.net *.split)
[00:41:39] *** Quits: NeddySeagoon (~quassel@gentoo/developer/NeddySeagoon) (*.net *.split)
[00:41:39] *** Quits: shoragan (~shoragan@user/shoragan) (*.net *.split)
[00:41:39] *** Quits: John_ (john-liber@user/john/x-2862504) (*.net *.split)
[00:41:39] *** Quits: Juerd (juerd@computervrede.nl) (*.net *.split)
[00:41:39] *** Quits: Neojack (~Neojack@pear.bnc4free.com) (*.net *.split)
[00:41:39] *** Quits: kristjansson (sid126207@id-126207.tinside.irccloud.com) (*.net *.split)
[00:41:39] *** Quits: roniez_ (~roniez@2a02:c206:2057:5765::1) (*.net *.split)
[00:41:39] *** Quits: Vermont (sid262764@wikimedia/vermont) (*.net *.split)
[00:41:39] *** Quits: hendi (sid489601@id-489601.lymington.irccloud.com) (*.net *.split)
[00:41:39] *** Quits: Przemek92_ (sid362095@id-362095.lymington.irccloud.com) (*.net *.split)
[00:41:39] *** Quits: Bram (~psycojoke@2001:913:1fff:ffff::7) (*.net *.split)
[00:41:39] *** Quits: TortillaSandwich (~TortillaS@user/tortillasandwich) (*.net *.split)
[00:41:39] *** Quits: jhchabran (~jhchabran@user/jhchabran) (*.net *.split)
[00:41:39] *** Quits: cyberzeus (~nunyuh@user/rickjay) (*.net *.split)
[00:41:39] *** Quits: Yamakaja (~yamakaja@user/yamakaja) (*.net *.split)
[00:41:39] *** Quits: kallisti5 (~kallisti5@mx.dal1.terarocket.io) (*.net *.split)
[00:41:39] *** Quits: seth (sid18070@user/washclof) (*.net *.split)
[00:41:40] *** Quits: greeter (fresh@2604:180:2:117:cafe:babe:dead:beef) (*.net *.split)
[00:41:40] *** Quits: johnlage (johnlage@user/johnlage) (*.net *.split)
[00:41:40] *** Quits: srw (quassel@SKTechWorks/srw) (*.net *.split)
[00:41:40] *** Quits: eof (~eof@tty3.dev) (*.net *.split)
[00:41:40] *** Quits: afarrag (sid364198@wikipedia/Ahmed-M-Farrag) (*.net *.split)
[00:41:40] *** Quits: Ariadne (sid506515@alpine/developer/ariadne) (*.net *.split)
[00:41:40] *** Quits: blo (~blo@user/blo) (*.net *.split)
[00:41:40] *** Quits: irl (sid495535@hambsd/irl) (*.net *.split)
[00:41:40] *** Quits: tobias1 (sid15532@django/member/tobias1) (*.net *.split)
[00:41:40] *** Quits: theRealAlexz (sid12120@user/therealalexz) (*.net *.split)
[00:41:40] *** Quits: theckman (sid295081@user/theckman) (*.net *.split)
[00:41:40] *** Quits: Shrike (sid305680@id-305680.helmsley.irccloud.com) (*.net *.split)
[00:41:40] *** Quits: copypaste (~copypaste@fontforge/developer/ctrlcctrlv) (*.net *.split)
[00:41:40] *** Quits: SlimeDiamond (~slime@basher.zenoc.net) (*.net *.split)
[00:41:40] *** Quits: Foxy (foxy@user/foxy) (*.net *.split)
[00:41:40] *** Quits: flagrama (sid145621@id-145621.hampstead.irccloud.com) (*.net *.split)
[00:41:40] *** Quits: woo (sid435653@user/wof) (*.net *.split)
[00:41:40] *** Quits: kudos (sid5987@id-5987.ilkley.irccloud.com) (*.net *.split)
[00:41:40] *** Quits: sharpertool (sid80151@id-80151.hampstead.irccloud.com) (*.net *.split)
[00:41:40] *** Quits: jose (jose@libera/staff/jose) (*.net *.split)
[00:41:40] *** Quits: ksft (~k@pool-173-76-14-211.bstnma.fios.verizon.net) (*.net *.split)
[00:41:40] *** Quits: Tips|Cloud (sid62231@ilkley.irccloud.com) (*.net *.split)
[00:41:40] *** Quits: caasih (sid13241@ilkley.irccloud.com) (*.net *.split)
[00:41:40] *** Quits: AlexZ (sid12766@wikimedia/Az1568) (*.net *.split)
[00:41:40] *** Quits: Sargento (uid523534@wikipedia/Sargento-de-Hierro) (*.net *.split)
[00:41:40] *** Quits: Khoyo_ (~khoyo@user/khoyo) (*.net *.split)
[00:41:40] *** Quits: Gerula (~Gerula@user/gerula) (*.net *.split)
[00:41:40] *** Quits: tomato (~tomato@user/tomato) (*.net *.split)
[00:41:40] *** Quits: ndk (~m0rkai@user/ndk) (*.net *.split)
[00:41:40] *** Quits: dTal (~quassel@dragonbox/wizzard/dtal) (*.net *.split)
[00:41:40] *** Quits: emma (~emma@user/emma) (*.net *.split)
[00:41:40] *** Quits: nepeat (~nepeat@79.110.170.60) (*.net *.split)
[00:41:40] *** Quits: Lord_of_Life (~Lord@user/lord-of-life/x-2819915) (*.net *.split)
[00:41:40] *** Quits: Nebraskka (~Nebraskka@user/nebraskka) (*.net *.split)
[00:41:40] *** Quits: Sonar_Guy (~sonarguy@fedora/sonarguy) (*.net *.split)
[00:41:40] *** Quits: fling (~fling@user/fling) (*.net *.split)
[00:41:40] *** Quits: krishan (kfiven@metabrainz/user/kfiven) (*.net *.split)
[00:41:40] *** Quits: marlinc (~marlinc@user/marlinc) (*.net *.split)
[00:41:40] *** Quits: rhansen (~quassel@etherpad/rhansen) (*.net *.split)
[00:41:40] *** Quits: user3456 (user3456@user/user3456) (*.net *.split)
[00:41:40] *** Quits: Fridtjof (~fridel@thonk.9net.org) (*.net *.split)
[00:41:40] *** Quits: genocide_ (genocide@45.156.23.190) (*.net *.split)
[00:41:40] *** Quits: jochum (~quassel@user/jochum) (*.net *.split)
[00:41:40] *** Quits: _TheMaster (~rado@gate.bgbest.net) (*.net *.split)
[00:41:40] *** Quits: perryflynn (~perryflyn@docker01.anyserver.net) (*.net *.split)
[00:41:40] *** Quits: phenom (~primus@user/phenom) (*.net *.split)
[00:41:40] *** Quits: aaearon (aaearon@hack.inaddr.org) (*.net *.split)
[00:41:40] *** Quits: MiningMarsh (~MiningMar@user/miningmarsh) (*.net *.split)
[00:41:40] *** Quits: polymorphic (~polymorph@user/polymorphic) (*.net *.split)
[00:41:40] *** Quits: Quack (~Quack@185.21.216.169) (*.net *.split)
[00:41:40] *** Quits: hammy (~hammy@fosshost/techops/hammy) (*.net *.split)
